protein,P,EP,TP,DP,EEP,ETP,EDP,TEP,TTP,TDP,DEP,DTP,DDP,EEEP,EETP,EEDP,ETEP,ETTP,ETDP,EDEP,EDTP,EDDP,TEEP,TETP,TEDP,TTEP,TTTP,TTDP,TDEP,TDTP,TDDP,DEEP,DETP,DEDP,DTEP,DTTP,DTDP,DDEP,DDTP,DDDP,has_path,num_paths,max_path_score,max_degree_score,RWR_target_0.2,RWR_target_0.4,RWR_target_0.6,thermo1,thermo2,thermo3,thermo4,thermo5,thermo6,label
9606.ENSP00000429900,0,0,0,0,0.044556962,0.065420561,0.038961039,0.003610108,0.035714286,0.052631579,0.005076142,0,0,0.042000984,0.053268452,0.08559527,0.079365079,0.08035004,0.091886608,0.051694179,0.068754775,0.127831213,0.007794149,0.005902454,0.010864645,0.01563208,0.005797101,0.011627907,0.023409364,0.029239766,0.022222222,0.012086031,0.009163803,0.010329562,0.045212019,0.037344398,0.037735849,0.001950182,0.001335113,0,1,0.048065136,0.91773825,2.92E-05,0.000383054,0.000206754,9.03E-05,1,1,1,0,0,0,0
9606.ENSP00000237822,0,0,0,0,0.009620253,0,0,0,0,0,0,0,0,0.010367755,0.016062355,0.012765386,0.003290043,0.005568815,0.000977517,0.002668487,0.009167303,0.00093081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.010166138,0.310524,5.46E-05,8.91E-05,4.56E-05,1.94E-05,1,1,1,0,0,0,0
9606.ENSP00000445162,0,0,0,0,0.027848101,0.018691589,0.064935065,0,0,0,0.609137056,0.3,0.12173913,0.030269431,0.031780208,0.032988444,0.038152958,0.034208433,0.041055718,0.22589053,0.217723453,0.098976109,0,0,0,0,0,0,0,0,0,0.598549676,0.441389843,0.448598131,0.207525976,0.190871369,0.169811321,0.350146264,0.371161549,0.320710059,1,0.102273498,0.957473568,4.13E-05,0.000614515,0.00036161,0.000164525,1,1,1,0,0,0,0
9606.ENSP00000355241,0,0,0,0,0.001012658,0,0,0,0,0,0,0,0,0.001101529,0.001421066,0.003762429,0.002308802,0.002386635,0.002932551,0.001799677,0,0.00186162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.001236849,0.159592092,9.77E-06,2.06E-05,1.02E-05,3.96E-06,1,1,1,0,0,0,0
9606.ENSP00000369436,0,0,0,0,0.038987342,0.018691589,0,0,0,0,0,0,0,0.039324034,0.029411765,0.036616501,0.025050505,0.032617343,0.03030303,0.014149187,0.013750955,0.011479988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.037670244,0.285821,1.53E-05,0.000182194,0.00010048,4.43E-05,1,1,1,0,0,0,0
9606.ENSP00000415106,0,0,0,0,0.007088608,0,0,0,0,0,0,0,0,0.007137328,0.005899578,0.007256114,0.004675325,0.005568815,0.007820137,0.004157875,0.002291826,0.004033509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.006927299,0.4450545,8.54E-06,5.22E-05,2.69E-05,1.08E-05,1,1,1,0,0,0,0
9606.ENSP00000359802,0,0,0,0,0.002531646,0.009345794,0,0,0,0,0,0,0,0.003190635,0.00180863,0.001478097,0.000923521,0.001988862,0,0.000124116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.002929627,0.1363791,8.83E-07,5.47E-06,2.59E-06,9.75E-07,1,1,1,0,0,0,0
9606.ENSP00000220772,0,0,0,0,0.009113924,0,0,0,0,0,0,0,0,0.009989726,0.009732151,0.009876377,0.020663781,0.022673031,0.020527859,0.007074594,0.00381971,0.00124108,0.005841799,0.006523765,0.010864645,0.026280018,0.020289855,0.058139535,0.020408163,0.046783626,0.027777778,0,0,0,0,0,0,0,0,0,1,0.011213673,0.500355531,7.86E-06,8.64E-05,3.98E-05,1.43E-05,1,1,1,0,0,0,0
9606.ENSP00000454919,0,0,0,0,0.010126582,0.009345794,0,0.010830325,0.035714286,0,0,0,0,0.010251995,0.012272845,0.006987369,0.005714286,0.005966587,0.007820137,0.001985851,0.00381971,0,0.012537751,0.009940975,0.011770032,0.016991391,0.020289855,0.002906977,0.026410564,0.023391813,0.003703704,0,0,0,0,0,0,0,0,0,1,0.011455048,0.2769858,2.27E-05,9.37E-05,4.99E-05,2.13E-05,1,1,1,0,0,0,0
9606.ENSP00000405202,0,0,0,0,0.003037975,0,0,0,0,0,0,0,0,0.002481605,0.002712945,0.003292126,0.001962482,0.001988862,0.001955034,0.002668487,0.001527884,0.00031027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.002487896,0.38498096,6.86E-06,2.00E-05,1.10E-05,4.67E-06,1,1,1,0,0,0,0
9606.ENSP00000370882,0,0,0,0,0.019240506,0.037383178,0,0.010830325,0,0,0,0,0,0.023501089,0.031134269,0.021768342,0.044848485,0.038186158,0.031280547,0.01290803,0.012987013,0.011169718,0.014871419,0.014911463,0.014938886,0.006570005,0.008695652,0.01744186,0.009603842,0.023391813,0.003703704,0,0,0,0,0,0,0,0,0,1,0.025825525,0.405584256,1.64E-05,0.00024487,0.000110763,4.11E-05,1,1,1,0,0,0,0
9606.ENSP00000304767,0,0,0,0,0.003037975,0,0,0.02166065,0.035714286,0,0.045685279,0.05,0.008695652,0.001651389,0.001550254,0.001746842,0.001212121,0.002386635,0.003910068,0.000434405,0.000763942,0.00124108,0.016533968,0.021435228,0.02444545,0.034209334,0.050724638,0.052325581,0.006602641,0,0.003703704,0.042698096,0.038946163,0.039842597,0.014041,0.008298755,0.033018868,0.024377272,0.032042724,0.019526627,1,0.008616922,0.852852,3.39E-05,9.94E-05,5.56E-05,2.51E-05,1,1,1,0,0,0,0
9606.ENSP00000070846,0,0,0,0,0.040506329,0.08411215,0.012987013,0,0,0,0.005076142,0,0,0.049612204,0.064809233,0.061206665,0.054660895,0.058870326,0.05083089,0.027988085,0.042016807,0.019236736,0.008617797,0.007766387,0.002716161,0.023787947,0.013043478,0.00872093,0.017406963,0.011695906,0.02037037,0.000564603,0.00076365,0.000491884,0,0.002074689,0,0,0,0,1,0.051180922,0.903374721,6.11E-05,0.000298563,0.000162792,7.08E-05,1,1,1,0,0,0,0
9606.ENSP00000428417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9606.ENSP00000356780,0,0,0,0,0,0,0,0,0,0,0,0,0,2.71E-05,8.61E-05,0,0.00011544,0.000397772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.16E-05,0.049779264,8.63E-07,2.52E-06,9.94E-07,2.72E-07,1,1,1,1,0,0,0
9606.ENSP00000414350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9606.ENSP00000252015,0,0,0,0,0.020253165,0.018691589,0.025974026,0.010830325,0,0,0.111675127,0,0.008695652,0.0180875,0.022134183,0.0200215,0.03012987,0.025855211,0.028347996,0.029663647,0.03132162,0.027924294,0.011927641,0.009319664,0.011770032,0.002265519,0.001449275,0,0,0,0,0.086842987,0.072928599,0.110181997,0.02443134,0.018672199,0.018867925,0.054782377,0.021361816,0.037278107,1,0.030116633,0.895361688,3.04E-05,0.000212204,0.000121648,5.42E-05,1,1,1,0,0,0,0
9606.ENSP00000409463,0,0,0,0,0.010632911,0.009345794,0,0.003610108,0,0,0,0,0,0.012697425,0.014641288,0.014780973,0.003694084,0.00477327,0.003910068,0.001241157,0.000763942,0.00031027,0.000594857,0.000310655,0,0.002945174,0.001449275,0.002906977,0,0,0,0,0,0,0,0,0,0,0,0,1,0.012242277,0.25148718,1.25E-05,3.41E-05,1.96E-05,8.86E-06,1,1,1,0,0,0,0
9606.ENSP00000340998,0,0,0,0,0.002531646,0,0,0,0,0,0,0,0.008695652,0.001683946,0.002239256,0.003695243,0.004040404,0.005171042,0.005865103,0.011108353,0.018334607,0.00155135,0.000396571,0,0.001810774,0.000679656,0.002898551,0.005813953,0,0,0,0.001623233,0.002290951,0.005902607,0.00028082,0,0,0.007800727,0.014686248,0.004733728,1,0.00251787,0.6137532,2.39E-05,5.94E-05,3.17E-05,1.37E-05,1,1,1,0,0,0,0
9606.ENSP00000311609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9606.ENSP00000301459,0,0,0.5,0,0.073417722,0.08411215,0.025974026,0.090252708,0.071428571,0.105263158,0,0,0,0.094579538,0.103178021,0.064969094,0.068340548,0.07557677,0.038123167,0.045984858,0.053475936,0.007446478,0.15292395,0.137931034,0.090991399,0.086089715,0.066666667,0.072674419,0.207683073,0.157894737,0.040740741,0,0,0,0,0,0,0,0,0,1,0.109808178,0.932430528,0.000794913,0.00069338,0.000491457,0.00031577,1,1,0,0,0,0,0
9606.ENSP00000259806,0,0,0,0,0.012658228,0.046728972,0.025974026,0,0,0,0,0,0,0.015274894,0.015760916,0.017132491,0.02978355,0.026650756,0.020527859,0.030035994,0.032849503,0.022339435,0.000716879,0.000621311,0,0.004304486,0.005797101,0.002906977,0,0,0,0,0,0,0,0,0,0,0,0,1,0.016366158,0.385529085,2.84E-05,0.000150252,7.95E-05,3.27E-05,1,1,1,0,0,0,0
