,protein,RWR_positive_0.4_0.1,RWR_positive_0.4_0.2,RWR_positive_0.4_0.3,RWR_positive_0.4_0.4,RWR_positive_0.4_0.5,RWR_positive_0.4_0.6,RWR_positive_0.4_0.7,RWR_positive_0.4_0.8,RWR_positive_0.4_0.9,RWR_positive_0.4_1.0
602,9606.ENSP00000301904,0.00028938000864867433,0.00043105736592406984,0.0005408105030450814,0.0007294381755940056,0.0008682030126084869,0.0009621640352276296,0.0011238520525841725,0.0012333524817457551,0.001345533162097899,0.0014235475591119256
603,9606.ENSP00000355437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
604,9606.ENSP00000351284,0.0023782448830049637,0.00329157947265404,0.0041304230796847825,0.005337406080143679,0.0060025611549399446,0.0066673962966225546,0.0073088105146582715,0.011672506444155538,0.012298981838393473,0.012827135879608374
605,9606.ENSP00000323856,0.0037790115752594647,0.005537898585486095,0.007676245616908799,0.01248205707363669,0.014804936848934348,0.019372468192619993,0.02314445373620605,0.02649385489374745,0.02976414705639463,0.03087247232447671
606,9606.ENSP00000425864,8.454676910858621e-05,0.00013233976849042094,0.00018808025906297336,0.00024783004002124927,0.00027790383514951614,0.0003112383752634812,0.00038340971936707576,0.0004192127945732134,0.0005169806223773047,0.0005828162025028902
607,9606.ENSP00000381216,0.0007774643345113208,0.001983209155908048,0.0024645421711967214,0.003318427866376856,0.0039016194672992265,0.004403334383071838,0.005187977310527751,0.005799813534180529,0.006556728179067075,0.007218578588031016
608,9606.ENSP00000322924,5.703623954189819e-06,3.936576673903995e-05,4.4211988686124345e-05,4.770440217385885e-05,5.0332195405955914e-05,5.563401436147628e-05,5.838689277819691e-05,6.14550267747777e-05,6.328873853921495e-05,6.60566007358102e-05
609,9606.ENSP00000440945,0.0004928921632094441,0.0008161434114588659,0.0014710872321159706,0.0018570247475043335,0.0021024875070984645,0.0026372751010551474,0.0029856883466427542,0.0032602280324766004,0.0035026454969860855,0.003749719848166711
610,9606.ENSP00000246115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
611,9606.ENSP00000320236,0.00021433064779608895,0.0003588722608739176,0.0005106136544865327,0.0006442679541114872,0.0007826174907161392,0.0008659600817680996,0.0010838561646356478,0.001167878602409067,0.001379125172014464,0.0015642546965775378
612,9606.ENSP00000281871,8.872236890565656e-05,0.00016063151544617663,0.0002890232378378726,0.00036411458207188767,0.0004365225669453054,0.0005152449086189478,0.0007330101563528939,0.0008207647966716404,0.0008717623471297517,0.0009756751550941375
613,9606.ENSP00000284694,0.00019887045220174973,0.00020242348213586435,0.00020502121492964754,0.00020670228826366236,0.0002119690140273879,0.00021489431963811717,0.00021800682992936148,0.00022303291249395942,0.00022410668200752891,0.000227087908752927
614,9606.ENSP00000407560,3.115097616194639e-05,3.699281484909914e-05,5.539024455782669e-05,6.467658204717194e-05,7.582768016879746e-05,9.1656482693794e-05,9.884392084060754e-05,0.00010782851407265583,0.0001139324578882086,0.00011920638062140665
615,9606.ENSP00000292579,0.00010242998660572574,0.0002053330554681212,0.0003350588813438228,0.00040842606280557247,0.0004964877002290614,0.0005672839369446352,0.0006997554727631361,0.0008030958656821074,0.0009245166202238326,0.001013341174327359
616,9606.ENSP00000356057,2.63638834845058e-05,4.5280247770925156e-05,6.707129540154521e-05,9.050887615252298e-05,0.0001081811201287356,0.00012099572614415756,0.00013530008199425598,0.00014699130862545537,0.00015355826684799805,0.0001634601639037266
