,protein,RW_positive_10_0.1,RW_positive_10_0.2,RW_positive_10_0.3,RW_positive_10_0.4,RW_positive_10_0.5,RW_positive_10_0.6,RW_positive_10_0.7,RW_positive_10_0.8,RW_positive_10_0.9,RW_positive_10_1.0
0,9606.ENSP00000290122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,9606.ENSP00000345563,1.2067021032180492e-05,2.298650605325747e-05,3.263009188003707e-05,4.154866508088162e-05,5.119559216382186e-05,6.33555055742363e-05,7.490456187042582e-05,8.579047414514207e-05,9.479909391529873e-05,0.00010252883572547944
2,9606.ENSP00000415436,0.0009537947189528495,0.002055464985460276,0.002950654576125089,0.0036679020304291043,0.0043640997319016606,0.005145518101926427,0.005935797082202043,0.00674148473990499,0.007229197748529259,0.00802880486662616
3,9606.ENSP00000370215,0.00033833163251983933,0.0006440584929805482,0.0009136394619417842,0.001163471190011478,0.001437241457097116,0.0017816455729189329,0.002109132607074571,0.002420673439701204,0.0026768596053443616,0.0028924830603500595
4,9606.ENSP00000355593,0.003933911546482705,0.007504050794523209,0.010648771451087669,0.013560061837779358,0.016675265826052055,0.020640549177187495,0.02440449375717435,0.027930741023737937,0.03086661617271602,0.03339298375067301
5,9606.ENSP00000311679,0.00028517217378976056,0.0006334849858831149,0.0009291398682762519,0.0010815906553034438,0.0012649127729673637,0.0014655907680207747,0.0017868546747195069,0.001927654769133369,0.0021648162946803495,0.002374230409259326
6,9606.ENSP00000371800,0.0007383997872238979,0.001442445776774548,0.0019494363441481255,0.002703209869650891,0.0032195053281611763,0.003698726221045945,0.004364820932096336,0.004906491762085352,0.005760529194958508,0.006267783563089324
7,9606.ENSP00000483570,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,9606.ENSP00000233997,0.00024493218825227814,0.000525088602444157,0.0007560036247014068,0.0009540725768601988,0.0011337880678183865,0.001341505874734139,0.0015466064596694196,0.001750964937855315,0.001879287934571039,0.0020811421745747793
9,9606.ENSP00000230256,8.490133427585533e-05,0.00012026749777760415,0.00018509737856220454,0.00024021274134611303,0.0002992202448695025,0.0003473979440968833,0.00039260617040781653,0.00044446335596148856,0.0004898982704162336,0.0005261050037006498
10,9606.ENSP00000458570,0.00014565627407137072,0.00028426130029401975,0.00038590459644183284,0.0005315846192388562,0.000630738374638895,0.0007221783007480553,0.0008521042523170763,0.0009617090868232481,0.001129000499531685,0.0012254321068212448
11,9606.ENSP00000322450,0.0024128924633259885,0.005284294180455618,0.007569948444142938,0.00958938717667479,0.011361872479028534,0.013601571459730621,0.015806870367669035,0.01782685970829334,0.019288806404802017,0.02170706420292845
12,9606.ENSP00000377470,0.0008758768672123551,0.0018921839218819514,0.0027211622655158862,0.003408173161005834,0.004053661217767512,0.004789670365425991,0.00552720276027685,0.00626414281578036,0.006724685808876529,0.007462017449142877
13,9606.ENSP00000386597,8.518158938386478e-05,0.00016145578183568432,0.00022863784897708683,0.0002921001769209397,0.0003588040299291606,0.00044472200079326285,0.0005262126728666772,0.0006074144507692836,0.0006745195723851793,0.0007281664152287703
14,9606.ENSP00000398089,0.00011626354171312414,0.00016876940662768902,0.00025813168667809805,0.00033385729238943895,0.0004136622610531049,0.00048066647059386014,0.0005427529949884047,0.0006138704134173167,0.0006756564630450157,0.0007251913893924211
15,9606.ENSP00000303963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,9606.ENSP00000433919,0.0011392727283237036,0.002038448441453511,0.0032384212317992933,0.0038640031598333735,0.004597373183059972,0.005389112789998762,0.00669247349651414,0.007257255074364366,0.00822823245471227,0.009088803526537959
17,9606.ENSP00000343129,0.0013895267475163564,0.0026219324790872633,0.0037106767485965975,0.0047300660735345446,0.005837612443428952,0.0072158447073888965,0.008524538941856008,0.00976063985581277,0.01077313801215496,0.011640712909866124
18,9606.ENSP00000261318,6.161451187836064e-05,0.00013256648981041508,0.00019036083085666178,0.00023919674276839942,0.00028424873562471475,0.00033642874086581287,0.00038812429988865915,0.00043943329023932165,0.00047175380109365506,0.0005235144151356508
