,protein,RWR_positive_0.6_0.1,RWR_positive_0.6_0.2,RWR_positive_0.6_0.3,RWR_positive_0.6_0.4,RWR_positive_0.6_0.5,RWR_positive_0.6_0.6,RWR_positive_0.6_0.7,RWR_positive_0.6_0.8,RWR_positive_0.6_0.9,RWR_positive_0.6_1.0
4542,9606.ENSP00000297258,0.00019593299035794852,0.00033742867035533366,0.0005891265222551135,0.0006846948060233206,0.0008258132147112851,0.0009517033672444986,0.0011963140062904855,0.0013423530747104296,0.0015839001040144623,0.001742715438475116
4543,9606.ENSP00000369976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4544,9606.ENSP00000481675,0.000144638285333229,0.010084622339688888,0.0101320126457577,0.010272479727024211,0.01052707197984494,0.010617396535095263,0.010675070055173427,0.010761520373502614,0.01083266468911693,0.010905037608668018
4545,9606.ENSP00000281456,0.0009086830765029164,0.0012450080939867697,0.0014281915285487565,0.0016349249576413792,0.0019527028059788717,0.0023576078795844477,0.004051519029314235,0.004487557422961586,0.004796078180769432,0.005573973390421289
4546,9606.ENSP00000358778,6.488320627957652e-05,0.00011776758921036903,0.00016566509611840965,0.0002022445097154455,0.0003181810217054025,0.000387833430660153,0.0006841018366244933,0.0008427247895331402,0.000889128511830154,0.0009095130204761165
4547,9606.ENSP00000361959,1.5762209136920912e-05,2.8848758862567456e-05,3.616119258429445e-05,4.62682132446295e-05,5.310118910588013e-05,6.23878499608157e-05,7.596112673524078e-05,8.233325401668366e-05,9.291851967631768e-05,0.00010278433763670504
4548,9606.ENSP00000352427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4549,9606.ENSP00000262300,0.00012050918924761533,0.0003065233032631553,0.00038042093069171203,0.0005730890772435917,0.0008014394948298241,0.0008902318844485385,0.0014946835904074678,0.0015809056255656985,0.0017524889139218527,0.0018154514741133107
4550,9606.ENSP00000261448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4551,9606.ENSP00000266085,4.092296855497365e-05,9.338403395942083e-05,0.00012605996180535794,0.00015687764925660124,0.0001755995599875035,0.0001958212452856232,0.0002535970171863445,0.00031137441272901406,0.00035844372882576386,0.0003851807416781411
4552,9606.ENSP00000399797,0.0011279850791565196,0.0013833082069857026,0.0033314442290598963,0.004363082876748506,0.007035819424308719,0.007441014941726423,0.008346032806324418,0.0092884595520337,0.009706910336944072,0.010490773753673148
4553,9606.ENSP00000347032,0.001202781415705499,0.0013607286804011277,0.0021406564355864522,0.0022571341175798413,0.0024160549464299764,0.0025284965092734236,0.0026142227094286302,0.004493456921982018,0.0045446206452050865,0.004634920673505943
4554,9606.ENSP00000296097,0.00045220819090090506,0.0006738074331291404,0.0007654480484160377,0.0009497912830210129,0.0010762533188823243,0.0011631320681855912,0.0013938601472390207,0.002432397055358639,0.002646223525557699,0.002883563009964507
4555,9606.ENSP00000422037,9.765953862095413e-05,0.0001845541226232231,0.00023517891031506931,0.00034333223745387347,0.000409836392763036,0.0004459078536407345,0.0005803892863977323,0.0006637221469020204,0.0008695582622421299,0.0009664140255013803
