,protein,RW_positive_30_0.1,RW_positive_30_0.2,RW_positive_30_0.3,RW_positive_30_0.4,RW_positive_30_0.5,RW_positive_30_0.6,RW_positive_30_0.7,RW_positive_30_0.8,RW_positive_30_0.9,RW_positive_30_1.0
16707,9606.ENSP00000446215,0.004062078922288492,0.00791036308510229,0.010689646864193492,0.014751720998901874,0.01753104203089606,0.02009657052985858,0.02373106534651015,0.026724151655798778,0.03142759141337592,0.03420694592932705
16708,9606.ENSP00000444810,0.0040377740224357694,0.008713079820154235,0.012538336522993632,0.015726068464573473,0.018701265667914413,0.022101500508142635,0.025501726122456603,0.02890194951032754,0.03102709137601778,0.034427283113473095
16709,9606.ENSP00000419162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16710,9606.ENSP00000381613,3.648522397270426e-05,6.912798176017532e-05,9.793053254725237e-05,0.000124813828506376,0.00015362398926299647,0.00019010792857443448,0.00022467149119620444,0.00025731532605277607,0.0002841976045147021,0.00030723942222721234
16711,9606.ENSP00000360538,0.00019971630536019802,0.00028421081242413493,0.0004378396433821763,0.0005684208017555648,0.0007066842526910477,0.0008219046521844575,0.0009294417077398975,0.0010523448636376997,0.0011598813534874353,0.001244379715899413
16712,9606.ENSP00000478516,0.0004864776874455856,0.0008756617735343752,0.001386462288792245,0.001654025021707639,0.0019702385434356984,0.0023107745855668327,0.002870226087907213,0.003113466342256288,0.0035269720065116417,0.003891828095220262
16713,9606.ENSP00000330101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16714,9606.ENSP00000383178,0.002091940892569255,0.004514069456490688,0.006495868539786898,0.00814752969017718,0.00968890279182233,0.011450581441749819,0.013212166697485372,0.014973718753026333,0.01607471314491704,0.01783622585935518
16715,9606.ENSP00000462333,3.840648810182756e-05,6.913188053658814e-05,0.0001094584013117128,0.0001305827570377005,0.00015554884089397092,0.00018243366093884106,0.000226602822294808,0.0002458071389810357,0.00027845272416016087,0.0003072574063480715
16716,9606.ENSP00000357773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16717,9606.ENSP00000382595,0.001958716326043941,0.0035256802148069255,0.005582330151810311,0.006659633181698155,0.007932814063678961,0.009303914965130389,0.011556453588127624,0.012535820969787892,0.014200729812728241,0.015669770407839678
16718,9606.ENSP00000338766,0.001824290600779932,0.0035525685307220556,0.004800774957402609,0.006625075089687016,0.007873278234910686,0.009025468032632489,0.010657728860678617,0.012001947608951014,0.014114283760136459,0.01536247260082746
16719,9606.ENSP00000306459,0.00016642722403048538,0.0002995692511831294,0.00047431696566491155,0.0005658527661580592,0.0006740329345120699,0.0007905325383035233,0.0009819258029892808,0.001065140837454237,0.0012066035296811606,0.001331423424744571
16720,9606.ENSP00000419249,1.2161746269612195e-05,2.3683441327193577e-05,3.200445371476235e-05,4.41663469246123e-05,5.248770560228877e-05,6.0169021423917e-05,7.105068664259306e-05,8.001179247685286e-05,9.40936589586272e-05,0.00010241508414310374
