protein,RNA line ab,binary_RNA line ab,RNA line ab_y,binary_RNA line ab_y,cell_ab_diff,cell_ab_diff_abs,label
9606.ENSP00000478942,0.1,1,73.7,1.0,-73.60000000000001,73.60000000000001,0
9606.ENSP00000282516,45.2,1,73.7,1.0,-28.5,28.5,0
9606.ENSP00000432660,1978.9,1,73.7,1.0,1905.2,1905.2,0
9606.ENSP00000355217,41.7,1,73.7,1.0,-32.0,32.0,0
9606.ENSP00000263274,38.3,1,73.7,1.0,-35.400000000000006,35.400000000000006,0
9606.ENSP00000272252,7.3,1,73.7,1.0,-66.4,66.4,0
9606.ENSP00000280057,0.6,1,73.7,1.0,-73.10000000000001,73.10000000000001,0
9606.ENSP00000409832,0.0,0,73.7,1.0,-73.7,73.7,0
9606.ENSP00000445772,2.3,1,73.7,1.0,-71.4,71.4,0
9606.ENSP00000354501,8.0,1,73.7,1.0,-65.7,65.7,0
9606.ENSP00000376048,0.0,0,73.7,1.0,-73.7,73.7,0
9606.ENSP00000350369,62.1,1,73.7,1.0,-11.6,11.6,0
9606.ENSP00000261973,45.6,1,73.7,1.0,-28.1,28.1,0
9606.ENSP00000250160,0.0,0,73.7,1.0,-73.7,73.7,0
9606.ENSP00000391594,1.4,1,73.7,1.0,-72.3,72.3,0
9606.ENSP00000381070,19.6,1,73.7,1.0,-54.1,54.1,0
9606.ENSP00000231484,0.2,1,73.7,1.0,-73.5,73.5,0
9606.ENSP00000405841,0.1,1,73.7,1.0,-73.60000000000001,73.60000000000001,0
9606.ENSP00000245817,21.5,1,73.7,1.0,-52.2,52.2,0
9606.ENSP00000368808,0.0,0,73.7,1.0,-73.7,73.7,0
9606.ENSP00000328405,22.1,1,73.7,1.0,-51.6,51.6,0
9606.ENSP00000480364,47.6,1,73.7,1.0,-26.1,26.1,0
9606.ENSP00000360441,0.0,0,73.7,1.0,-73.7,73.7,0
9606.ENSP00000362296,0.0,0,73.7,1.0,-73.7,73.7,0
9606.ENSP00000275227,13.2,1,73.7,1.0,-60.5,60.5,0
9606.ENSP00000429803,7.9,1,73.7,1.0,-65.8,65.8,0
9606.ENSP00000364627,0.0,0,73.7,1.0,-73.7,73.7,1
9606.ENSP00000262238,35.7,1,73.7,1.0,-38.0,38.0,0
9606.ENSP00000316649,18.1,1,73.7,1.0,-55.6,55.6,0
9606.ENSP00000350719,6.4,1,73.7,1.0,-67.3,67.3,0
9606.ENSP00000357709,4796.6,1,73.7,1.0,4722.900000000001,4722.900000000001,0
9606.ENSP00000319664,222.5,1,73.7,1.0,148.8,148.8,0
9606.ENSP00000215781,0.0,0,73.7,1.0,-73.7,73.7,0
9606.ENSP00000457016,65.9,1,73.7,1.0,-7.799999999999997,7.799999999999997,0
9606.ENSP00000407112,3.9,1,73.7,1.0,-69.8,69.8,0
9606.ENSP00000306328,4.6,1,73.7,1.0,-69.10000000000001,69.10000000000001,0
9606.ENSP00000239666,96.4,1,73.7,1.0,22.700000000000003,22.700000000000003,0
9606.ENSP00000223324,114.1,1,73.7,1.0,40.39999999999999,40.39999999999999,0
9606.ENSP00000439068,8.7,1,73.7,1.0,-65.0,65.0,0
9606.ENSP00000258403,0.8,1,73.7,1.0,-72.9,72.9,0
9606.ENSP00000441802,19.7,1,73.7,1.0,-54.0,54.0,0
9606.ENSP00000286049,0.0,0,73.7,1.0,-73.7,73.7,0
9606.ENSP00000435210,80.7,1,73.7,1.0,7.0,7.0,0
9606.ENSP00000426271,0.0,0,73.7,1.0,-73.7,73.7,0
9606.ENSP00000284268,47.4,1,73.7,1.0,-26.300000000000004,26.300000000000004,0
9606.ENSP00000485028,0.9,1,73.7,1.0,-72.8,72.8,0
9606.ENSP00000312150,7.1,1,73.7,1.0,-66.60000000000001,66.60000000000001,0
9606.ENSP00000309751,1.4,1,73.7,1.0,-72.3,72.3,0
9606.ENSP00000269856,5.6,1,73.7,1.0,-68.10000000000001,68.10000000000001,0
9606.ENSP00000477530,14.9,1,73.7,1.0,-58.8,58.8,0
9606.ENSP00000309640,14.1,1,73.7,1.0,-59.6,59.6,0
9606.ENSP00000450580,0.0,0,73.7,1.0,-73.7,73.7,0
9606.ENSP00000301146,0.0,0,73.7,1.0,-73.7,73.7,0
9606.ENSP00000248846,19.6,1,73.7,1.0,-54.1,54.1,0
9606.ENSP00000270001,2.1,1,73.7,1.0,-71.60000000000001,71.60000000000001,0
9606.ENSP00000334547,0.1,1,73.7,1.0,-73.60000000000001,73.60000000000001,0
9606.ENSP00000280701,17.7,1,73.7,1.0,-56.0,56.0,0
9606.ENSP00000005257,33.4,1,73.7,1.0,-40.3,40.3,0
9606.ENSP00000267291,0.0,0,73.7,1.0,-73.7,73.7,0
9606.ENSP00000326340,9.5,1,73.7,1.0,-64.2,64.2,0
9606.ENSP00000469441,0.1,1,73.7,1.0,-73.60000000000001,73.60000000000001,0
9606.ENSP00000312379,26.0,1,73.7,1.0,-47.7,47.7,0
9606.ENSP00000386029,0.4,1,73.7,1.0,-73.3,73.3,0
9606.ENSP00000451291,719.8,1,73.7,1.0,646.0999999999999,646.0999999999999,0
9606.ENSP00000271715,32.2,1,73.7,1.0,-41.5,41.5,0
9606.ENSP00000469089,13.7,1,73.7,1.0,-60.0,60.0,0
