,gene_id,hpa_location,provenance,StringID
103,CIBAR1,nucleus,uniprot,9606.ENSP00000429367
104,CIBAR1,mitochondria:cytoplasm,uniprot,9606.ENSP00000429367
105,MACROD2,nucleus,uniprot,9606.ENSP00000217246
106,ZC3H12D,cytoplasm,uniprot,9606.ENSP00000386616
107,ZC3H12D,nucleus,uniprot,9606.ENSP00000386616
108,FRMD3,plasma membrane:endomembrane system,uniprot,9606.ENSP00000303508
109,FRMD3,nuclear membrane:nucleus,uniprot,9606.ENSP00000303508
110,CCDC78,cytoplasm,uniprot,9606.ENSP00000293889
111,CCDC78,microtubules:cytoplasm,uniprot,9606.ENSP00000293889
112,CCDC78,actin filaments:cytoplasm,uniprot,9606.ENSP00000293889
113,CCDC78,intermediate filaments:cytoplasm,uniprot,9606.ENSP00000293889
114,CCDC78,centrosome:cytoplasm,uniprot,9606.ENSP00000293889
115,CCDC78,plasma membrane:endomembrane system,uniprot,9606.ENSP00000293889
116,CCDC78,endomembrane system,uniprot,9606.ENSP00000293889
117,NBAS,cytoplasm,uniprot,9606.ENSP00000281513
118,NBAS,endoplasmic reticulum:endomembrane system,uniprot,9606.ENSP00000281513
119,NBAS,plasma membrane:endomembrane system,uniprot,9606.ENSP00000281513
120,TARS3,cytoplasm,uniprot,9606.ENSP00000338093
121,TARS3,nucleus,uniprot,9606.ENSP00000338093
122,TMEM218,plasma membrane:endomembrane system,uniprot,9606.ENSP00000436596
123,TMEM218,nuclear membrane:nucleus,uniprot,9606.ENSP00000436596
124,TMEM218,microtubules:cytoplasm,uniprot,9606.ENSP00000436596
125,TMEM218,actin filaments:cytoplasm,uniprot,9606.ENSP00000436596
126,TMEM218,intermediate filaments:cytoplasm,uniprot,9606.ENSP00000436596
127,TESPA1,cytoplasm,uniprot,9606.ENSP00000400892
128,TESPA1,endoplasmic reticulum:endomembrane system,uniprot,9606.ENSP00000400892
129,HYKK,cytoplasm,uniprot,9606.ENSP00000455459
130,MEIOC,cytoplasm,uniprot,9606.ENSP00000386452
131,MEIOC,nucleus,uniprot,9606.ENSP00000386452
132,CCDC66,cytoplasm,uniprot,9606.ENSP00000378167
133,CCDC66,microtubules:cytoplasm,uniprot,9606.ENSP00000378167
134,CCDC66,actin filaments:cytoplasm,uniprot,9606.ENSP00000378167
135,CCDC66,intermediate filaments:cytoplasm,uniprot,9606.ENSP00000378167
136,CCDC66,centrosome:cytoplasm,uniprot,9606.ENSP00000378167
137,CCDC66,plasma membrane:endomembrane system,uniprot,9606.ENSP00000378167
138,MYBPHL,cytoplasm,uniprot,9606.ENSP00000349678
139,TMEM131L,plasma membrane:endomembrane system,uniprot,9606.ENSP00000386787
140,TMEM131L,cytoplasm,uniprot,9606.ENSP00000386787
141,TMEM131L,endoplasmic reticulum:endomembrane system,uniprot,9606.ENSP00000386787
144,VWA8,mitochondria:cytoplasm,uniprot,9606.ENSP00000368612
145,VWA8,peroxisomes:vesicles:endomembrane system,uniprot,9606.ENSP00000368612
146,LAMB4,secreted proteins:secretory,uniprot,9606.ENSP00000373433
147,LAMB4,secretory,uniprot,9606.ENSP00000373433
148,CRPPA,cytoplasm,uniprot,9606.ENSP00000385478
149,CRPPA,cytosol:cytoplasm,uniprot,9606.ENSP00000385478
150,GSAP,golgi apparatus:endomembrane system,uniprot,9606.ENSP00000257626
151,GTPBP10,nucleus,uniprot,9606.ENSP00000222511
152,GTPBP10,nucleoli:nucleus,uniprot,9606.ENSP00000222511
153,WDR91,endosomes:vesicles:endomembrane system,uniprot,9606.ENSP00000346466
154,WDR91,plasma membrane:endomembrane system,uniprot,9606.ENSP00000346466
155,PRSS37,vesicles:endomembrane system,uniprot,9606.ENSP00000297767
156,PRSS37,cytoplasm,uniprot,9606.ENSP00000297767
157,PRSS37,secreted proteins:secretory,uniprot,9606.ENSP00000297767
160,MBLAC1,cytoplasm,uniprot,9606.ENSP00000381150
161,MBLAC1,cytosol:cytoplasm,uniprot,9606.ENSP00000381150
162,MBLAC1,nucleus,uniprot,9606.ENSP00000381150
163,EME2,nucleus,uniprot,9606.ENSP00000457353
164,XIRP2,cell junctions:plasma membrane:endomembrane system,uniprot,9606.ENSP00000386840
165,POTEF,cytoplasm,uniprot,9606.ENSP00000350052
166,CLEC18A,secreted proteins:secretory,uniprot,9606.ENSP00000484176
167,CLEC18A,endoplasmic reticulum:endomembrane system,uniprot,9606.ENSP00000484176
168,CLEC18A,golgi apparatus:endomembrane system,uniprot,9606.ENSP00000484176
169,CLEC18A,endosomes:vesicles:endomembrane system,uniprot,9606.ENSP00000484176
170,VPS37C,endosomes:vesicles:endomembrane system,uniprot,9606.ENSP00000301765
171,VPS37C,plasma membrane:endomembrane system,uniprot,9606.ENSP00000301765
177,CFAP69,plasma membrane:endomembrane system,uniprot,9606.ENSP00000373948
178,CFAP69,microtubules:cytoplasm,uniprot,9606.ENSP00000373948
179,CFAP69,actin filaments:cytoplasm,uniprot,9606.ENSP00000373948
180,CFAP69,intermediate filaments:cytoplasm,uniprot,9606.ENSP00000373948
181,PSMB11,cytoplasm,uniprot,9606.ENSP00000386212
182,PSMB11,nucleus,uniprot,9606.ENSP00000386212
183,PSD,plasma membrane:endomembrane system,uniprot,9606.ENSP00000020673
184,PSD,microtubules:cytoplasm,uniprot,9606.ENSP00000020673
185,PSD,actin filaments:cytoplasm,uniprot,9606.ENSP00000020673
186,PSD,intermediate filaments:cytoplasm,uniprot,9606.ENSP00000020673
187,PSD,cleavage furrow:actin filaments:cytoplasm,uniprot,9606.ENSP00000020673
188,PEDS1,endoplasmic reticulum:endomembrane system,uniprot,9606.ENSP00000360715
189,PEDS1,plasma membrane:endomembrane system,uniprot,9606.ENSP00000360715
190,HTR3E,plasma membrane:endomembrane system,uniprot,9606.ENSP00000406050
191,CNOT1,cytoplasm,uniprot,9606.ENSP00000320949
192,CNOT1,nucleus,uniprot,9606.ENSP00000320949
