,go_feature_0,go_feature_1,go_feature_2,go_feature_3,go_feature_4,go_feature_5,go_feature_6,go_feature_7,go_feature_8,go_feature_9,go_feature_10,go_feature_11,go_feature_12,go_feature_13,go_feature_14,go_feature_15,go_feature_16,go_feature_17,go_feature_18,go_feature_19,go_feature_20,go_feature_21,go_feature_22,go_feature_23,go_feature_24,go_feature_25,go_feature_26,go_feature_27,go_feature_28,go_feature_29,go_feature_30,go_feature_31,go_feature_32,go_feature_33,go_feature_34,go_feature_35,go_feature_36,go_feature_37,go_feature_38,go_feature_39,go_feature_40,go_feature_41,go_feature_42,go_feature_43,go_feature_44,go_feature_45,go_feature_46,go_feature_47,go_feature_48,go_feature_49,go_feature_50,go_feature_51,go_feature_52,go_feature_53,go_feature_54,go_feature_55,go_feature_56,go_feature_57,go_feature_58,go_feature_59,go_feature_60,go_feature_61,go_feature_62,go_feature_63,string_id
ZG16B,0.243309945,0.017081099,0.231886029,0.238845229,0.105166145,-0.604047656,0.320596963,0.38511765,-0.042799976,-0.22712329,0.047433816,-0.095401399,0.073384762,0.238794252,-0.175060064,0.049663492,-0.049559459,0.297220737,-0.181329891,-0.271769524,0.135823295,0.470837384,0.759827435,0.166394666,0.330530792,0.090497136,0.211916134,0.030191939,-0.534068644,0.473284364,0.189452812,0.126596674,-0.13425976,0.056273419,-0.235095561,-0.002849692,-0.116435938,0.253182203,0.072198562,-0.324583501,-0.169146016,-0.984862924,-0.244502544,-0.167479798,0.070033044,-0.159601241,-0.177655876,0.055593546,0.122438937,-0.65222615,0.612971902,-0.097159624,-0.216541246,0.171527609,0.241351321,-0.854788005,0.488058358,0.054267835,0.093987793,-0.412401408,-0.076843582,-0.202892542,-0.194921434,-0.133581907,9606.ENSP00000371715
THPO,0.215454087,0.729857624,0.713268876,-0.140517607,-0.364618093,-0.03086431,-0.152079836,0.106151924,0.499471009,0.713790059,0.143010914,-0.015277265,-0.213072568,0.251515687,0.254511267,0.017548496,-0.019579645,-0.022174701,0.219456017,-0.027168738,0.118442275,0.128932729,0.18955414,-0.000599195,-0.315909803,-0.004309467,0.070241742,-0.588768661,0.105722792,-0.23118782,-0.15636909,0.037334614,-0.134261876,-0.172702894,-0.511956751,0.202223018,-0.114891119,0.142787263,0.347415835,-0.450108081,0.374287158,0.575830638,-0.450829804,-0.121140651,0.122733079,-0.171901554,-0.53986305,-0.376851261,-0.278290778,0.001220577,0.387632579,0.236152008,-0.215531707,-0.19211787,0.239892453,0.004889681,0.10052155,-0.359332204,0.183074772,-0.160404876,0.095560662,0.491139174,0.110175118,-0.066833451,9606.ENSP00000204615
DLL3,-0.034655564,-0.200357765,0.060923014,-0.176762432,-0.102428906,-0.255713642,0.133956283,-0.143997446,-0.222992912,0.050405264,-0.139246926,-0.129965663,0.190179765,-0.076061539,-0.074405,-0.008436115,-0.086809501,-0.163534313,-0.164560601,0.14263922,0.013282073,0.030712495,-0.137852773,-0.136899531,-0.06750568,-0.152407303,0.148813203,0.110479899,0.030224895,-0.009534381,0.057168759,-0.129975826,0.261682302,0.280812711,-0.193031281,0.224462032,0.034114193,-0.548808694,0.034062505,0.01566172,0.020028681,0.052909292,0.176905558,0.069619454,-0.01737567,-0.072984956,-0.121321037,-0.131695658,-0.084621333,-0.03169518,-0.295998663,-0.174608022,0.049162917,-0.045986094,0.077591762,0.101560384,0.085742384,-0.081591509,0.13415648,-0.34647429,-0.106658027,0.142767027,0.346172422,0.060236901,9606.ENSP00000205143
ZNF735P,0.014511442,-0.594220459,-0.081979878,-0.185014874,0.093769543,0.192562565,-0.384222418,-0.099123903,-0.474966496,-0.114695609,0.35346657,-0.188719437,0.114035815,-0.023496307,1.256791949,-0.198741108,0.044014517,-0.17581743,0.335215122,0.070989244,-0.19121483,-0.169841319,-0.00839611,0.242263243,-0.245026365,0.03494896,0.211035073,0.498026371,0.230500564,-0.059934895,0.299140185,0.057710301,-0.009172026,-0.129962027,-0.097455718,-0.0494987,-0.073662579,0.195141524,0.335665524,-0.023907796,-0.107134357,0.126290023,-0.139726281,0.164334863,0.24545534,-0.473313987,0.091255702,0.044538409,0.120682053,-0.25596717,-0.094483152,0.280712396,-0.063967101,0.009123906,-1.031360984,-0.100635566,1.181545258,0.090381332,-0.031831078,0.08281856,-0.231355116,0.189842969,0.001462013,-0.280016363,9606.ENSP00000485193
EXTL2,-0.052427411,0.319686949,0.218829334,-0.192550451,0.019405758,-0.078221567,0.0669806,-0.123743169,0.003839258,-0.147340879,-0.078233376,-0.159322783,0.086653374,0.308433324,-0.044749007,0.199238256,-0.264906019,-0.131750479,-0.282423228,0.046008818,0.224059492,0.049882278,0.139958277,-0.219170168,-0.152401209,-0.002387245,-0.193177864,0.204505652,-0.150883764,0.151834458,0.069754459,0.131426156,-0.209655672,-0.262084305,-0.133977994,0.027124992,-0.171426281,0.110731021,-0.069146596,0.214556113,-0.131599933,-0.053298037,0.006272146,0.075799674,-0.11062938,-0.041783959,0.184678912,0.012262078,-0.023807354,-0.223169059,-0.082710415,0.189086869,0.137488171,-0.050708693,-0.017038254,0.10546682,-0.126698688,0.186471075,-0.210420489,-0.117779545,-0.25471589,0.014208354,-0.093510702,-0.197033644,9606.ENSP00000359132
ZNF71,0.04265872,0.029988809,-0.168474674,0.555306494,-0.015887713,-0.158280686,0.105299942,0.135377601,-0.043811526,-0.041945763,-0.113102019,0.340935618,0.179398879,0.147158638,-0.009605866,0.020828905,0.021163823,-0.142071754,0.227819443,0.282635003,-1.013661385,0.067712627,0.251173496,0.215727866,0.190657213,0.358387858,-0.199089676,0.283969343,0.123598784,-0.174793094,-0.590379417,0.107532099,-0.137181401,-0.194944233,-0.102052636,0.39910236,-0.049730781,-0.115605615,-0.083724231,-0.583569407,0.081887312,-0.143837303,-0.167307913,0.031095531,-0.042476945,0.032713097,-0.248843342,0.164034367,-0.111992255,0.524590373,0.092285678,-0.270458728,-0.285490155,-0.359685928,0.010968663,0.193545714,-0.144252196,-0.159357667,-1.36239624,0.036994632,-0.326239139,0.385376632,0.130809292,0.067637734,9606.ENSP00000328245
LRRC8D,0.262061089,-0.034093931,0.025903402,-0.650910258,-0.100770362,0.447877705,0.050810378,0.170036241,0.135687619,0.142122313,-0.230879307,-0.577087462,-0.141233444,-0.234010011,0.176402718,0.201331317,0.104412667,-0.148629352,0.217546597,0.525279522,-0.083643943,-0.060159683,0.009354425,-0.47166732,-0.090705834,0.488130033,0.304497331,0.33440426,0.233536094,0.068837807,-0.370227575,0.153351724,0.013835758,1.083136916,0.085011922,0.005314963,0.231131852,0.171018258,-0.380010903,-0.212981671,-0.142272204,-0.248644367,-0.328548223,-0.043559399,-0.526034296,0.336005598,-0.088251889,0.240515172,-0.018150471,-0.228035972,-0.514116406,0.103632778,0.509825349,0.226660714,0.025752582,0.086413324,0.082984895,-0.169702083,0.224599913,-0.852140546,-0.265122324,-0.426186919,-0.026374742,-0.485573381,9606.ENSP00000338887
PLA2G4C,0.339817315,0.030970391,0.058538128,0.317645431,-0.032934457,0.022982512,0.277605116,-0.048005678,0.032286271,-0.019245621,-0.025662564,-0.229688838,-0.124135688,0.018987639,0.036762748,-0.255298615,-0.04480356,-0.090393662,0.174637303,0.208091557,-0.156409681,0.192941457,-0.735951006,-0.270284176,-0.366501451,-0.019414928,-0.331846446,0.071163699,0.223062456,-0.039602976,-0.239494473,-0.043990001,0.202624753,-0.349407256,0.130972683,0.367640227,-0.528432846,0.80216068,0.155623227,-0.004438531,-0.008033279,-0.029950306,-0.039180409,-0.183593512,0.292219311,0.062185761,-0.104926214,-0.152824506,0.075880431,-0.107488587,-0.130455896,0.204297855,-0.104420446,0.062449407,-0.014683914,-0.05338984,-0.184389055,-0.334084243,0.559825301,0.125911623,0.002853619,0.020857051,0.327077538,0.034485087,9606.ENSP00000472546
ANKEF1,-0.180710688,0.142364934,0.063578382,-0.249644861,0.048605263,-0.335138172,0.111211471,-9.52E-05,0.250380784,-0.029840667,-0.848152637,-0.200454667,0.113640539,-0.03922496,-0.261057556,-0.696119905,-0.011576535,-0.259234995,0.011783915,0.392431051,0.213790208,-0.707942367,0.494456619,-0.080549389,0.097340912,-0.131980553,0.131270126,0.10543476,0.148182362,-0.235562533,-0.06667988,-0.028626531,0.239099786,0.014143243,0.063330106,0.005754273,-0.016421396,0.024002975,-0.642642438,0.394961983,-0.227790669,0.525027812,0.551469564,0.092922159,-0.098067239,0.058281947,-0.471066982,-0.351912856,-0.163327783,-0.062047578,0.424539804,-0.15507479,-0.00791833,-0.12110316,0.222370192,-0.116118312,0.314769447,0.297130823,-0.137987435,0.187338024,-0.133050859,0.024654863,0.038430378,-0.528451085,9606.ENSP00000367631
HOXA11,-0.182991043,-0.459911048,-0.0134461,0.214673653,0.001499846,-0.560881972,-0.256278068,-0.273654908,0.317378104,0.480297267,0.125307187,0.34662661,0.053202093,0.023740863,-0.09690433,0.214902014,0.140652344,0.462311208,0.067588389,0.511670709,0.273642957,0.261881232,-0.029856879,0.38374573,0.287463516,0.075798161,-0.153263777,0.368737817,0.069814824,0.210654408,-0.341730773,0.220959082,0.232720241,0.095714018,-0.342712283,0.152704179,-0.158417344,0.340745687,-0.54608953,-0.052258059,0.064613692,0.074460439,-0.056202397,0.001950166,0.151272714,-0.191040099,0.352161318,0.140705213,0.04062828,-0.281690538,-0.433060229,0.270705342,0.076348715,0.18058461,0.362512529,-0.042187508,0.620046496,0.150134355,-0.017410256,0.373638153,-0.124446377,-0.330866784,-0.04220809,-0.277427882,9606.ENSP00000006015
FOXJ3,-0.104539126,0.028480276,0.000925068,0.400498003,-0.030151866,-0.106105983,0.079890557,-0.01713915,-0.006769584,0.117268123,-0.062492028,0.040939715,-0.065699972,-0.158748612,-0.091061808,-0.029440207,-0.02101991,-0.10868974,0.005038539,-0.057950106,-0.44994086,0.00438438,0.095210828,-0.093357474,0.042724639,0.058755919,0.034150988,-0.021062596,0.149107069,-0.061251849,-0.178234175,0.035175461,-0.117319427,0.078949496,-0.046975389,0.086630277,-0.105512261,-0.056455579,-0.031412795,-0.434637755,0.001393888,-0.273084223,0.129837587,0.073461153,0.024156367,0.265987784,0.04277052,0.055500224,-0.115142599,0.055194966,0.130080327,-0.013002755,-0.134489208,-0.160842031,-0.058066107,-0.125054911,-0.032532912,0.137502596,-0.715315163,0.178746715,-0.154038548,0.182932705,-0.027987389,-0.185289532,9606.ENSP00000361653
SPATA31A3,-0.066265032,0.330491066,-0.183239236,0.168249711,0.20245102,0.334979683,0.363588482,0.130506501,0.047338117,-0.129253834,0.368411779,-0.661179304,0.801477432,0.161270589,0.344849735,-0.141335264,0.299517155,-0.336576521,0.063623942,0.004953749,0.189858019,0.148162127,0.074387304,0.518014252,-0.218811572,-0.760125697,0.054856736,-0.215256423,0.121533729,-0.046617899,-0.697413981,-0.246043295,-0.623820662,-0.497733712,-0.122002818,-0.491935909,0.088538311,-0.269558579,0.095023744,-0.494054824,0.075853832,-0.299567431,-0.343593508,0.525607109,-0.081057437,0.110366352,0.015130632,0.393008977,-0.46912533,-0.384930044,0.204635739,-0.28139931,0.03286092,-0.010865334,0.127746627,-0.264592648,0.051218126,-0.528622568,0.345958978,-0.169115886,0.230568856,0.157576039,-0.235191256,-0.286765814,9606.ENSP00000485118
FOXO4,-0.013644599,0.028937299,-0.154966936,0.283211142,-0.026616493,-0.079109579,0.161603361,0.110376328,0.032308459,-0.001917113,0.00292321,0.202468678,-0.016154829,-0.122563288,0.111660257,0.145299837,-0.050810415,-0.125689954,0.061849669,0.028626913,-0.361058891,0.130422667,0.137611881,0.013283437,0.020536866,0.085436344,-0.03948595,0.018340265,0.096073411,-0.3192527,-0.342380255,-0.040344495,-0.117873929,0.095969178,-0.072015651,0.075858183,-0.135729149,0.001017675,0.042256381,-0.208105564,0.112954043,-0.066519052,-0.118514404,-0.12526153,0.045891736,-0.017823622,-0.0488264,-0.00251297,0.104211986,0.296546876,0.221032321,0.158281863,0.029927582,-0.312681079,-0.059536155,-0.024734905,-0.234395891,0.035332762,-0.467136532,0.074365094,-0.133089945,0.111334331,0.097168446,-0.04809336,9606.ENSP00000363377
POLR2B,-0.024972869,-0.083846398,0.072138838,-0.243847132,0.016479934,0.14762634,0.165642574,0.112343602,-0.089668825,-0.102828212,0.066495091,0.088000223,-0.067444891,-0.008235212,0.017310873,0.257686019,0.229575157,-0.07672473,-0.081816129,0.075114205,-0.138478622,-0.018207958,0.135384008,0.066325329,0.236999467,-0.048419621,0.14609082,-0.221500844,-0.128216624,-0.237156972,-0.026042255,-0.312450796,-0.016823925,0.034378372,0.320215166,0.136475563,0.182083204,0.063000202,0.270460665,0.023630844,-0.150003463,0.01510227,-0.037024327,0.248596728,0.104684711,0.192742199,0.167319506,0.211435407,-0.252203465,0.128289565,0.259922504,0.360641509,-0.091217443,0.105406918,0.239139616,0.319177777,-0.26059255,-0.149955407,-0.04766269,-0.312141836,0.003837781,-0.080115668,0.098990545,-0.0059705,9606.ENSP00000370625
TUBG2,-0.098612852,0.114428043,0.321438581,0.164440572,-0.086860515,-0.134402379,0.164293587,0.181100383,0.291265339,0.143715933,0.197299331,-0.53752166,0.390524834,0.199401945,-0.249194622,-0.070964962,0.123853087,0.166704208,0.115817167,-0.329398036,0.238126457,0.21571061,-0.156120002,0.257429689,-0.42323631,0.076886393,0.202958167,-0.24872902,0.144197166,-0.116775423,-0.030179495,-0.033206657,0.201712608,-0.165593401,0.170803934,0.067416422,-0.217339844,0.129653484,0.532754302,0.175164968,0.202071384,0.195350111,-0.072680287,0.303564578,-0.106893495,0.552932024,-0.150148392,-0.067656562,0.091468081,-0.037704602,0.10022071,-0.073767625,0.235681444,-0.156084821,-0.383466899,-0.103221156,-0.362864554,-0.094075859,0.05989502,0.319411993,-0.312838495,0.431283563,-0.295517683,-0.091010228,9606.ENSP00000251412
KLK1,0.434826285,0.090793118,-0.029684125,-0.208785325,0.032954294,0.208143726,-0.192258045,0.021520669,0.128823623,0.088061787,0.350271583,-0.128515646,0.09570884,0.215036541,-0.652175665,0.121603861,-0.206360087,0.263349444,0.250074089,0.3313061,-0.342703402,-0.54001081,0.15130426,0.147231907,0.362931699,0.15561834,0.07172212,0.465437889,-0.009830671,-0.266772836,0.175181061,0.025761956,-0.567408741,0.140025035,-0.36586079,0.518404663,-0.370550781,-0.276961684,0.607534111,0.074609928,0.352682441,0.344547123,0.154263362,0.533731461,-0.014968481,-0.382949352,0.166234389,0.014945172,-0.169437081,0.003142351,0.162698716,-0.225998357,-0.157903254,-0.145998582,0.424580395,-0.01878139,0.533730388,0.126642808,0.086203888,-0.067680322,-0.034817014,-0.31452629,0.048244011,0.188104123,9606.ENSP00000301420
RPA3OS,-0.439930409,-0.043362748,0.255019158,0.263404995,-0.186977163,-0.28303495,0.063738763,-0.129713267,-0.117543213,-0.135601431,0.016872296,-0.452354044,0.282587051,0.004960757,-0.213125527,-0.36268875,0.544096529,0.278818429,-0.1331826,0.004553176,-0.144225433,0.168230966,0.197726041,0.046156764,-0.068835631,0.055998329,0.144150808,0.109457418,0.512140334,0.025250042,0.326029211,-0.176770151,-0.232679561,-0.040485866,-0.041592926,-0.581965625,-0.232918948,0.163569018,-0.27663967,0.269211411,0.260604769,-0.24000375,-0.075592935,-0.069479987,0.049882237,0.106734134,-0.490855694,0.017393745,-0.391852498,0.040890165,-0.130279407,-0.226072714,0.029571034,-0.765320659,-0.277011693,-0.04296099,0.126358926,-0.089701444,0.069516167,-0.084709175,0.168059528,-0.38711378,-0.13554801,1.067058921,9606.ENSP00000386039
BST1,0.222132459,0.508702695,-0.162186295,0.066129483,-0.169319749,-0.131531656,-0.388819456,-0.076827332,0.127341747,-0.161273584,-0.195862472,0.212344706,0.273305923,0.109613068,-0.085721515,-0.130184665,0.035907973,-0.018378448,0.347827315,-0.37938863,0.221357286,-0.073855892,-0.209469646,-0.197486207,0.198969677,0.102888882,-0.355449915,-0.204610825,-0.145318389,0.077728547,0.133709848,0.109822743,0.086381018,0.144719198,0.096373782,-0.129835159,0.046857469,-0.256813973,0.328732789,-0.168361425,0.081092894,-0.259441048,-0.152433112,0.328603923,0.312288165,0.062171239,-0.277921438,0.271579385,-0.067228645,0.002162169,0.342590064,0.009721851,-0.205665201,-0.102072805,0.206856757,0.105166875,0.175611302,-0.01885888,0.028082874,0.076437227,-0.06432119,0.352482289,-0.232575849,0.128566116,9606.ENSP00000265016
ARAP2,0.792352438,-0.173469558,0.244849175,0.298127621,0.171154216,-0.148078769,-0.051747873,0.167352095,0.016161386,-0.23919341,0.251568347,0.578039706,0.215325207,0.095928773,0.253278852,-0.091644019,0.17684406,-0.390526056,-0.236103207,-0.046341371,-0.318708569,0.513447702,0.461919099,-0.260414153,-0.741521597,-0.302310735,0.231375486,-0.071301408,0.387593389,0.378860116,0.228554428,0.020405842,-0.017330164,0.380507857,0.034721836,-0.156699598,-0.008105249,-0.164689958,0.346859694,0.775451839,-0.332572877,-0.050669823,0.077093869,0.154206932,0.04073941,-0.120505616,-0.013954141,-0.057897288,0.173726827,0.020911839,0.445643097,-0.014270568,-0.247745112,0.044716071,0.244637847,-0.40066573,-0.16726701,0.030266138,-0.100316569,-0.023802245,-0.126762748,-0.593274236,-0.387623698,-0.364626914,9606.ENSP00000302895
GJC2,0.081547767,0.208898485,0.045207102,-0.373667002,0.177967533,0.036533564,0.165159494,0.509546399,-0.380327851,-0.402808577,-0.006447344,-0.134511217,-0.079229049,0.220084071,-0.130043983,-0.243441954,0.384860992,0.086905293,-0.370457709,0.407761902,0.019300558,-0.20692353,0.059833538,0.1440285,-0.102606349,-0.26894179,0.138231099,0.483476162,0.253837854,-0.278701633,0.062440917,-0.14972873,0.434785664,-0.118909143,-0.223858535,0.073853493,-0.191642493,0.205165192,0.367543429,0.325827092,0.380023807,-0.240304112,-0.338582605,0.048378378,-0.152148411,0.192266479,0.035105076,-0.295271218,0.004598646,0.105198532,-0.359279692,0.23632057,0.104694963,0.045416225,-0.510057926,-0.487756252,-0.687523842,0.064042561,-0.734840095,-0.305044055,0.369420439,-0.300210595,0.070822194,-0.112481058,9606.ENSP00000355675
CPA6,0.085831203,-0.188288942,0.055152524,-0.09766873,0.15541859,-0.035479229,-0.104271434,-0.040904596,-0.111819617,0.207350463,-0.10120967,-0.117965862,0.169656947,0.2888273,-0.130612686,-0.087916203,-0.066005252,0.288234353,-0.018307488,-0.17088227,-0.164111301,0.018756982,0.231847957,0.181368694,0.041174602,0.182775632,-0.2252938,0.285829872,0.104468599,0.016839853,0.138277903,0.037901815,-0.393306613,-0.190177873,0.088223614,0.245635837,0.129642487,-0.058402669,-0.260796815,-0.087349817,-0.174787417,-0.101361953,-0.14475888,0.145081043,0.058375858,-0.21009627,-0.22350356,0.171687812,-0.17274496,0.040761665,0.137463734,0.099253222,-0.224892661,-0.148374602,-0.240653425,0.17954649,-0.23903352,-0.021849679,0.262942404,0.116928041,0.043048963,-0.035422623,0.131728232,0.10510613,9606.ENSP00000297770
NBPF26,-0.180714637,0.122802988,0.135050505,-0.09274476,0.007906817,0.752447605,0.321479559,0.251339614,-0.062240127,-0.137530386,0.092113271,0.043343786,-0.006031039,-0.652970254,-0.015646076,0.077052295,-0.547572255,-0.736300051,-0.179108918,0.405204386,-0.120976925,0.187328771,0.15265888,-0.15258947,0.008550962,0.887114286,-0.329827994,0.196296141,0.196443319,-0.240974024,0.216848031,0.364402771,-0.02330805,-1.12187922,0.444853336,-0.560831308,-0.02963553,-0.077829778,0.004171817,0.149567768,-0.561684549,0.311438322,-0.318529129,-0.235689268,-0.113353416,0.078406706,-0.780247092,-0.015747927,0.048257895,0.174124137,-0.235468626,-0.015198003,0.08007279,-0.535544634,0.134192526,0.181500077,-0.018367331,0.405636579,0.477547169,0.040155616,-0.525260508,0.123320743,0.10673923,-0.510413826,9606.ENSP00000479693
BRICD5,-0.0577765,0.163241595,-0.381237209,-0.032203611,-0.122852184,0.199486315,-0.263917863,0.071777731,0.218423441,-0.239116237,-0.05430124,0.169616595,0.031581726,-0.035773005,-0.212864935,-0.152892828,0.278482646,-0.073332883,-0.160324067,0.066355526,-0.074193254,0.05766654,0.036891852,0.188545659,-0.059482083,0.142588913,-0.006121356,0.175125033,0.208228156,0.117240369,-0.135427818,0.332204133,0.17678991,-0.251666009,0.028380236,0.123594441,-0.237873718,-0.130507335,0.06374225,-0.321983039,0.194869548,-0.205717742,0.292110384,-0.032340791,-0.23991096,-0.053517278,-0.039511554,-0.146240696,0.332505018,0.092755735,0.153305471,-0.012222281,0.746990502,0.154574707,-0.201729521,-0.300061435,-0.01064709,0.047949944,0.278740942,0.031545941,-0.206940681,-0.107201986,-0.151382625,0.159581929,9606.ENSP00000332389
MARK2,0.052833583,-0.236084521,0.124481983,0.225900859,-0.364517063,0.394640952,-0.314522386,0.018758519,0.34573248,-0.201375619,0.456633627,-0.140641123,0.933180571,0.058938753,-0.187803611,-0.044987928,0.073102832,0.450194776,0.213908374,0.240106657,0.049518943,0.236758173,-0.1986074,0.278459102,-0.090755008,0.209198236,0.470410466,0.126935318,0.155215368,-0.356453151,0.399424165,0.077304885,-0.104178436,-0.13705045,-0.17656593,-0.314623386,-0.211448595,-0.047270581,-0.098717272,0.175619736,-0.265885979,-0.067712814,-0.124550618,-0.675098479,0.10062214,0.033625212,-0.205450043,0.19216159,-0.128411412,0.067998528,0.036488585,0.221137017,-0.310366392,1.218936563,-0.022480262,0.529991865,0.078660339,-0.080498427,-0.275316387,-0.166046813,-0.20009692,0.022689417,-0.123978347,0.285551429,9606.ENSP00000385751
MTFMT,-0.099725604,0.186829835,-0.151170149,0.039974712,0.026696842,0.025800828,0.022967791,0.072547697,-0.062321927,-0.135060638,-0.234968588,0.048631713,-0.210791379,0.163071394,-0.016027769,0.289644629,0.061886724,0.034203317,0.006140016,0.050494935,0.212361529,0.170128644,-0.050308794,0.032001782,-0.029972911,-0.033660404,-0.08986792,0.003980847,0.11100851,0.031538021,-0.163130447,-0.088265128,0.159388483,-0.033774804,-0.027587416,0.038533449,0.139014333,0.090783559,0.21018064,0.142034948,0.117667317,0.012814349,0.144680068,-0.107809529,-0.149559394,-0.192679763,0.032046769,-0.096318029,-0.059522979,-0.078296982,-0.077684484,0.036072556,0.163397357,0.05055191,-0.046486054,0.330688804,-0.058181811,0.064152673,-0.1209649,0.03489545,-0.021750601,-0.016259868,0.070321053,-0.193915501,9606.ENSP00000220058
PI4K2A,0.40279147,0.20334056,0.180759668,0.036477979,0.152424484,-0.057416774,-0.267195791,-0.104785703,0.101490371,0.186945811,0.033806838,-0.157393828,-0.272766829,-0.060898621,0.611200511,0.186325565,0.101654582,-0.021271588,-0.181962565,-0.13257876,0.065809913,-0.135494098,0.109508939,-0.249248028,-0.267077088,-0.1495101,0.452079266,-0.239463776,0.650438309,-0.392030358,0.090404026,-0.130122393,0.339849532,-0.208657533,0.025957553,-0.016290322,0.145347387,-0.200466752,0.055867646,0.020658033,0.181474522,-0.055914626,-0.70286268,-0.341607153,0.065476298,0.261625677,0.206193015,0.044841103,0.128952712,0.110048488,0.550352693,0.310836971,-0.165260926,-0.091334842,0.632001042,0.358017832,0.078458764,0.200995117,0.406512916,-0.196947739,0.124969967,0.280525357,0.116779312,0.049225267,9606.ENSP00000359665
TRIM41,0.109939903,-0.049443323,0.046122838,-0.028617784,-0.030423099,-0.147742942,0.088569693,0.009033048,-0.006737411,-0.070027359,0.095354445,0.082505286,0.08430364,-0.080606751,0.015350011,-0.155604362,-0.53912282,-0.141123116,0.120827205,-0.013870893,0.055096786,-0.046564437,-0.102610797,-0.195925355,0.136641666,-0.094431192,0.039784398,-0.009665297,0.005895332,-0.152748704,-0.011952551,-0.398797989,-0.12167044,0.005833582,-0.039560858,0.14732562,-0.108684734,0.08593297,0.00465161,0.079999447,0.104256094,0.016541634,0.007742311,0.023570985,0.18466121,-0.018554045,-0.129814863,-0.087340117,-0.134477183,-0.071958907,-0.06246274,0.07764779,0.422575116,0.094067521,-0.056434788,-0.003989013,0.124548748,0.015710399,-0.063811108,0.021053897,-0.053089552,-0.130278572,-0.07450515,0.097349726,9606.ENSP00000320869
UNC45A,-0.093006022,0.19112964,0.225771278,0.000472134,-0.260455579,0.137261912,-0.104760595,0.232811779,0.138839513,-0.001370514,0.140442565,0.102777645,1.090697885,-0.208631799,0.139504582,-0.286312342,0.122641057,0.409052372,0.056372598,0.035765659,-0.286112994,0.621284366,0.093832642,0.357081443,0.118211821,0.065515257,0.192274645,0.176198661,0.513204157,-0.316669464,-0.067631289,0.078835353,0.162543252,-0.294680297,0.248086557,-0.022386637,-0.330686659,0.022798708,0.205853194,-0.045800537,-0.081835352,-0.411757678,0.212764412,-0.770921052,0.080241174,0.058646407,-0.337941468,-0.049591281,-0.144628003,0.09260615,0.025822708,0.2564345,-0.369870782,1.343313217,0.055714421,0.756474435,0.290403873,0.574005365,-0.091792852,-0.198377773,-0.301194072,-0.170287535,-0.23097907,0.346611053,9606.ENSP00000407487
YY1AP1,-0.348796576,0.011886008,-0.041490827,-0.056188256,-0.241147488,0.103275508,-0.059489839,0.066231079,0.14454931,0.110650674,0.014763006,-0.003470167,0.183424562,-0.051018316,0.022922041,0.103560641,-0.108025566,0.241590589,0.262679696,-0.189931765,-0.203399926,0.024740517,0.118935272,0.130493358,-0.019024916,0.303256005,-0.057470102,-0.235855445,-0.165484667,0.009722455,0.000876147,-0.253673673,-0.041194648,-0.005087066,-0.067484453,0.129654124,0.035524301,0.248703673,-0.060438652,0.246578544,-0.451284289,0.000959203,-0.115557566,0.042960189,-0.414564997,-0.00285693,0.244256705,0.021155121,0.098446138,0.040485058,-0.08818008,0.060069315,0.016471172,0.000195187,0.13585718,-0.01144947,-0.028350655,0.360302687,0.156308129,-0.003085129,1.35565412,0.01129324,-0.196897894,0.221703202,9606.ENSP00000357323
RAP1B,-0.020015968,0.195216075,0.145187214,0.008900976,0.086084083,0.213964298,0.142120689,-0.031431522,-0.069505408,-0.030258838,-0.103757605,0.218865916,-0.051838119,0.299456,0.161068127,0.048239976,0.048814509,0.13244541,-0.124754503,-0.281951725,0.052155964,-0.125594184,-0.035312004,-0.075942397,0.190098152,-0.067867152,0.035121549,0.170302242,0.359884322,-0.009792626,-0.280619174,0.083015755,-0.126199797,0.048745014,0.03233774,-0.064768173,0.070574567,-0.023261391,0.089737207,-0.009427043,-0.176366135,0.086382568,0.18094404,0.062143609,-0.012264215,-0.124559082,0.071389325,-0.184003308,0.235610992,-0.018818252,-0.461307913,-0.199008346,-0.287917733,-0.006397881,0.230358049,-0.11542125,-0.212455586,-0.018391944,-0.036843974,-0.128382131,0.053027064,0.025647573,0.060634412,-0.178751454,9606.ENSP00000250559
GPX4,-0.038671419,0.291634798,0.223982215,-0.108694471,-0.308279991,0.286980599,0.515794516,0.132866099,0.232042685,0.347673535,0.026560821,0.305253953,-0.10357859,0.037957795,0.103488214,-0.083618768,-0.135495499,-0.02920465,0.077207334,-0.369458437,-0.045944702,-0.325897336,0.24280338,0.376424253,0.248457164,0.304235369,-0.461273432,0.12718378,-0.181500316,0.017776772,-0.4825221,-0.004464135,0.109552681,0.345548779,-0.174879208,0.333682507,-0.00807929,-0.238988757,-0.036781915,0.053860214,-0.208242193,-0.040770181,0.313107461,-0.483888745,0.058648966,-0.601698816,0.216846243,-0.194714263,-0.404260188,-0.222617581,-0.091462903,0.521775246,0.217639387,0.106675655,0.225035995,0.099093124,-0.313869864,-0.162887603,-0.175927475,0.452802449,-0.098667227,0.269869149,0.175718531,0.329249918,9606.ENSP00000346103
