,go_feature_0,go_feature_1,go_feature_2,go_feature_3,go_feature_4,go_feature_5,go_feature_6,go_feature_7,go_feature_8,go_feature_9,go_feature_10,go_feature_11,go_feature_12,go_feature_13,go_feature_14,go_feature_15,go_feature_16,go_feature_17,go_feature_18,go_feature_19,go_feature_20,go_feature_21,go_feature_22,go_feature_23,go_feature_24,go_feature_25,go_feature_26,go_feature_27,go_feature_28,go_feature_29,go_feature_30,go_feature_31,go_feature_32,go_feature_33,go_feature_34,go_feature_35,go_feature_36,go_feature_37,go_feature_38,go_feature_39,go_feature_40,go_feature_41,go_feature_42,go_feature_43,go_feature_44,go_feature_45,go_feature_46,go_feature_47,go_feature_48,go_feature_49,go_feature_50,go_feature_51,go_feature_52,go_feature_53,go_feature_54,go_feature_55,go_feature_56,go_feature_57,go_feature_58,go_feature_59,go_feature_60,go_feature_61,go_feature_62,go_feature_63,string_id
CYP39A1,0.171514735,0.05358493,-0.068977281,-0.193045482,0.214355096,-0.355062932,0.094566911,0.127283618,0.044092391,-0.668185055,0.309552282,0.343602747,0.395155072,0.006861939,0.449233651,-0.005546144,0.109596789,-0.076073147,-0.063733116,0.256486177,0.143934533,-0.422603041,0.060016192,0.188302606,-0.164393991,0.283009261,0.564894378,-0.523836195,-0.40062052,-0.096687146,0.16010955,0.084421985,0.1480003,0.042074561,-0.095897123,0.148398891,-0.827382982,0.121412128,-0.227941006,-0.38977465,0.106921867,-0.161626399,-0.126715779,0.094905801,-0.210597277,-0.129012227,0.095918804,-0.082718633,-0.275064319,0.615983367,-0.178130001,0.552160144,-0.104842216,-0.656615853,0.414220691,0.195769161,-0.102158099,-0.20611459,0.436299711,0.008309833,0.005258758,-0.44119215,-0.298966199,-0.390802741,9606.ENSP00000275016
TNNT3,-0.016425243,-0.065639324,-0.036332861,-0.025006561,-0.015759241,0.293175995,-0.034954596,-0.078105971,0.130065545,-0.01364713,0.054027013,-0.043549031,-0.121055372,-0.248424977,0.03443655,-0.151322976,0.097836353,-0.199920163,-0.153612345,0.018353784,-0.02706074,0.381549925,-0.086129688,-0.079919435,0.147879392,0.302790016,-0.395919979,0.073371895,0.084137149,-0.17575787,0.159095466,0.104223415,0.045632098,-0.259129196,0.030119181,0.064088203,-0.129641622,-0.08199542,-0.09294185,-0.099684112,0.131329149,-0.037858978,0.164741978,-0.02332768,0.119869664,0.129059702,-0.291597992,-0.053856749,-0.204062015,-0.00958789,0.108672515,0.13213931,0.066319615,-0.164528638,0.002884426,-0.006908347,0.077214479,-0.035437815,0.255658358,0.049470797,-0.099560954,-0.05881153,0.142385423,-0.193430454,9606.ENSP00000278317
EDNRB,-0.02267905,0.002125489,-0.337994039,-0.242845446,0.140417919,-0.271148771,-0.469757318,0.273084491,-0.172933742,-0.089837737,-0.273256332,0.029918555,-0.264078766,-0.273396611,0.491950154,0.19190985,0.156736106,0.322863013,0.296641827,0.706581593,0.029543044,-0.120109767,-0.28787598,0.179238662,0.540441453,0.058578562,0.180073917,0.719218671,-0.15994069,-0.146462649,0.302708983,-0.401633471,-0.143624917,-0.238450363,0.560644507,-0.207088485,0.426134586,-0.246277124,0.564531147,0.167436734,0.200338453,-0.081365801,-0.054120097,0.222788975,0.149600431,-0.204457447,0.17442821,0.228315905,-0.081285819,-0.30377385,0.202214569,0.082632639,0.204657823,-0.176870674,0.603073955,0.16563651,0.094828889,0.195441082,0.020993356,-0.18455036,-0.103297889,-0.166945085,-0.362478733,-0.249968767,9606.ENSP00000366416
CLSTN1,0.054056302,0.157941878,0.123641871,0.034243453,0.549115121,-0.377903491,0.044975363,0.025415368,0.095900722,0.113219328,-0.561654806,0.117951006,-0.369593203,-0.037543621,0.054059606,0.049638547,0.26074028,-0.125397101,-0.045016807,0.252587646,-0.088137083,-0.392382979,0.093960501,0.327522308,0.016891016,-0.164398,0.193041235,0.667583942,-0.14230448,-0.453387618,0.421975911,-0.25859946,0.330082089,-0.04660717,-0.241356209,-0.236056775,-0.351459682,0.243539333,0.667624235,-0.032657392,0.39646548,-0.134025216,-0.199824721,0.547017217,-0.07014405,-0.053519201,0.31160301,0.157950774,-0.061655916,0.279575318,-0.341310591,-0.181456342,-0.118277155,-0.059066627,0.456405789,-0.08228498,-0.056143731,-0.247489065,0.225191846,0.401450425,0.110750817,-0.176195547,-0.384448797,-0.111114979,9606.ENSP00000366513
AVPR2,-0.686557353,-0.031007852,0.097769119,0.356253475,-0.255479395,-0.669829249,0.314306051,0.233003095,0.594013572,0.66696924,0.244076028,-0.130053774,-0.409237981,-0.389572531,0.188082516,-0.064653091,-0.147791788,0.557946861,0.453677863,-0.313436389,-0.127034336,0.502428234,-0.301611483,0.090035431,-0.223449647,-0.020155672,0.070094243,-0.193487361,0.357947975,0.431636721,-0.150231048,0.029070815,-0.33927381,-0.043636363,-0.12627241,-0.200931028,-0.22307989,-0.081036232,0.398586541,0.110061392,-0.121631593,-0.222838491,0.304959089,-0.425885826,0.049299184,0.328634143,0.107057087,-0.438713938,0.185257345,-0.009380378,-0.486194283,0.325322002,-0.189084947,-0.04152371,-0.064192697,-0.297214329,0.357238382,-0.3295421,-0.123591825,-0.156544819,-0.325240493,0.095815934,-0.082910456,-0.367565632,9606.ENSP00000351805
TMEM258,-0.04770463,-0.206545308,-0.091963723,0.317342222,1.356337786,0.018692324,0.153545707,-0.109490402,-0.066973731,0.086951397,0.145509228,0.04067301,-0.04914527,0.117415406,-0.036784023,-0.202326491,-0.106237605,-0.189751834,0.202663824,0.136460602,0.047572557,0.039599933,0.135211229,-0.080076702,-0.156266019,0.212420627,-0.20677644,0.113797441,-0.159863457,0.246986583,0.054782912,0.100436211,0.075444266,0.109891571,0.457863897,-0.182623744,0.250190556,0.00103613,-0.028093688,0.029765895,-0.277246654,-0.001084423,-0.032515764,0.127953753,-0.039926276,0.084676228,-0.135814607,-0.139756113,0.023861852,-0.26737842,-0.004110193,0.077324286,-0.008947238,0.278031558,-0.050637022,-0.210712045,0.029117467,-0.091142818,0.031742245,0.244333103,-0.19027169,0.269862711,0.058161031,0.39783451,9606.ENSP00000443216
SLC8A2,0.087718204,0.455157071,0.190450475,-0.041227497,-0.200054616,-0.138870478,0.602089345,0.210882992,0.483843058,-0.13908495,0.783219218,-0.460058123,0.221150473,-0.420409232,0.392373741,-0.208016753,-0.17331183,-0.035072993,0.312307894,-0.479976088,-0.259969026,-0.130981803,-0.058870763,0.477677584,0.207577944,0.054715149,0.118637934,-0.239293188,-0.050538082,0.031317957,-0.029482113,0.193252459,0.202120841,-0.301527321,-0.275959492,-0.083379887,0.373439431,-0.287359327,0.036087442,0.294657737,0.415484577,0.355528861,0.033603415,-0.304517239,-0.171349302,-0.448392272,-0.188100144,0.313883185,0.259101033,-0.220346615,0.355089039,-0.149274066,0.017451294,0.151405707,0.168946043,-0.525932252,-0.250852913,-0.115935363,0.321698546,-0.278881848,-0.351528108,0.004125965,0.322946638,0.103697173,9606.ENSP00000236877
ALPI,-0.148291081,0.172860906,0.162310958,-0.613320529,0.171889469,0.045563176,-0.026366288,0.050739221,-0.053443354,-0.026130959,-0.072710246,0.149465427,-0.257432938,-0.029029293,-0.273640156,0.177240402,-0.049148668,-0.120411485,0.038222078,0.012268757,-0.166537106,0.18029733,0.028027199,-0.015829762,-0.206424907,-0.257634491,0.03375167,-0.04077626,0.124724314,0.253670543,-0.114342898,-0.072576143,-0.050359,0.06280347,-0.144010738,-0.035450947,-0.004215143,0.225659177,-0.189250797,-0.001940685,0.155328035,0.051417075,-0.112693988,0.102164291,0.133863866,-0.203516021,0.104153596,0.285115272,0.047720164,0.056625687,-0.229339957,-0.268067479,0.016573459,0.017493432,-0.020645265,0.075137571,-0.062048033,-0.0419164,-0.016034994,0.098546341,0.026214104,0.21792607,-0.196159661,-0.209009424,9606.ENSP00000295463
PCDHGA12,-0.439828217,0.13869065,0.129040986,0.125101835,0.197988927,-0.026944259,0.019489458,0.248484731,-0.014815247,-0.175712436,0.115110412,-0.01661808,-0.329481512,0.143765718,0.282496691,0.168750465,0.038911302,0.030723348,-0.140248999,0.168434158,-0.259249717,0.075827599,0.12191847,-0.047055289,0.09901379,0.198925108,0.389509737,0.005523349,-0.425404578,0.018764405,-0.040971357,0.374844849,-0.007650105,0.085692517,0.038265277,0.126412854,0.047245231,-0.089636646,0.015516542,0.103767216,-0.001310251,0.19290334,0.273127139,-0.099907234,0.086704917,-0.1426768,-0.250135094,0.365682781,0.063008666,-0.121070139,0.343775868,-0.185443416,-0.214759648,0.184084207,-0.090235651,-0.09166345,-0.50148952,0.240060791,0.055717394,-0.08710482,-0.116292424,-0.126557142,-0.210812703,-0.030692875,9606.ENSP00000252085
TPPP2,0.208684117,0.347318649,-0.008121671,-0.032668982,-0.266499251,-0.043410156,0.644604802,-0.199514344,0.379409879,0.149626181,0.919650495,-0.032963712,-0.183843404,-0.367403775,0.261306047,0.399169356,0.079560131,0.200706288,-0.16998601,-0.133931264,-0.14472267,-0.513522923,-0.365586787,-0.099952653,0.364367038,-0.379309088,0.042419169,0.090894647,0.197992519,-0.187016234,0.021753937,-0.179117724,0.375876874,0.296838582,-0.041320663,-0.002184106,0.101038381,-0.31782797,-0.285424292,0.347301424,-0.13253431,-0.460357726,-0.235572472,-0.169991702,0.295419276,-0.534815729,0.632068694,-0.232798606,0.112098679,0.363475293,0.145489365,-0.074926466,0.099991523,-0.003665386,0.34312731,-0.148049235,0.17646794,0.149041101,0.147419959,0.411717027,0.050308198,0.047660936,-0.28207463,-0.055047169,9606.ENSP00000317595
