protein,P,EP,TP,DP,EEP,ETP,EDP,TEP,TTP,TDP,DEP,DTP,DDP,EEEP,EETP,EEDP,ETEP,ETTP,ETDP,EDEP,EDTP,EDDP,TEEP,TETP,TEDP,TTEP,TTTP,TTDP,TDEP,TDTP,TDDP,DEEP,DETP,DEDP,DTEP,DTTP,DTDP,DDEP,DDTP,DDDP,has_path,num_paths,max_path_score,max_degree_score,RWR_target_0.2,RWR_target_0.4,RWR_target_0.6,thermo1,thermo2,thermo3,thermo4,thermo5,thermo6,go_sim,sub_sim,cell_ab_diff,cell_ab_diff_abs,label
9606.ENSP00000457466,0,0,0,0,0.269230769,0.066666667,0.166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.278094303,0.28245614,0.438061041,0.174369748,0.143442623,0.043478261,0.186915888,0.058823529,0.084507042,0.037429819,0.023060797,0.056818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.288148315,0.63328905,4.98e-05,0.000127411,7.29e-05,3.21e-05,1,1,1,0,0,0,0.6666666666666666,0.0664657413423786,-64.4,64.4,0
9606.ENSP00000284503,0,0,0,0,0.019230769,0.0,0.0,0.0,0.083333333,0.0,0.0,0.0,0.0,0.003831041,0.010526316,0.003590664,0.021008403,0.020491803,0.0,0.0,0.0,0.0,0.05864005,0.064989518,0.0,0.057553957,0.050847458,0.0,0.090909091,0.0,0.032258065,0.013077594,0.0,0.0,0.019607843,0.0,0.0,0.0,0.0,0.0,1,0.017938903,0.519459836,4.93e-05,1.64e-05,1.29e-05,7.04e-06,1,1,1,0,0,0,0.6666666666666666,-0.0649841265249508,-66.7,66.7,0
9606.ENSP00000415836,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014636542,0.016374269,0.030520646,0.008403361,0.004098361,0.0,0.021806854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.015461983,0.23519496,1.07e-06,6.85e-06,3.02e-06,9.18e-07,1,1,1,1,0,0,0.7071067811865475,0.0638228348440117,-62.2,62.2,0
9606.ENSP00000310880,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333,0.0,0.00697446,0.01871345,0.001795332,0.008403361,0.020491803,0.0,0.015576324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026155187,0.012820513,0.00729927,0.029411765,0.02,0.0,0.0,0.017241379,0.0,1,0.011859191,0.4896144,0.000114943,2.29e-05,2.04e-05,1.22e-05,1,1,1,0,0,0,0.629940788348712,-0.0881834449690488,-73.7,73.7,0
9606.ENSP00000343629,0,0,0,0,0.057692308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053438114,0.054385965,0.086175943,0.056722689,0.024590164,0.130434783,0.00623053,0.029411765,0.084507042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.193548387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.055543046,0.26782224,4.9e-05,4.21e-05,2.45e-05,1.11e-05,1,1,1,0,0,0,0.4714045207910316,-0.0031086053732737,-17.900000000000006,17.900000000000006,0
9606.ENSP00000452780,0,0,0,0,0.019230769,0.0,0.0,0.0,0.083333333,0.0,0.166666667,0.0,0.857142857,0.025442043,0.02748538,0.030520646,0.039915966,0.036885246,0.043478261,0.046728972,0.014705882,0.492957746,0.03992514,0.031446541,0.011363636,0.09352518,0.025423729,0.0,0.060606061,0.0,0.0,0.081081081,0.162393162,0.306569343,0.117647059,0.18,0.0,0.289473684,0.0,0.215053763,1,0.060797118,0.513666608,6.16e-05,0.000112462,8.24e-05,4.34e-05,1,1,1,0,0,0,0.7378647873726218,0.0320744697457069,2831.7000000000003,2831.7000000000003,0
9606.ENSP00000364691,0,0,0,0,0.019230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006090373,0.007017544,0.014362657,0.008403361,0.020491803,0.0,0.0,0.0,0.0,0.016843419,0.020964361,0.0,0.035971223,0.033898305,0.0,0.0,0.076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.010433086,0.211006295,5.16e-06,6.66e-06,3e-06,1.09e-06,1,1,1,0,0,0,0.4714045207910316,0.0491400693987466,-68.2,68.2,0
9606.ENSP00000258229,0,0,0,0,0.038461538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004125737,0.004678363,0.010771993,0.00210084,0.004098361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.00450349,0.09683388,5.16e-06,2.68e-06,2.06e-06,1.09e-06,1,1,1,0,0,0,0.5962847939999439,0.0310925495961572,-67.60000000000001,67.60000000000001,0
9606.ENSP00000398211,0,0,0,0,0.019230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005009823,0.011111111,0.008976661,0.008403361,0.016393443,0.0,0.0,0.014705882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027898867,0.008547009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.008931922,0.1204308,5.16e-06,8.4e-06,3.54e-06,1.25e-06,1,1,1,0,0,0,0.4714045207910316,0.039525212713019,-73.5,73.5,0
9606.ENSP00000356375,0,0,0,0,0.019230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005992141,0.007602339,0.016157989,0.004201681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.006455003,0.103600224,3.07e-06,1.93e-06,1.15e-06,5.19e-07,1,1,1,0,0,0,0.5962847939999439,-0.0223617304226008,-68.3,68.3,0
9606.ENSP00000303522,0,0,0,0,0.019230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019842829,0.014619883,0.016157989,0.021008403,0.036885246,0.0,0.012461059,0.0,0.0,0.014348097,0.031446541,0.056818182,0.035971223,0.025423729,0.0,0.0,0.0,0.0,0.050566696,0.042735043,0.01459854,0.039215686,0.1,0.125,0.059210526,0.0,0.0,1,0.030023268,0.3578232,8.58e-06,2.73e-05,1.18e-05,3.86e-06,1,1,1,0,0,0,0.5773502691896257,0.0478647217546343,-73.60000000000001,73.60000000000001,0
9606.ENSP00000346466,0,0,0,0,0.019230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007662083,0.012865497,0.014362657,0.025210084,0.028688525,0.043478261,0.0,0.0,0.0,0.006862133,0.012578616,0.034090909,0.007194245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.011258726,0.42219751,1.39e-05,5.33e-06,3.46e-06,1.75e-06,1,1,1,0,0,0,0.6804138174397718,0.0635569102898202,-69.7,69.7,1
9606.ENSP00000399968,0,0,0,0,0.230769231,0.266666667,0.0,0.0,0.0,0.0,0.833333333,0.666666667,0.0,0.116699411,0.213450292,0.044883303,0.140756303,0.258196721,0.0,0.065420561,0.176470588,0.028169014,0.026824704,0.044025157,0.0,0.100719424,0.059322034,0.045454545,0.0,0.0,0.0,0.286835222,0.333333333,0.02919708,0.117647059,0.18,0.0,0.440789474,0.620689655,0.0,1,0.179163852,0.817747434,0.000128667,0.000233431,0.00019766,0.000110101,1,1,1,0,0,0,0.3849001794597505,-0.036550991949471,-67.2,67.2,0
9606.ENSP00000226299,0,0,0,0,0.0,0.066666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047445972,0.02748538,0.039497307,0.054621849,0.049180328,0.0,0.009345794,0.029411765,0.070422535,0.014348097,0.002096436,0.0,0.028776978,0.025423729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.047436763,0.19175112,7.24e-05,5.78e-05,3e-05,1.25e-05,1,1,1,0,0,0,0.5443310539518174,0.0932039673716627,-22.800000000000004,22.800000000000004,0
9606.ENSP00000383118,0,0,0,0,0.153846154,0.466666667,0.333333333,0.25,0.083333333,0.0,0.0,0.0,0.0,0.280353635,0.413450292,0.229802513,0.430672269,0.491803279,0.869565217,0.205607477,0.220588235,0.309859155,0.197754211,0.1278826,0.056818182,0.424460432,0.194915254,0.227272727,0.227272727,0.076923077,0.0,0.075850044,0.08974359,0.02189781,0.058823529,0.08,0.125,0.072368421,0.017241379,0.043010753,1,0.359453577,0.618374915,0.000205255,0.000341604,0.000203762,9.82e-05,1,1,1,0,0,0,0.4811252243246881,-0.1109351091984243,157.10000000000002,157.10000000000002,0
9606.ENSP00000184956,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083005894,0.049707602,0.023339318,0.046218487,0.069672131,0.086956522,0.031152648,0.0,0.070422535,0.016843419,0.020964361,0.0,0.007194245,0.033898305,0.0,0.045454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.07836073,0.278790216,1.74e-06,5.94e-05,1.8e-05,4.12e-06,1,1,1,1,0,0,0.2357022603955158,-0.1164770006310037,-65.10000000000001,65.10000000000001,0
