protein,P,EP,TP,DP,EEP,ETP,EDP,TEP,TTP,TDP,DEP,DTP,DDP,EEEP,EETP,EEDP,ETEP,ETTP,ETDP,EDEP,EDTP,EDDP,TEEP,TETP,TEDP,TTEP,TTTP,TTDP,TDEP,TDTP,TDDP,DEEP,DETP,DEDP,DTEP,DTTP,DTDP,DDEP,DDTP,DDDP,has_path,num_paths,max_path_score,max_degree_score,RWR_target_0.2,RWR_target_0.4,RWR_target_0.6,thermo1,thermo2,thermo3,thermo4,thermo5,thermo6,label
9606.ENSP00000264161,0,0,0,0,0.115384615,0,0,0,0,0,0,0,0,0.09086444,0.118128655,0.116696589,0.071428571,0.086065574,0.173913043,0.037383178,0.014705882,0,0.001247661,0.002096436,0.011363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.095624109,0.684483072,1.13E-05,4.51E-05,2.19E-05,8.68E-06,1,1,1,0,0,0,0
9606.ENSP00000245503,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117681729,0.19122807,0.093357271,0.06302521,0.040983607,0.260869565,0.015576324,0.029411765,0,0.002495321,0.002096436,0,0.007194245,0.008474576,0.045454545,0,0,0,0.012205754,0.017094017,0,0.019607843,0.04,0,0.013157895,0,0,1,0.124746679,0.406671188,3.05E-06,6.20E-05,2.12E-05,5.33E-06,1,1,1,1,0,0,0
9606.ENSP00000362201,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002062868,0.004093567,0.003590664,0,0.004098361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.002326803,0.074558787,1.49E-07,1.40E-06,5.08E-07,1.24E-07,1,1,1,1,0,0,0
9606.ENSP00000337128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006238303,0.006289308,0.011363636,0.014388489,0.016949153,0,0,0,0,0,0.004273504,0,0,0,0,0,0,0,1,0.001426105,0.1486476,9.22E-07,2.28E-06,1.07E-06,3.32E-07,1,1,1,1,0,0,0
9606.ENSP00000264824,0,0,0,0,0.019230769,0,0,0,0,0,0,0,0,0.013064833,0.025146199,0.005385996,0.012605042,0.008196721,0,0.003115265,0.014705882,0,0.00062383,0,0,0.007194245,0,0,0,0,0,0.010462075,0.017094017,0.00729927,0.029411765,0.04,0,0.006578947,0.017241379,0,1,0.016212565,0.662614722,7.34E-06,1.00E-05,5.59E-06,2.17E-06,1,1,1,0,0,0,0
9606.ENSP00000244314,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001571709,0.004678363,0,0,0,0,0.003115265,0,0,0.001247661,0,0,0.014388489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.002176687,0.11061792,5.86E-06,3.24E-06,1.65E-06,5.56E-07,1,1,1,1,0,0,0
9606.ENSP00000448083,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0.01611002,0.105263158,0.003590664,0.006302521,0.008196721,0,0,0.014705882,0,0.034310667,0.029350105,0.011363636,0,0.016949153,0,0.03030303,0,0,0,0,0,0,0,0,0,0,0,1,0.032049839,0.19162044,3.85E-05,2.58E-05,1.27E-05,5.56E-06,1,1,1,0,0,0,0
9606.ENSP00000301332,0,0,0,0,0.057692308,0,0,0,0,0,0,0,0,0.043909627,0.061403509,0.023339318,0.081932773,0.049180328,0.043478261,0.015576324,0.029411765,0,0.00062383,0,0,0,0,0,0,0,0,0.115954664,0.042735043,0.04379562,0.019607843,0,0,0,0,0,1,0.058470314,0.147811048,2.34E-05,4.01E-05,2.03E-05,8.78E-06,1,1,1,0,0,0,0
9606.ENSP00000255784,0,0,0,0,0.019230769,0,0,0,0,0,0,0,0,0.006876228,0.011111111,0.010771993,0.008403361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.007505817,0.26187091,3.07E-06,2.81E-06,1.74E-06,7.51E-07,1,1,1,0,0,0,0
9606.ENSP00000344961,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03280943,0.080701754,0.026929982,0.037815126,0.06147541,0.173913043,0.009345794,0,0,0.002495321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.039855888,0.0733488,5.86E-07,2.62E-05,8.37E-06,1.96E-06,1,1,1,1,0,0,0
