,protein,heat_positive_0.2_0.1,heat_positive_0.2_0.2,heat_positive_0.2_0.3,heat_positive_0.2_0.4,heat_positive_0.2_0.5,heat_positive_0.2_0.6,heat_positive_0.2_0.7,heat_positive_0.2_0.8,heat_positive_0.2_0.9,heat_positive_0.2_1.0
0,9606.ENSP00000348234,0.0004297489831515122,0.0012683037930401042,0.0025772007647901773,0.0033233125705010025,0.004198930711936555,0.005062388388978434,0.005718071117371437,0.006688881873742503,0.007558409080047568,0.008653678744849458
1,9606.ENSP00000355330,0.0008976051776699023,0.0016725944205973065,0.0028555376611620886,0.0037476433326446568,0.0046848362626406015,0.0053760683122163755,0.006205054601196025,0.007202472040262364,0.008150830679369392,0.008840743554173969
2,9606.ENSP00000261600,0.00045004124694969505,0.0013086173930787481,0.002653575353178894,0.0034411464457662078,0.004313083902161452,0.005206923595324042,0.00584704785978829,0.006703142171318177,0.007608182317198953,0.008702490260475315
3,9606.ENSP00000443291,0.0008637599748908542,0.0014960514927224722,0.002421341690933332,0.0033146924379252596,0.0039088231910682225,0.004575261135414621,0.005039808869241824,0.005452487488128099,0.005816541102376505,0.006744449362031446
4,9606.ENSP00000239223,0.0004532289822236635,0.0013183196751924697,0.0026705830496212,0.0034886116209236206,0.004366790815765853,0.005271642190564307,0.005917958622376318,0.006781177278753603,0.007689443624258274,0.008791083109827014
5,9606.ENSP00000419471,0.00106119912743452,0.0018723416069406085,0.003027159549674252,0.0041933721586246975,0.0049723465963325,0.005825139174703509,0.006443089787353529,0.006965086708078161,0.007433395272528287,0.008646724560094299
6,9606.ENSP00000427552,0.0010225636815448524,0.0017839511510828743,0.0026746235471364344,0.003394831021068967,0.004509574800977134,0.00574279071042838,0.006243916717721731,0.007007379170318018,0.00792753563473525,0.008742845150663925
7,9606.ENSP00000348019,0.00044653891745838337,0.0013147882345947437,0.0026643635501386598,0.003456020627709222,0.004345793431639322,0.005231833480138448,0.005893453695534845,0.0067485714375834505,0.007658883444037201,0.008773507738169428
8,9606.ENSP00000266066,0.0007738786734989844,0.001682204703683965,0.002792501156363869,0.0035630219517770456,0.004117012829738087,0.005364582022593822,0.006153848753456259,0.007086591074767057,0.008336446451721713,0.00913712627152563
9,9606.ENSP00000312134,0.0008246231991506647,0.0015694123503635637,0.0026930330677714664,0.003536091354362725,0.004429777532095613,0.00511149548128742,0.005914448881412682,0.0068517966765284655,0.007763263576180179,0.008415902203978476
10,9606.ENSP00000457466,0.0004537723107205238,0.00131553178653121,0.0026628010491549503,0.0034533605739852646,0.004327944103351911,0.005222047135248431,0.005865062679731636,0.0067322263812457095,0.007632661708157684,0.008730513792215788
11,9606.ENSP00000284503,0.0008609511660324642,0.0016315478806063766,0.0028070117896277225,0.0036967659807487507,0.004615453196493036,0.005314499348060053,0.006115492827120761,0.007089699277457839,0.008025509486287774,0.008703070760930132
12,9606.ENSP00000415836,0.0010094613244291395,0.0017744502583809663,0.0026333237219660077,0.0033458114412496798,0.004489331873628544,0.005713471284252591,0.006183634801345761,0.006971301116209361,0.00787163628046983,0.009099663999222685
13,9606.ENSP00000310880,0.000969601962424349,0.0017401029981556349,0.0030710374703630805,0.004154103957262123,0.004941978326769458,0.005704785731268203,0.006256065900288377,0.0067239430804875155,0.007202683889317996,0.008299587448618695
14,9606.ENSP00000343629,0.0007970962542458437,0.0017140178715635557,0.002844664511940209,0.003637402022832248,0.004212596540128288,0.005483505140546185,0.006263203663365857,0.00708373317229416,0.008041733372920135,0.00885714451851527
15,9606.ENSP00000452780,0.0010006356897065416,0.0017437613969377708,0.0026490625969017856,0.0033517345182190184,0.0044359947605698835,0.005660981722030556,0.00619089417386931,0.0069269663495106215,0.007812760601609625,0.00860051244353599
16,9606.ENSP00000364691,0.001008721152174985,0.0018051577899313997,0.002671437501703622,0.003383661536645377,0.004486573754547862,0.005698214008589275,0.006171018810164242,0.006926506620402506,0.007855240085518744,0.008650968925394409
17,9606.ENSP00000258229,0.00023472678458347218,0.000694884370204818,0.001435745492017304,0.0018261839163642435,0.0023008470493550703,0.0027742887600652466,0.003111048256414506,0.003620523070821946,0.004097497722796106,0.00470281949674245
18,9606.ENSP00000398211,0.0008707033684913768,0.0016463139891129686,0.0028451876478357008,0.0037649872101610526,0.004695898409408983,0.005395601192503818,0.006204304865605081,0.007181391776612145,0.008159672674537433,0.008846452492889512
19,9606.ENSP00000356375,0.0004881082622887334,0.0009346556525997585,0.001643519533899962,0.0021623398556585016,0.0026915413195638394,0.0031201374245029,0.003597187981085881,0.004168920696884015,0.004706192592948355,0.0066975060976801615
20,9606.ENSP00000303522,0.0004407207125041168,0.001297236311074812,0.0026273546973243356,0.0034064211267832434,0.004271339608749258,0.005145259385244572,0.005783473081464763,0.006624844543694053,0.007538658381236019,0.008618960728199454
21,9606.ENSP00000346466,0.0008322791045429767,0.0015863636044741725,0.002719669800171687,0.003762004643704131,0.004634742902908329,0.005298717430832767,0.006073095802548778,0.00699302043130956,0.008092062855666882,0.008748521026518574
22,9606.ENSP00000399968,0.0008735037372389343,0.0016473771902383305,0.0028388367536535952,0.0037358523204602534,0.0046657626571686706,0.005364348146031261,0.006176830464028171,0.007161707313571242,0.008110366892651655,0.008808326561847934
