,protein,heat_positive_0.3_0.1,heat_positive_0.3_0.2,heat_positive_0.3_0.3,heat_positive_0.3_0.4,heat_positive_0.3_0.5,heat_positive_0.3_0.6,heat_positive_0.3_0.7,heat_positive_0.3_0.8,heat_positive_0.3_0.9,heat_positive_0.3_1.0
0,9606.ENSP00000262306,0.0024846268352121115,0.004995921481167898,0.007013736896624323,0.009925179270794615,0.012399517341691535,0.01454422585447901,0.01644875356578268,0.018261832738062367,0.02074656670083641,0.02297159973932139
1,9606.ENSP00000338512,0.002531727362111269,0.0039295942269745865,0.006132821881692507,0.00868475051902351,0.011365291073161643,0.013905779174820054,0.016677032319421414,0.018954761762870476,0.02159365962506854,0.02354476488471846
2,9606.ENSP00000266987,0.0025578628592484165,0.005046231412052293,0.007672448997254833,0.009812735091145441,0.011931338664908253,0.01455171869838523,0.016132256893797603,0.018541853408351017,0.02060841316324513,0.02278821313939261
3,9606.ENSP00000344729,0.0011235957299504662,0.002213526905507024,0.0033460189933975926,0.004331501979322638,0.005287699133987189,0.006425438212318113,0.007115016532679874,0.008380345049772586,0.009258963619686256,0.010192206543706561
4,9606.ENSP00000379496,0.0021736720264016185,0.004428349438967416,0.00678144032281125,0.008772245313593885,0.01098695352266077,0.013080177968731732,0.015410590265673818,0.01777030626544729,0.020334018245193874,0.022808951180195436
5,9606.ENSP00000395389,0.0028017739532515407,0.005300086100760382,0.006900893908095895,0.009463487505854573,0.011815051202574978,0.013955778714262124,0.016327229590388015,0.018244377886730945,0.020602853281161515,0.0222880631336011
6,9606.ENSP00000376445,0.0021636622077494394,0.004408860153489513,0.006752097546268487,0.008748592295887647,0.010959271321553388,0.013053071061221999,0.01537152159744437,0.017727705465404142,0.020282792590478493,0.022748882515770674
7,9606.ENSP00000354163,0.0020010070511489175,0.00414160689979326,0.006340229072520742,0.008193489724362735,0.010255349591716367,0.012166483725195576,0.014354708396240312,0.01653609597178729,0.018882073164604662,0.02118038988646731
8,9606.ENSP00000280800,0.00217138116931892,0.004421986963279778,0.006772641954739811,0.008763711557548959,0.010973884462146088,0.01307895651916624,0.015404207859319285,0.017762534533176222,0.020329837059762212,0.022806426821261994
9,9606.ENSP00000344724,0.0025076295423787087,0.005044495657784864,0.0070781656759209,0.010015265866968548,0.012496471357735572,0.014659932076028781,0.016576593845456955,0.018400002945782035,0.020905566414512577,0.023157537119914196
10,9606.ENSP00000438468,0.0021061160041426774,0.004329679315560497,0.006634594865317922,0.008560904723708518,0.010722396687924629,0.012744880139507586,0.015032733623229433,0.017329412450635573,0.019797132294115727,0.022227331379326642
11,9606.ENSP00000357122,0.0025557281805959065,0.005034898149460787,0.007648538934518001,0.00978054317056376,0.01189129378508369,0.014501387982818414,0.01607423392124474,0.018474809659892344,0.02053662869548134,0.022703003625792917
12,9606.ENSP00000480421,0.0025552884508215357,0.00503992220001237,0.007657816880964674,0.009794511592190247,0.0119105901576404,0.014526725994073786,0.016102006480650743,0.018506968204746954,0.02057248588607763,0.022742800281776
13,9606.ENSP00000448680,0.0019139128598908428,0.0039051744424796198,0.005952999974397244,0.0076673160710925,0.009632996060645382,0.011412285729420546,0.013457417344397982,0.0154556083271018,0.01762036838590575,0.019768630247199326
