,"Cholesterol 
homeostasis","Cholesterol 
uptake","Influenza A 
virus replication","Mitochondrial 
protein abundance"
Cholesterol homeostasis,0.12412215634548071,0.041182063068288144,0.04907300184804826,0.07360473107703316
Cholesterol uptake,0.019247783761175634,0.056938550003542136,0.03658230357033811,0.07279554877480372
Influenza A virus replication,0.035045345937823,0.06074300982196333,0.050977980497027585,0.07796754765622466
Mitochondrial protein abundance,0.008170698692093824,0.01982020388259825,0.008503002411473797,0.22116548034298406
