,"Cholesterol 
homeostasis","Cholesterol 
uptake","Influenza A 
virus replication","Mitochondrial 
protein abundance"
Cholesterol homeostasis,0.016489105938903778,0.05289532261134126,0.028003791543399853,0.08203225524148625
Cholesterol uptake,0.01904193528371944,0.05151810082170524,0.027945358102196054,0.08194882228571315
Influenza A virus replication,0.012654056911998657,0.03543805162788881,0.029402445530083785,0.06867809566557824
Mitochondrial protein abundance,0.00865029355210885,0.022727527745876084,0.00871863187535413,0.09361730982469416
