,"Cholesterol 
homeostasis","Cholesterol 
uptake","Influenza A 
virus replication","Mitochondrial 
protein abundance"
Cholesterol homeostasis,0.6147831429407637,0.5582367167917502,0.6004592125638477,0.46503047626362654
Cholesterol uptake,0.5730776299297711,0.6411741538898771,0.6280125442022789,0.48319706033135884
Influenza A virus replication,0.6224696259301228,0.661152846360293,0.6692558396574129,0.439727313791218
Mitochondrial protein abundance,0.43073823644435466,0.39623961024554016,0.3256793572468625,0.5665377086994661
