,"Cholesterol 
homeostasis","Cholesterol 
uptake","Influenza A 
virus replication","Mitochondrial 
protein abundance"
Cholesterol homeostasis,0.596643924471678,0.6203098574848711,0.5247438867959415,0.4594798888358549
Cholesterol uptake,0.644052221886402,0.6656637560576437,0.6265257008805787,0.47723622137002064
Influenza A virus replication,0.5225504260223331,0.5506149047708983,0.6934526699870975,0.4928585449054745
Mitochondrial protein abundance,0.36770690615779156,0.3678911587078351,0.31912427485150346,0.5876232964350787
