,"Cholesterol 
homeostasis","Cholesterol 
uptake","Influenza A 
virus replication","Mitochondrial 
protein abundance"
Cholesterol homeostasis,0.6328815671499649,0.5099154884124327,0.44908677514040723,0.4963315100609159
Cholesterol uptake,0.6990783040864871,0.64855755802843,0.6364333672313772,0.46544819522852476
Influenza A virus replication,0.5378578771960539,0.6760391588080731,0.7093724131392871,0.4891601852410639
Mitochondrial protein abundance,0.47442733696774064,0.5825163024178737,0.8327579332978946,0.5496296154059509
