,"Cholesterol 
homeostasis","Cholesterol 
uptake","Influenza A 
virus replication","Mitochondrial 
protein abundance"
Cholesterol homeostasis,0.6387492625094654,0.7162254669162836,0.6891600411398988,0.5296297007480233
Cholesterol uptake,0.6626612118620226,0.7109346288973497,0.6775669101162549,0.5299230641217662
Influenza A virus replication,0.4416463940599883,0.5035732381806325,0.7394617942350291,0.4336818947403071
Mitochondrial protein abundance,0.4011363111781978,0.4034923754986685,0.4087237386460813,0.5746788852130839
