,"Cholesterol 
homeostasis","Cholesterol 
uptake","Influenza A 
virus replication","Mitochondrial 
protein abundance"
Cholesterol homeostasis,0.013894125636584669,0.042217223503625556,0.011534494858937601,0.07476388424930451
Cholesterol uptake,0.021914639041713452,0.042430938562259816,0.015893676074204693,0.07812318229031487
Influenza A virus replication,0.011231968303218785,0.03049578836136485,0.02294310300081221,0.08269648316097533
Mitochondrial protein abundance,0.007857377288614112,0.01918845852318182,0.007246032299158221,0.10166701347437794
