,"Cholesterol 
homeostasis","Cholesterol 
uptake","Influenza A 
virus replication","Mitochondrial 
protein abundance"
Cholesterol homeostasis,0.6614029973473569,0.5578660808859078,0.5237369126586082,0.4774640542239144
Cholesterol uptake,0.6027379124310491,0.6989692818047736,0.6768602514618531,0.4672624762489965
Influenza A virus replication,0.5964076040929036,0.6419551410757364,0.6604684616878702,0.454487834792378
Mitochondrial protein abundance,0.41825327214243346,0.4071980011087294,0.3464854854739177,0.58447402156838
