,"Cholesterol 
homeostasis","Cholesterol 
uptake","Influenza A 
virus replication","Mitochondrial 
protein abundance"
Cholesterol homeostasis,0.017324977021228368,0.05173189724548598,0.03153722981298173,0.08513867468077436
Cholesterol uptake,0.01797730253558125,0.04906618047392646,0.028292512409625117,0.0857611819173833
Influenza A virus replication,0.01935867273504497,0.05294931944565411,0.030236648349917877,0.08293156940884955
Mitochondrial protein abundance,0.007791915773612252,0.022272309946526448,0.008384351836274877,0.17378414007101298
