,"Cholesterol 
homeostasis","Cholesterol 
uptake","Influenza A 
virus replication","Mitochondrial 
protein abundance"
Cholesterol homeostasis,0.703110409882141,0.5372738457814801,0.5860039117572284,0.48107600504005893
Cholesterol uptake,0.647840796817237,0.7481175366643636,0.7677017126216286,0.4494953235592277
Influenza A virus replication,0.6523791606023047,0.6672675442376325,0.686122171506264,0.46883414194946893
Mitochondrial protein abundance,0.46069393430252803,0.4226404507773636,0.3758735005893637,0.736920260634689
