,"Cholesterol 
homeostasis","Cholesterol 
uptake","Influenza A 
virus replication","Mitochondrial 
protein abundance"
Cholesterol homeostasis,0.08868710709229236,0.023794799381645283,0.007947774444650064,0.07499844595653868
Cholesterol uptake,0.018937599479718063,0.05493876080569355,0.010258347712914201,0.0782724694723985
Influenza A virus replication,0.01243735455388553,0.030271550065117246,0.039319024844105765,0.07501824650401392
Mitochondrial protein abundance,0.014665319909178288,0.022582570078546308,0.009636169491346894,0.12756991813121238
