,"Cholesterol 
homeostasis","Cholesterol 
uptake","Influenza A 
virus replication","Mitochondrial 
protein abundance"
Cholesterol homeostasis,0.04871591178924773,0.04314054317177607,0.012638385327566195,0.0770785889695469
Cholesterol uptake,0.01424624541100443,0.05634206194315418,0.01938798434924544,0.07928530043102511
Influenza A virus replication,0.01386791295785337,0.04164766648187791,0.030117717636355845,0.07216511164447935
Mitochondrial protein abundance,0.008603603469109392,0.020514849167075584,0.007705203725140783,0.10246940891277889
