,"Cholesterol 
homeostasis","Cholesterol 
uptake","Influenza A 
virus replication","Mitochondrial 
protein abundance"
Cholesterol homeostasis,0.05311483525755406,0.04369069764672495,0.012279138873380922,0.0825080865788981
Cholesterol uptake,0.162022288050873,0.06164809856398015,0.011163245941972516,0.08343704582262393
Influenza A virus replication,0.01708104183162436,0.05706439279654585,0.03374326258219595,0.08207497331504268
Mitochondrial protein abundance,0.011490377800644113,0.04568777131374066,0.016641145242957543,0.1725265016967348
