,"Cholesterol 
homeostasis","Cholesterol 
uptake","Influenza A 
virus replication","Mitochondrial 
protein abundance"
Cholesterol homeostasis,0.7364155114583962,0.5393375861114218,0.5245299535442717,0.5334821333323579
Cholesterol uptake,0.7974629409781891,0.7127019418760199,0.500657256107426,0.5323643045809796
Influenza A virus replication,0.6060504839440664,0.6971802577704269,0.7487412538094776,0.5226482620391757
Mitochondrial protein abundance,0.5212706315327078,0.6473321121418099,0.5678665322301061,0.646987394366326
