,"Cholesterol 
homeostasis","Cholesterol 
uptake","Influenza A 
virus replication","Mitochondrial 
protein abundance"
Cholesterol homeostasis,0.1305350631007059,0.04002820760289298,0.03745869359201002,0.07906426048643625
Cholesterol uptake,0.017623150279849835,0.06479895345530609,0.03397310583253116,0.07193394978026517
Influenza A virus replication,0.04159769160501006,0.056959149173242324,0.03935981079562648,0.07640213695227072
Mitochondrial protein abundance,0.009551404824800493,0.022323082022170593,0.008016954713508766,0.21891687017371506
