,"Cholesterol 
homeostasis","Cholesterol 
uptake","Influenza A 
virus replication","Mitochondrial 
protein abundance"
Cholesterol homeostasis,0.7046661084192384,0.4558780079786958,0.36501071833036725,0.4669310137358066
Cholesterol uptake,0.5954420967028742,0.736055475521974,0.5730681003998428,0.4658294914161115
Influenza A virus replication,0.6145099603606302,0.6595655418624822,0.6870382670403308,0.44187061897995494
Mitochondrial protein abundance,0.5086460163347999,0.4147671270888762,0.39084565026463586,0.6241122138526034
