,"Cholesterol 
homeostasis","Cholesterol 
uptake","Influenza A 
virus replication","Mitochondrial 
protein abundance"
Cholesterol homeostasis,0.7113583994945576,0.5368578583185575,0.66691820556082,0.4660541239422917
Cholesterol uptake,0.6514795591444772,0.7191467481049191,0.7535702729562946,0.4612109613357741
Influenza A virus replication,0.6618735343551367,0.6836296770321257,0.7737202120821135,0.4833918231322126
Mitochondrial protein abundance,0.40122950855369,0.37657200904341837,0.39837549402546973,0.7463135272670969
