,"Cholesterol 
homeostasis","Cholesterol 
uptake","Influenza A 
virus replication","Mitochondrial 
protein abundance"
Cholesterol homeostasis,0.589919549654599,0.43265159308040363,0.42649753276168906,0.467908332860904
Cholesterol uptake,0.6002317450003672,0.6374257647698707,0.676055221069175,0.4574975144121425
Influenza A virus replication,0.5136259788990689,0.550003086595192,0.5785824696976003,0.5106735501143889
Mitochondrial protein abundance,0.3786375646974149,0.36608271952873495,0.32023265421683966,0.5667396341385358
