protein,P,EP,TP,DP,EEP,ETP,EDP,TEP,TTP,TDP,DEP,DTP,DDP,EEEP,EETP,EEDP,ETEP,ETTP,ETDP,EDEP,EDTP,EDDP,TEEP,TETP,TEDP,TTEP,TTTP,TTDP,TDEP,TDTP,TDDP,DEEP,DETP,DEDP,DTEP,DTTP,DTDP,DDEP,DDTP,DDDP,has_path,num_paths,max_path_score,max_degree_score,RWR_target_0.2,RWR_target_0.4,RWR_target_0.6,go_sim,sub_sim,thermo1,thermo2,thermo3,thermo4,thermo5,thermo6,cell_ab_diff,cell_ab_diff_abs,label
9606.ENSP00000272520,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002495321,0.002096436,0.0,0.0,0.016949153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.000525407,0.046536,5.9e-07,1.6042971412959228e-06,5.567524066350229e-07,1.4062457266367158e-07,0.5443310539518174,-0.0154934470290407,1,1,1,1,0,0,-73.7,73.7,0
9606.ENSP00000457408,0,0,0,0,0.019230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00589391,0.008187135,0.008976661,0.010504202,0.008196721,0.043478261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.006605119,0.12393304,5.44e-06,3.8927952127990394e-06,2.2163362557599183e-06,8.975914087441157e-07,0.4714045207910316,0.049391000909633,1,1,1,0,0,0,-72.3,72.3,0
9606.ENSP00000287218,0,0,0,0,0.019230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010412574,0.00994152,0.005385996,0.012605042,0.008196721,0.0,0.00623053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.010282969,0.15753472,5.16e-06,6.676841746645268e-06,3.0018643004900997e-06,1.0858551423277367e-06,0.6666666666666666,0.0783898143413996,1,1,1,0,0,0,-56.1,56.1,0
9606.ENSP00000349076,0,0,0,0,0.096153846,0.066666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032121807,0.039766082,0.035906643,0.031512605,0.036885246,0.0,0.009345794,0.0,0.0,0.009357455,0.006289308,0.0,0.021582734,0.016949153,0.0,0.03030303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.035502514,0.241575264,4.9e-05,3.181247597139821e-05,2.241193060848736e-05,1.1712174905790423e-05,0.6804138174397718,0.0381620561699827,1,1,1,0,0,0,-11.900000000000006,11.900000000000006,0
9606.ENSP00000330694,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.166666667,0.0,0.0,0.018958743,0.016959064,0.007181329,0.029411765,0.024590164,0.0,0.012461059,0.0,0.0,0.004366812,0.0,0.0,0.021582734,0.008474576,0.0,0.03030303,0.0,0.0,0.010462075,0.004273504,0.01459854,0.019607843,0.02,0.0,0.0,0.0,0.0,1,0.021166404,0.688928604,9.22e-06,9.412038203286296e-06,4.871621432929185e-06,1.930647460779242e-06,0.5773502691896257,0.2030598824436047,1,1,1,0,0,0,-73.7,73.7,0
9606.ENSP00000342385,0,0,0,0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.000785855,0.0,0.001795332,0.0,0.0,0.0,0.0,0.0,0.0,0.064878353,0.067085954,0.034090909,0.035971223,0.084745763,0.0,0.015151515,0.076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.012459656,0.66679676,6.33e-06,3.828581089846899e-06,2.3291891847927197e-06,1.0440692090491418e-06,0.6804138174397718,-0.0777896125307897,1,1,1,0,0,0,-17.300000000000004,17.300000000000004,0
9606.ENSP00000358535,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.166666667,0.0,0.0,0.001178782,0.001754386,0.001795332,0.010504202,0.004098361,0.0,0.015576324,0.0,0.0,0.006862133,0.008385744,0.0,0.035971223,0.0,0.0,0.0,0.0,0.0,0.072362685,0.064102564,0.01459854,0.029411765,0.0,0.0,0.078947368,0.0,0.0,1,0.012234482,0.4490136,8.58e-06,7.775413867040828e-06,3.911594737608341e-06,1.5697516982539228e-06,0.5962847939999439,0.1407679194038442,1,1,1,0,0,0,-73.7,73.7,0
9606.ENSP00000420256,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002848723,0.003508772,0.001795332,0.014705882,0.012295082,0.043478261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.003527734,0.118718886,8.31e-07,1.8641195258522897e-06,7.949218122300556e-07,2.3754646962185377e-07,0.1666666666666666,0.1137386485535724,1,1,1,1,0,0,-73.60000000000001,73.60000000000001,0
9606.ENSP00000216484,0,0,0,0,0.057692308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032711198,0.064327485,0.037701975,0.039915966,0.024590164,0.043478261,0.021806854,0.029411765,0.0,0.00062383,0.002096436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001743679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.037979434,0.2401182,1.44e-05,2.23619212653426e-05,1.223298013444721e-05,5.127584849408097e-06,0.5,-0.0686196291858255,1,1,1,0,0,0,-61.900000000000006,61.900000000000006,0
9606.ENSP00000411197,0,0,0,0,0.019230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019941061,0.040935673,0.041292639,0.037815126,0.016393443,0.0,0.0,0.014705882,0.0,0.0,0.0,0.0,0.0,0.008474576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.024093673,0.117018594,3.13e-06,1.7581822895399303e-05,7.0307557269888875e-06,2.120564870931659e-06,0.4714045207910316,-0.0883854599279515,1,1,1,0,0,0,-66.0,66.0,0
