protein,Heat_target_0.1,Heat_target_0.2,Heat_target_0.3
9606.ENSP00000265276,0.0003527339031279,0.0003810684938798,0.0003727079674717
9606.ENSP00000359837,0.0003795883640123,0.0003800766280619,0.000371849797375
9606.ENSP00000479089,0.0001687986878096,0.0002651813701959,0.0003130188379145
9606.ENSP00000285805,0.0003846176587103,0.0003857062220049,0.0003754612698685
9606.ENSP00000379369,0.0003354547261551,0.0003691946840262,0.0003690165103762
9606.ENSP00000321853,0.0007498499326175,0.0004639913386199,0.0003873445093631
9606.ENSP00000288985,0.0003860062424791,0.0003792340357904,0.0003709302982315
9606.ENSP00000256707,0.0004035877536807,0.0003834613453363,0.0003728172450792
9606.ENSP00000306991,0.000391652865801,0.0003797184908762,0.0003709316952154
9606.ENSP00000368808,6.060484474801342e-05,0.0001202574894705,0.000166524969245
9606.ENSP00000359000,0.0004167528168181,0.0003831741996691,0.0003719356755027
9606.ENSP00000329117,0.0003805492960964,0.0003771120282181,0.0003705231938511
9606.ENSP00000358232,0.0003916953501175,0.0003928099540644,0.0003781113628065
9606.ENSP00000361625,0.0002919445723819,0.0003617272413976,0.0003678566208691
9606.ENSP00000367440,0.00037207655987,0.0003795628654188,0.0003722014225786
9606.ENSP00000380903,0.0004020572996523,0.0003833590380963,0.0003727366129169
9606.ENSP00000423933,0.0002570802935224,0.0003498582955216,0.0003679281835502
9606.ENSP00000332723,0.0003484977951302,0.0003814106785284,0.0003757578924705
9606.ENSP00000352035,0.0,0.0,0.0
9606.ENSP00000249356,0.000388046613807,0.0003798970356001,0.000371306829038
9606.ENSP00000235835,0.0003392028229427,0.0003820228448603,0.0003778158716158
9606.ENSP00000432845,0.000353555104084,0.0003800802587647,0.0003730914395418
9606.ENSP00000261796,6.06631374466815e-05,0.0001387409483868,0.0002005615751841
9606.ENSP00000359206,0.0003973119346483,0.0003807884640991,0.0003716799765243
9606.ENSP00000361602,0.0002883249871956,0.0003596246569941,0.0003694083679874
9606.ENSP00000412178,0.0004099061443412,0.0003863481906591,0.0003742368644452
9606.ENSP00000260383,0.0003822463477263,0.0003780410916078,0.0003706693023559
9606.ENSP00000358126,0.0003968556375184,0.0003809595073107,0.0003710909877554
9606.ENSP00000246635,0.0003916012137779,0.0003838286138488,0.0003736142098205
9606.ENSP00000482093,0.0003718099433172,0.000377733791538,0.0003717417494044
9606.ENSP00000384259,0.0003849879140034,0.0003806495224125,0.0003721620814758
9606.ENSP00000483228,0.0003907311802322,0.0003811591668636,0.0003719863016158
9606.ENSP00000353650,0.0,0.0,0.0
9606.ENSP00000374507,0.000421998600359,0.0003853187154163,0.0003730587341124
9606.ENSP00000265707,0.0001934881202032,0.0003164411136822,0.0003524320309225
