protein,RWR_target_0.2,RWR_target_0.4,RWR_target_0.6
9606.ENSP00000364249,0.0001412898586293,7.270681094542308e-05,2.792808538155905e-05
9606.ENSP00000361998,0.0001657503648064,6.653560818367363e-05,2.2447722820987537e-05
9606.ENSP00000406261,9.985924310090104e-05,3.4498572087975714e-05,8.530803198973658e-06
9606.ENSP00000253673,0.0001249412493414,7.727704367830644e-05,3.388165602891147e-05
9606.ENSP00000455698,0.0001339745828091,0.0001281657796507,7.569876699513982e-05
9606.ENSP00000484261,0.0004544064271186,0.0001661182457356,4.9955703403226065e-05
9606.ENSP00000370989,0.0001540554506828,7.786946690290802e-05,2.9280602588442134e-05
9606.ENSP00000474632,0.0,0.0,0.0
9606.ENSP00000418661,2.8906429400874156e-05,2.115029699050761e-05,1.1493763105953534e-05
9606.ENSP00000280333,0.0006350341275226,0.0003814098608894,0.0001751610045104
9606.ENSP00000331103,5.957894708345605e-05,2.8987191858707905e-05,1.075801224722286e-05
9606.ENSP00000445979,6.663132646622985e-06,3.1149615351557064e-06,1.156454090923685e-06
9606.ENSP00000373518,0.0001664791775234,6.910340887371428e-05,2.2357558141442328e-05
9606.ENSP00000295958,2.6134984346925985e-05,2.594494257919136e-05,1.6230012330284812e-05
9606.ENSP00000272418,0.0008431614721454,0.0003283155474026,0.000108236620401
9606.ENSP00000282249,0.000194273730251,8.477083989758016e-05,2.9194738743986233e-05
9606.ENSP00000385000,0.0003627253317479,0.0001782371750156,7.027376624514753e-05
9606.ENSP00000301050,9.60379318320046e-05,3.679659764435868e-05,1.0548301287457556e-05
9606.ENSP00000340328,0.0002664939778071,0.0001193086918108,4.390720824954101e-05
9606.ENSP00000448165,0.0021174991801981,0.0026071906300748,0.0024391706533739
9606.ENSP00000309757,0.002293995405541,0.0025437459249894,0.0019819587324532
9606.ENSP00000264690,0.00012437765662,9.612902616652072e-05,4.933056050998169e-05
9606.ENSP00000385957,8.893794306495829e-06,3.436804557805348e-06,9.528167781972264e-07
9606.ENSP00000279227,0.0002264602065254,0.0001088074993198,4.036296145865386e-05
9606.ENSP00000386804,3.740382152257723e-06,2.0840466267031418e-06,7.218724833860866e-07
9606.ENSP00000354643,1.305115754078585e-06,4.166547930432346e-07,8.448063804025835e-08
9606.ENSP00000390661,8.535409624039533e-05,6.277568247757903e-05,3.447089462194189e-05
