protein,RW_target_10,RW_target_20,RW_target_30,Target,label
9606.ENSP00000072869,1.5960664313752204e-05,1.44183577504009e-05,1.4380099855770824e-05,9606.ENSP00000264932,0
9606.ENSP00000342254,0.0,0.0,0.0,9606.ENSP00000264932,0
9606.ENSP00000306887,1.4813859706919176e-05,1.3053976545052136e-05,1.3010775546717925e-05,9606.ENSP00000264932,1
9606.ENSP00000402661,2.4561057216487825e-05,2.1312316675903276e-05,2.122849036823027e-05,9606.ENSP00000264932,0
9606.ENSP00000478212,7.287061453098431e-05,7.259223639266565e-05,7.258096593432128e-05,9606.ENSP00000264932,0
9606.ENSP00000261434,1.524883191450499e-05,1.3732167644775473e-05,1.3695296729565598e-05,9606.ENSP00000264932,0
9606.ENSP00000006658,4.125976556679234e-05,3.640907016233541e-05,3.629312413977459e-05,9606.ENSP00000264932,0
9606.ENSP00000369383,3.240023215766996e-05,2.550989665905945e-05,2.533908627810888e-05,9606.ENSP00000264932,0
9606.ENSP00000269980,5.97617618041113e-05,5.288863030727953e-05,5.2727606089320034e-05,9606.ENSP00000264932,0
9606.ENSP00000313877,3.8589998439420015e-05,3.635040047811344e-05,3.629165803431533e-05,9606.ENSP00000264932,1
9606.ENSP00000338034,2.0296980437706225e-05,1.6526519175386056e-05,1.6435569705208763e-05,9606.ENSP00000264932,0
9606.ENSP00000402038,2.063521242234856e-05,1.987827090488281e-05,1.985745802812744e-05,9606.ENSP00000264932,0
9606.ENSP00000263035,3.833866867353208e-05,3.166414535371587e-05,3.150136399199255e-05,9606.ENSP00000264932,0
9606.ENSP00000363899,6.648759608651744e-06,6.174147529236507e-06,6.162763838801766e-06,9606.ENSP00000264932,0
9606.ENSP00000371362,1.503614657849539e-05,1.3727911209571175e-05,1.3695242159883492e-05,9606.ENSP00000264932,1
9606.ENSP00000323678,2.0633968233596537e-05,1.853963294706773e-05,1.8488848581910133e-05,9606.ENSP00000264932,0
9606.ENSP00000445446,1.5202227814370417e-06,1.373437271467992e-06,1.369546225760132e-06,9606.ENSP00000264932,0
9606.ENSP00000215882,5.100134148960933e-05,4.666964741772972e-05,4.6563727664761245e-05,9606.ENSP00000264932,0
9606.ENSP00000363873,2.944879270216916e-05,2.543373739172239e-05,2.5337089027743787e-05,9606.ENSP00000264932,0
9606.ENSP00000224807,5.1308470574440435e-05,4.668100882554427e-05,4.656403325498104e-05,9606.ENSP00000264932,0
9606.ENSP00000346954,1.1083974641223904e-05,1.0292545084666926e-05,1.0271414794260636e-05,9606.ENSP00000264932,1
9606.ENSP00000379999,6.253687024582177e-05,5.0954702601302415e-05,5.067645543022081e-05,9606.ENSP00000264932,0
9606.ENSP00000274813,4.52860513178166e-05,4.318712308304384e-05,4.313838144298643e-05,9606.ENSP00000264932,0
9606.ENSP00000358840,0.0001023389559122,7.396640285151079e-05,7.32824846636504e-05,9606.ENSP00000264932,0
9606.ENSP00000273158,3.826538431894733e-06,3.433895471971482e-06,3.423867610763409e-06,9606.ENSP00000264932,0
9606.ENSP00000358510,1.2510951819422187e-05,1.0326858500775415e-05,1.0272246981912758e-05,9606.ENSP00000264932,0
9606.ENSP00000430025,6.972463779675309e-06,6.183240657264832e-06,6.163007583381841e-06,9606.ENSP00000264932,1
9606.ENSP00000229379,0.0001415855513187,8.69430077727884e-05,8.562352013541386e-05,9606.ENSP00000264932,0
9606.ENSP00000377617,1.9716624592547305e-05,1.918587804539129e-05,1.9172386600985192e-05,9606.ENSP00000264932,0
9606.ENSP00000267436,9.118617526837625e-06,8.239016096922569e-06,8.217190952564124e-06,9606.ENSP00000264932,0
9606.ENSP00000372191,9.661602962296456e-05,8.048582094488665e-05,8.012069156393409e-05,9606.ENSP00000237889,0
9606.ENSP00000325562,5.7146149629261345e-05,3.614073648350313e-05,3.5618581023300067e-05,9606.ENSP00000237889,0
9606.ENSP00000363419,3.91146249967278e-06,3.43682359016384e-06,3.4239435535710072e-06,9606.ENSP00000237889,0
9606.ENSP00000310547,2.7224255973123945e-05,1.8708762581809424e-05,1.8492984963813797e-05,9606.ENSP00000237889,0
9606.ENSP00000292147,3.3990760130109265e-05,2.7566942662815563e-05,2.7393192794988863e-05,9606.ENSP00000237889,0
9606.ENSP00000379563,5.167645213077776e-05,4.002148489234969e-05,3.972149715991691e-05,9606.ENSP00000237889,0
9606.ENSP00000407560,2.693458100111457e-06,2.738938519541989e-06,2.7389019123802427e-06,9606.ENSP00000237889,0
9606.ENSP00000360541,7.789662049617618e-05,5.1396378694335e-05,5.068775499239564e-05,9606.ENSP00000237889,0
9606.ENSP00000263774,0.000467556528747,0.0002056110388366,0.0001994086924241,9606.ENSP00000237889,0
9606.ENSP00000357535,0.000239493951085,0.0002124976890627,0.0002116035029757,9606.ENSP00000237889,0
9606.ENSP00000346173,0.0001621204573893,0.0001250254863407,0.0001239625416928,9606.ENSP00000237889,0
9606.ENSP00000346255,0.0001488058042014,0.0001480021310271,0.0001479039055993,9606.ENSP00000237889,0
9606.ENSP00000371586,1.999539563257713e-05,1.855066147982143e-05,1.848932333814446e-05,9606.ENSP00000237889,0
9606.ENSP00000322316,4.779198570759035e-05,2.990315988427028e-05,2.945433880086057e-05,9606.ENSP00000237889,0
9606.ENSP00000258080,9.434921958018094e-05,8.314586739288643e-05,8.28586271381937e-05,9606.ENSP00000237889,0
9606.ENSP00000320043,2.7583646442508325e-05,2.476529698469676e-05,2.4653103537275456e-05,9606.ENSP00000237889,0
9606.ENSP00000384867,2.8634562113438733e-05,1.942207018146291e-05,1.917860390676651e-05,9606.ENSP00000237889,0
9606.ENSP00000366939,1.4180937796481883e-05,1.103481736208778e-05,1.0957383892673532e-05,9606.ENSP00000237889,1
9606.ENSP00000355467,2.867633338610176e-05,2.475801193213556e-05,2.4652599677210674e-05,9606.ENSP00000237889,0
9606.ENSP00000341213,1.5161857845669148e-05,9.053327630681451e-06,8.905108188628219e-06,9606.ENSP00000237889,0
9606.ENSP00000308515,2.40759600274032e-05,2.064424734271597e-05,2.054430115094874e-05,9606.ENSP00000237889,0
9606.ENSP00000264451,1.4994922821642833e-05,1.2391857126203831e-05,1.2326607247814536e-05,9606.ENSP00000237889,0
9606.ENSP00000260953,7.133674898796016e-06,6.859110726509243e-06,6.847518761787796e-06,9606.ENSP00000237889,0
9606.ENSP00000418008,0.0001212641436723,0.0001120016313507,0.0001116206403821,9606.ENSP00000237889,0
9606.ENSP00000371607,2.5183733669109643e-05,2.2690530386171304e-05,2.25985495490022e-05,9606.ENSP00000237889,0
9606.ENSP00000401980,0.000128872852656,0.0001200485494337,0.0001198314421344,9606.ENSP00000237889,0
9606.ENSP00000328570,8.494850771967322e-05,7.088007987476885e-05,7.053458102745935e-05,9606.ENSP00000237889,0
9606.ENSP00000359675,6.023292007739656e-05,6.098033918533474e-05,6.0942657000850886e-05,9606.ENSP00000237889,0
9606.ENSP00000308610,8.548882760806009e-05,5.219453669269569e-05,5.137482003192417e-05,9606.ENSP00000237889,0
9606.ENSP00000085068,7.697941327933222e-05,6.677140481770039e-05,6.642710650339723e-05,9606.ENSP00000237889,0
9606.ENSP00000389903,1.1923239071620628e-05,1.098294978874037e-05,1.095617153623607e-05,9606.ENSP00000237889,0
9606.ENSP00000245816,3.7885540223214775e-05,2.630874041642528e-05,2.6026527848443948e-05,9606.ENSP00000237889,0
9606.ENSP00000238379,4.171909677097574e-05,3.7800204154336825e-05,3.766324880416505e-05,9606.ENSP00000237889,0
9606.ENSP00000310873,5.5344557040371e-05,3.141478373436257e-05,3.0827246519038454e-05,9606.ENSP00000237889,0
9606.ENSP00000428263,5.2408208830456715e-06,4.138559233979322e-06,4.109095698368037e-06,9606.ENSP00000237889,0
9606.ENSP00000288111,6.04286979069002e-05,4.832919148611836e-05,4.794088454218581e-05,9606.ENSP00000237889,0
9606.ENSP00000216254,0.0003561112680472,0.0002480480470694,0.0002452039334457,9606.ENSP00000237889,0
9606.ENSP00000387262,0.0002470828476361,0.0001777342404238,0.0001760172453941,9606.ENSP00000237889,0
9606.ENSP00000368318,3.66612512152642e-05,3.2980420655803755e-05,3.286934588686563e-05,9606.ENSP00000237889,0
9606.ENSP00000273986,0.000113080459414,5.283627979224548e-05,5.139041968504898e-05,9606.ENSP00000237889,0
9606.ENSP00000264093,0.0003032064705621,0.0001100748850149,0.000105559855001,9606.ENSP00000237889,0
9606.ENSP00000315118,6.293201295193285e-05,3.761893094633706e-05,3.699066655826755e-05,9606.ENSP00000237889,0
9606.ENSP00000264193,5.452138066175394e-05,5.074687578598969e-05,5.067072561359964e-05,9606.ENSP00000237889,0
9606.ENSP00000302037,2.7224459699937142e-05,2.205140481237322e-05,2.1914700482739136e-05,9606.ENSP00000237889,0
9606.ENSP00000301329,5.628598228213377e-05,5.218585647526197e-05,5.2042825700482354e-05,9606.ENSP00000237889,0
9606.ENSP00000481127,3.3334076761093456e-06,3.4199422316305572e-06,3.42346288562112e-06,9606.ENSP00000237889,0
9606.ENSP00000273968,6.750900865881704e-06,6.192854471009923e-06,6.16349461779464e-06,9606.ENSP00000237889,0
9606.ENSP00000267103,3.9923033909872174e-05,3.640205613919534e-05,3.629330967669375e-05,9606.ENSP00000237889,0
9606.ENSP00000351214,5.329943815013394e-05,3.26926056004595e-05,3.219423888367601e-05,9606.ENSP00000237889,0
9606.ENSP00000263702,3.7162757507758215e-05,3.298633964732289e-05,3.2869404094526544e-05,9606.ENSP00000237889,0
9606.ENSP00000403987,1.863136844804103e-06,2.048260057563311e-06,2.053985554084647e-06,9606.ENSP00000237889,0
9606.ENSP00000406933,1.96467008208856e-05,1.584643541718833e-05,1.575097303430084e-05,9606.ENSP00000237889,0
9606.ENSP00000317177,1.7445196135668084e-05,1.5797646483406425e-05,1.574983798491303e-05,9606.ENSP00000237889,0
9606.ENSP00000441065,4.574575359583832e-05,3.5195316741010174e-05,3.492771429591812e-05,9606.ENSP00000237889,0
9606.ENSP00000360268,0.0001061346483766,0.000104110004031,0.0001040777569869,9606.ENSP00000237889,0
9606.ENSP00000288532,5.5428576160920784e-05,3.54444382537622e-05,3.493389885989018e-05,9606.ENSP00000237889,0
9606.ENSP00000429168,1.644542680878658e-05,9.085980309464505e-06,8.905927643354516e-06,9606.ENSP00000237889,0
9606.ENSP00000238561,2.6450805307831615e-05,1.7356553144054487e-05,1.7124002624768764e-05,9606.ENSP00000237889,0
9606.ENSP00000386543,1.6572414097026922e-05,1.3108280654705595e-05,1.3012231647735462e-05,9606.ENSP00000237889,0
9606.ENSP00000317379,5.8661691582528874e-05,4.220371556584723e-05,4.177907976554707e-05,9606.ENSP00000237889,0
9606.ENSP00000355741,7.141180685721338e-05,4.784444172400981e-05,4.726052065961994e-05,9606.ENSP00000237889,0
9606.ENSP00000327070,0.000267877796432,0.0001823215425247,0.000180137110874,9606.ENSP00000237889,0
9606.ENSP00000469981,5.9169920859858394e-05,5.560415593208745e-05,5.546642205445096e-05,9606.ENSP00000237889,1
9606.ENSP00000337358,1.8997277948074043e-05,1.4494617062155156e-05,1.4382086192199496e-05,9606.ENSP00000237889,0
9606.ENSP00000370882,0.0001348775986116,7.008038664935157e-05,6.851138459751382e-05,9606.ENSP00000237889,0
9606.ENSP00000354415,3.201215076842345e-05,2.7531634259503335e-05,2.739258707151748e-05,9606.ENSP00000237889,0
9606.ENSP00000037869,3.962213668273762e-05,2.5016955987666737e-05,2.465888064762112e-05,9606.ENSP00000237889,0
9606.ENSP00000317159,0.0004244533774908,0.0001657754619373,0.0001596915826667,9606.ENSP00000237889,0
9606.ENSP00000326219,0.0001221601996803,8.726599480723962e-05,8.629955118522048e-05,9606.ENSP00000237889,0
9606.ENSP00000364204,0.0001132228280766,0.0001089964353013,0.000108873930003,9606.ENSP00000237889,0
9606.ENSP00000235329,0.0001076136177289,0.0001015339221339,0.0001013447035802,9606.ENSP00000237889,0
9606.ENSP00000236980,2.311417665623594e-05,2.0619789211195897e-05,2.054357355518732e-05,9606.ENSP00000237889,0
9606.ENSP00000379047,1.440176674805116e-05,1.2375601727399044e-05,1.2325956959102768e-05,9606.ENSP00000237889,0
9606.ENSP00000354223,8.379076462006196e-05,2.9380809792201035e-05,2.810530895658303e-05,9606.ENSP00000237889,0
9606.ENSP00000396954,2.0798233890673146e-05,1.91890121641336e-05,1.9171886378899217e-05,9606.ENSP00000237889,0
9606.ENSP00000258955,2.667309672688134e-06,2.7358521492715222e-06,2.7387777663534507e-06,9606.ENSP00000237889,0
9606.ENSP00000262507,0.0002897807280533,0.000159410687047,0.0001561969256727,9606.ENSP00000237889,0
9606.ENSP00000436773,1.0861091141123325e-05,1.161059844889678e-05,1.1639285730780102e-05,9606.ENSP00000237889,0
9606.ENSP00000305138,1.5192684259091038e-05,1.5736570276203565e-05,1.574827911099419e-05,9606.ENSP00000237889,0
9606.ENSP00000265070,0.0001188418609672,0.0001132098987,0.0001129861775552,9606.ENSP00000237889,0
9606.ENSP00000285083,2.3078900994732976e-05,1.86085126188118e-05,1.8490489310352132e-05,9606.ENSP00000237889,0
9606.ENSP00000312770,3.251429461670341e-06,3.4187378332717344e-06,3.4234583381476114e-06,9606.ENSP00000237889,0
9606.ENSP00000361993,5.3252169891493395e-05,3.803785511991009e-05,3.766877853195183e-05,9606.ENSP00000237889,0
9606.ENSP00000446252,0.0001851458218879,0.0001630115148145,0.0001622980344109,9606.ENSP00000237889,0
9606.ENSP00000417190,2.3804535885574296e-05,2.0620491341105666e-05,2.054341348411981e-05,9606.ENSP00000237889,0
9606.ENSP00000072869,1.852206332841888e-05,1.448814509785734e-05,1.438185336155584e-05,9606.ENSP00000237889,0
9606.ENSP00000342254,0.0,0.0,0.0,9606.ENSP00000237889,0
9606.ENSP00000306887,1.8006288883043453e-05,1.3135407243680676e-05,1.3012823728786316e-05,9606.ENSP00000237889,0
9606.ENSP00000402661,3.0234521545935426e-05,2.147055602108594e-05,2.1232699509710073e-05,9606.ENSP00000237889,0
9606.ENSP00000478212,7.263723819050938e-05,7.259755511768162e-05,7.258106052177027e-05,9606.ENSP00000237889,0
9606.ENSP00000261434,1.7784192095859908e-05,1.379993227601517e-05,1.369702113152016e-05,9606.ENSP00000237889,0
9606.ENSP00000006658,4.9941183533519506e-05,3.662714880192652e-05,3.629831917351112e-05,9606.ENSP00000237889,0
9606.ENSP00000369383,4.55003282695543e-05,2.5829995138337836e-05,2.5346969778183848e-05,9606.ENSP00000237889,0
9606.ENSP00000269980,7.179559906944633e-05,5.319276169757359e-05,5.273490387480706e-05,9606.ENSP00000237889,0
9606.ENSP00000313877,4.249041376169771e-05,3.646456389105879e-05,3.6294681194704026e-05,9606.ENSP00000237889,0
9606.ENSP00000338034,2.707704516069498e-05,1.6697915270924568e-05,1.6439731552964076e-05,9606.ENSP00000237889,0
9606.ENSP00000402038,2.134458009095397e-05,1.9910770788555965e-05,1.985834569495637e-05,9606.ENSP00000237889,0
9606.ENSP00000263035,5.019423406338319e-05,3.196512989234179e-05,3.150888369418681e-05,9606.ENSP00000237889,0
9606.ENSP00000363899,7.2930097303469665e-06,6.194562956807204e-06,6.1632617871509865e-06,9606.ENSP00000237889,1
9606.ENSP00000371362,1.7090047549572773e-05,1.3786103409074713e-05,1.3696724636247382e-05,9606.ENSP00000237889,0
9606.ENSP00000323678,2.324273737031035e-05,1.8629600162967108e-05,1.8491102309781127e-05,9606.ENSP00000237889,0
9606.ENSP00000445446,1.7588621403774596e-06,1.3800545275444165e-06,1.3697207350560348e-06,9606.ENSP00000237889,0
9606.ENSP00000215882,5.892587068956345e-05,4.687268665293232e-05,4.656870441976935e-05,9606.ENSP00000237889,0
9606.ENSP00000363873,3.658136120066047e-05,2.5616051061660983e-05,2.5341556465718895e-05,9606.ENSP00000237889,0
9606.ENSP00000224807,5.9462454373715445e-05,4.689221168518998e-05,4.656929013435729e-05,9606.ENSP00000237889,0
9606.ENSP00000346954,1.241326845047297e-05,1.0327573363611007e-05,1.0272307918057775e-05,9606.ENSP00000237889,0
9606.ENSP00000379999,8.37396873976104e-05,5.147865886101499e-05,5.0689348427113146e-05,9606.ENSP00000237889,0
9606.ENSP00000274813,4.846335286856629e-05,4.327870556153357e-05,4.3140586058143526e-05,9606.ENSP00000237889,0
9606.ENSP00000358840,0.0001545371487736,7.525940600316972e-05,7.33134729671292e-05,9606.ENSP00000237889,0
9606.ENSP00000273158,4.486722446017666e-06,3.451239535934292e-06,3.4243105346831726e-06,9606.ENSP00000237889,0
9606.ENSP00000358510,1.6365445844712667e-05,1.0426393600937445e-05,1.0274744454363828e-05,9606.ENSP00000237889,1
9606.ENSP00000430025,8.235443601734005e-06,6.220055183803197e-06,6.163979833218036e-06,9606.ENSP00000237889,0
9606.ENSP00000229379,0.0002500211121514,8.944483124651015e-05,8.568385237595066e-05,9606.ENSP00000237889,0
9606.ENSP00000377617,2.0536674128379673e-05,1.921238799695857e-05,1.917317058541812e-05,9606.ENSP00000237889,0
9606.ENSP00000267436,1.0553373613220174e-05,8.27792700874852e-06,8.218155016948003e-06,9606.ENSP00000237889,0
9606.ENSP00000372191,9.525412315269932e-05,8.04549636086449e-05,8.012000762391835e-05,9606.ENSP00000281031,0
9606.ENSP00000325562,5.558866905630566e-05,3.610035128076561e-05,3.561779885785654e-05,9606.ENSP00000281031,0
9606.ENSP00000363419,3.872264187521068e-06,3.4356958167336415e-06,3.4239042179251555e-06,9606.ENSP00000281031,0
9606.ENSP00000310547,2.6605111997923817e-05,1.8692768207984045e-05,1.8492615708964877e-05,9606.ENSP00000281031,0
9606.ENSP00000292147,3.3567717764526606e-05,2.7554617190617137e-05,2.7392869014875032e-05,9606.ENSP00000281031,0
9606.ENSP00000379563,5.080061964690685e-05,3.999700493295677e-05,3.972094782511704e-05,9606.ENSP00000281031,0
