protein,RW_positive_10_0.1,RW_positive_10_0.2,RW_positive_10_0.3,RW_positive_10_0.4,RW_positive_10_0.5,RW_positive_10_0.6,RW_positive_10_0.7,RW_positive_10_0.8,RW_positive_10_0.9,RW_positive_10_1.0,Target,label
9606.ENSP00000372191,0.0003429160133237,0.0003429160133237,0.0003429160133237,0.0005077431487734,0.0006725006460328,0.0006725006460328,0.0007530933071393,0.0008349287090823,0.0009170925186481,0.0009170925186481,9606.ENSP00000264932,0
9606.ENSP00000325562,0.0001727640556055,0.0001727640556055,0.0001727640556055,0.0002508156358089,0.0003289020314696,0.0003289020314696,0.0003662009330582,0.0004022135872219,0.0004408433123899,0.0004408433123899,9606.ENSP00000264932,0
9606.ENSP00000363419,1.4445205806623562e-05,1.4445205806623562e-05,1.4445205806623562e-05,2.1514389572985237e-05,2.8491388547990937e-05,2.8491388547990937e-05,3.1899637178867124e-05,3.534088477863406e-05,3.8880944202901446e-05,3.8880944202901446e-05,9606.ENSP00000264932,0
9606.ENSP00000310547,8.635694757685997e-05,8.635694757685997e-05,8.635694757685997e-05,0.0001261150555365,0.0001665392883296,0.0001665392883296,0.0001861541004473,0.0002046483514277,0.0002243937487946,0.0002243937487946,9606.ENSP00000264932,0
9606.ENSP00000292147,0.0001195804397866,0.0001195804397866,0.0001195804397866,0.0001764679800544,0.0002351508937863,0.0002351508937863,0.0002636981407704,0.0002910654184233,0.0003196667785232,0.0003196667785232,9606.ENSP00000264932,0
9606.ENSP00000379563,0.0001761336316121,0.0001761336316121,0.0001761336316121,0.0002598327118903,0.0003430550277698,0.0003430550277698,0.0003831803041975,0.0004232976498315,0.0004648637514037,0.0004648637514037,9606.ENSP00000264932,0
9606.ENSP00000407560,1.0925884680546004e-05,1.0925884680546004e-05,1.0925884680546004e-05,1.6434335293524782e-05,2.1969963654555613e-05,2.1969963654555613e-05,2.467766717018094e-05,2.7402492605688167e-05,3.0156970069583625e-05,3.0156970069583625e-05,9606.ENSP00000264932,0
9606.ENSP00000360541,0.000243365910137,0.000243365910137,0.000243365910137,0.000354325002263,0.0004692853581218,0.0004692853581218,0.0005229904454608,0.0005738083236792,0.0006294984341366,0.0006294984341366,9606.ENSP00000264932,0
9606.ENSP00000263774,0.0011564323212951,0.0011564323212951,0.0011564323212951,0.0016300856950692,0.0021047359768999,0.0021047359768999,0.0023264015908353,0.0025331208744319,0.0027619456668617,0.0027619456668617,9606.ENSP00000264932,0
9606.ENSP00000357535,0.0008930054318625,0.0008930054318625,0.0008930054318625,0.001326374564087,0.0017838203493738,0.0017838203493738,0.0020102488197153,0.0022166062699398,0.002435365167912,0.002435365167912,9606.ENSP00000264932,0
