protein,RW_positive_20_0.1,RW_positive_20_0.2,RW_positive_20_0.3,RW_positive_20_0.4,RW_positive_20_0.5,RW_positive_20_0.6,RW_positive_20_0.7,RW_positive_20_0.8,RW_positive_20_0.9,RW_positive_20_1.0,Target,label
9606.ENSP00000288532,3.513231422402896e-05,3.513231422402896e-05,3.513231422402896e-05,7.008710235822946e-05,7.008710235822946e-05,7.008710235822946e-05,0.000105064791569,0.000105064791569,0.000105064791569,0.000105064791569,9606.ENSP00000301587,0
9606.ENSP00000429168,8.974055162980221e-06,8.974055162980221e-06,8.974055162980221e-06,1.7887378817249555e-05,1.7887378817249555e-05,1.7887378817249555e-05,2.681029036466498e-05,2.681029036466498e-05,2.681029036466498e-05,2.681029036466498e-05,9606.ENSP00000301587,0
9606.ENSP00000238561,1.721290755085647e-05,1.721290755085647e-05,1.721290755085647e-05,3.434610698604956e-05,3.434610698604956e-05,3.434610698604956e-05,5.149298704054672e-05,5.149298704054672e-05,5.149298704054672e-05,5.149298704054672e-05,9606.ENSP00000301587,0
9606.ENSP00000386543,1.3054052033112384e-05,1.3054052033112384e-05,1.3054052033112384e-05,2.6071003958350047e-05,2.6071003958350047e-05,2.6071003958350047e-05,3.908294365828624e-05,3.908294365828624e-05,3.908294365828624e-05,3.908294365828624e-05,9606.ENSP00000301587,0
9606.ENSP00000317379,4.194482971797697e-05,4.194482971797697e-05,4.194482971797697e-05,8.374147728318349e-05,8.374147728318349e-05,8.374147728318349e-05,0.0001255545503227,0.0001255545503227,0.0001255545503227,0.0001255545503227,9606.ENSP00000301587,0
9606.ENSP00000355741,4.7483139496762305e-05,4.7483139496762305e-05,4.7483139496762305e-05,9.476919876760805e-05,9.476919876760805e-05,9.476919876760805e-05,0.0001420792941644,0.0001420792941644,0.0001420792941644,0.0001420792941644,9606.ENSP00000301587,0
9606.ENSP00000327070,0.0001809739333111,0.0001809739333111,0.0001809739333111,0.0003612032742239,0.0003612032742239,0.0003612032742239,0.0005415424820967,0.0005415424820967,0.0005415424820967,0.0005415424820967,9606.ENSP00000301587,0
9606.ENSP00000469981,5.5487944337073714e-05,5.5487944337073714e-05,5.5487944337073714e-05,0.000110945686174,0.000110945686174,0.000110945686174,0.0001665283743932,0.0001665283743932,0.0001665283743932,0.0001665283743932,9606.ENSP00000301587,0
9606.ENSP00000337358,1.4427549103857018e-05,1.4427549103857018e-05,1.4427549103857018e-05,2.8814408324251417e-05,2.8814408324251417e-05,2.8814408324251417e-05,4.3201430344197433e-05,4.3201430344197433e-05,4.3201430344197433e-05,4.3201430344197433e-05,9606.ENSP00000301587,0
9606.ENSP00000370882,6.91029490553774e-05,6.91029490553774e-05,6.91029490553774e-05,0.0001376793079543,0.0001376793079543,0.0001376793079543,0.0002063412757706,0.0002063412757706,0.0002063412757706,0.0002063412757706,9606.ENSP00000301587,0
9606.ENSP00000354415,2.744550874922425e-05,2.744550874922425e-05,2.744550874922425e-05,5.4841932069393806e-05,5.4841932069393806e-05,5.4841932069393806e-05,8.225736019085161e-05,8.225736019085161e-05,8.225736019085161e-05,8.225736019085161e-05,9606.ENSP00000301587,0
9606.ENSP00000037869,2.4796494471956976e-05,2.4796494471956976e-05,2.4796494471956976e-05,4.947123488818761e-05,4.947123488818761e-05,4.947123488818761e-05,7.415768050123006e-05,7.415768050123006e-05,7.415768050123006e-05,7.415768050123006e-05,9606.ENSP00000301587,0
9606.ENSP00000317159,0.0001620081893634,0.0001620081893634,0.0001620081893634,0.0003219682257622,0.0003219682257622,0.0003219682257622,0.000482124640257,0.000482124640257,0.000482124640257,0.000482124640257,9606.ENSP00000301587,0
9606.ENSP00000326219,8.667652582516894e-05,8.667652582516894e-05,8.667652582516894e-05,0.0001730187577777,0.0001730187577777,0.0001730187577777,0.0002594040561234,0.0002594040561234,0.0002594040561234,0.0002594040561234,9606.ENSP00000301587,0
9606.ENSP00000364204,0.0001088932913262,0.0002178680006181,0.0002178680006181,0.0002178680006181,0.0002178680006181,0.0002178680006181,0.0002178680006181,0.0002178680006181,0.0002178680006181,0.0002178680006181,9606.ENSP00000301587,0
9606.ENSP00000235329,0.0001013755463645,0.0002028882227023,0.0002028882227023,0.0002028882227023,0.0002028882227023,0.0002028882227023,0.0002028882227023,0.0002028882227023,0.0002028882227023,0.0002028882227023,9606.ENSP00000301587,0
9606.ENSP00000236980,2.0588600818882696e-05,4.1103081457549706e-05,4.1103081457549706e-05,4.1103081457549706e-05,4.1103081457549706e-05,4.1103081457549706e-05,4.1103081457549706e-05,4.1103081457549706e-05,4.1103081457549706e-05,4.1103081457549706e-05,9606.ENSP00000301587,0
9606.ENSP00000379047,1.23418249131646e-05,2.4676987777638715e-05,2.4676987777638715e-05,2.4676987777638715e-05,2.4676987777638715e-05,2.4676987777638715e-05,2.4676987777638715e-05,2.4676987777638715e-05,2.4676987777638715e-05,2.4676987777638715e-05,9606.ENSP00000301587,0
9606.ENSP00000354223,2.859045889636036e-05,5.6791936003719456e-05,5.6791936003719456e-05,5.6791936003719456e-05,5.6791936003719456e-05,5.6791936003719456e-05,5.6791936003719456e-05,5.6791936003719456e-05,5.6791936003719456e-05,5.6791936003719456e-05,9606.ENSP00000301587,0
9606.ENSP00000396954,1.917242116178386e-05,3.8347072404576465e-05,3.8347072404576465e-05,3.8347072404576465e-05,3.8347072404576465e-05,3.8347072404576465e-05,3.8347072404576465e-05,3.8347072404576465e-05,3.8347072404576465e-05,3.8347072404576465e-05,9606.ENSP00000301587,0
9606.ENSP00000258955,2.737670911301393e-06,5.475213356476161e-06,5.475213356476161e-06,5.475213356476161e-06,5.475213356476161e-06,5.475213356476161e-06,5.475213356476161e-06,5.475213356476161e-06,5.475213356476161e-06,5.475213356476161e-06,9606.ENSP00000301587,0
9606.ENSP00000262507,0.000157421658514,0.000313908123644,0.000313908123644,0.000313908123644,0.000313908123644,0.000313908123644,0.000313908123644,0.000313908123644,0.000313908123644,0.000313908123644,9606.ENSP00000301587,0
9606.ENSP00000436773,1.1629538676061202e-05,2.3254731786437333e-05,2.3254731786437333e-05,2.3254731786437333e-05,2.3254731786437333e-05,2.3254731786437333e-05,2.3254731786437333e-05,2.3254731786437333e-05,2.3254731786437333e-05,2.3254731786437333e-05,9606.ENSP00000301587,0
