protein,RWR_target_0.2,RWR_target_0.4,RWR_target_0.6,Target,label
9606.ENSP00000342254,0.0,0.0,0.0,9606.ENSP00000264932,0
9606.ENSP00000306887,1.5118579714699328e-05,9.560298887385968e-06,4.169701695327234e-06,9606.ENSP00000264932,1
9606.ENSP00000402661,1.9007836583712176e-05,9.580641683014014e-06,3.0812227917395237e-06,9606.ENSP00000264932,0
9606.ENSP00000478212,4.2406726602249526e-05,2.1601040845115307e-05,8.672796303547604e-06,9606.ENSP00000264932,0
9606.ENSP00000261434,1.952856721033273e-05,1.3494930133080532e-05,6.248677973069232e-06,9606.ENSP00000264932,0
9606.ENSP00000006658,5.0526307151580575e-05,3.55825251104902e-05,1.7334508704255725e-05,9606.ENSP00000264932,0
9606.ENSP00000369383,4.1624253458995653e-05,2.775070534203736e-05,1.240589198223835e-05,9606.ENSP00000264932,0
9606.ENSP00000269980,0.0001239592542561,0.0001059254672058,5.984512221566865e-05,9606.ENSP00000264932,0
9606.ENSP00000313877,5.347145568764621e-05,4.24636434933976e-05,2.32796616274464e-05,9606.ENSP00000264932,1
9606.ENSP00000338034,4.5083357956909606e-05,3.8176913645500735e-05,2.1269741708212497e-05,9606.ENSP00000264932,0
9606.ENSP00000402038,1.9594443043395532e-05,1.3861685134018998e-05,7.273686894462065e-06,9606.ENSP00000264932,0
9606.ENSP00000263035,0.0007649205191912,0.0010696675382978,0.0010194305650391,9606.ENSP00000264932,0
9606.ENSP00000363899,5.384050259876284e-06,2.897506962339761e-06,1.0031829742738778e-06,9606.ENSP00000264932,0
9606.ENSP00000371362,1.620062687894762e-05,1.1098321716103044e-05,5.395842236329886e-06,9606.ENSP00000264932,1
9606.ENSP00000323678,1.7653209618024624e-05,1.04172224923326e-05,4.367451179694093e-06,9606.ENSP00000264932,0
9606.ENSP00000445446,9.431331544623904e-07,4.266035799385863e-07,1.2737770687145244e-07,9606.ENSP00000264932,0
9606.ENSP00000215882,4.924322195365703e-05,3.184005200673883e-05,1.468761553555254e-05,9606.ENSP00000264932,0
9606.ENSP00000363873,4.662659655425549e-05,3.6677981068629426e-05,1.962780518577412e-05,9606.ENSP00000264932,0
9606.ENSP00000224807,5.7443448958238816e-05,4.050966505674534e-05,2.0184771878003132e-05,9606.ENSP00000264932,0
9606.ENSP00000346954,7.6727239654981e-06,3.772423141689064e-06,1.2174643121721464e-06,9606.ENSP00000264932,1
9606.ENSP00000379999,0.0001229745254897,9.861407683244888e-05,5.230115294076997e-05,9606.ENSP00000264932,0
9606.ENSP00000274813,4.471923673434631e-05,3.0960445578895404e-05,1.5552441879876947e-05,9606.ENSP00000264932,0
9606.ENSP00000358840,0.0008356154945682,0.0011072579126074,0.0010310335699785,9606.ENSP00000264932,0
9606.ENSP00000273158,7.606842996791986e-06,6.4948382929541585e-06,3.676047098391741e-06,9606.ENSP00000264932,0
9606.ENSP00000358510,1.1417999058058805e-05,6.127767921951552e-06,2.050594991935601e-06,9606.ENSP00000264932,0
9606.ENSP00000430025,6.012534676178302e-06,3.2408014053942924e-06,1.1046160997630452e-06,9606.ENSP00000264932,1
9606.ENSP00000229379,0.0003617948820943,0.0002934308226139,0.0001547700692537,9606.ENSP00000264932,0
9606.ENSP00000377617,1.481547959090066e-05,9.049152908904864e-06,4.235239879983532e-06,9606.ENSP00000264932,0
9606.ENSP00000267436,1.2263592475688073e-05,9.254434554695264e-06,4.819194376823732e-06,9606.ENSP00000264932,0
9606.ENSP00000372191,0.000123140229194,8.635790629556888e-05,4.1732980203740386e-05,9606.ENSP00000237889,0
9606.ENSP00000325562,9.990907571381966e-05,7.454643036477096e-05,3.737895843825441e-05,9606.ENSP00000237889,0
9606.ENSP00000363419,4.158033364306819e-06,2.905472235984149e-06,1.4585058131491222e-06,9606.ENSP00000237889,0
9606.ENSP00000310547,4.1408506561387394e-05,3.0103235747657083e-05,1.4925147034486488e-05,9606.ENSP00000237889,0
9606.ENSP00000292147,3.981337847637079e-05,2.755313510376435e-05,1.3374561261432466e-05,9606.ENSP00000237889,0
9606.ENSP00000379563,5.983020252321235e-05,3.8948330898176285e-05,1.737945999406796e-05,9606.ENSP00000237889,0
9606.ENSP00000407560,1.0522446611323154e-06,3.472555575647845e-07,8.225353479892487e-08,9606.ENSP00000237889,0
9606.ENSP00000360541,0.0001105469064352,7.619873033421836e-05,3.5466427598558126e-05,9606.ENSP00000237889,0
9606.ENSP00000263774,0.0030438603609847,0.003427594626337,0.0027509483413918,9606.ENSP00000237889,0
9606.ENSP00000357535,0.0001553314237404,7.94621269809175e-05,3.011248870519016e-05,9606.ENSP00000237889,0
9606.ENSP00000346173,0.0001854581053308,0.0001297650539023,6.469490862827448e-05,9606.ENSP00000237889,0
9606.ENSP00000346255,7.270926388144137e-05,3.126215750640944e-05,1.0450908270285109e-05,9606.ENSP00000237889,0
9606.ENSP00000371586,1.0246278922979992e-05,4.760933054734966e-06,1.8290245359475136e-06,9606.ENSP00000237889,0
9606.ENSP00000322316,7.241474036111678e-05,4.9422610892571435e-05,2.242993822259068e-05,9606.ENSP00000237889,0
9606.ENSP00000258080,0.0001059931370703,7.412567068173591e-05,3.66442421007452e-05,9606.ENSP00000237889,0
9606.ENSP00000320043,1.511929147579816e-05,7.068760992671902e-06,2.550628733366364e-06,9606.ENSP00000237889,0
9606.ENSP00000384867,4.8617418393879376e-05,3.600062862034401e-05,1.7850140494875787e-05,9606.ENSP00000237889,0
9606.ENSP00000366939,2.4668608478035856e-05,1.9281087324242767e-05,1.01289742146097e-05,9606.ENSP00000237889,1
9606.ENSP00000355467,2.6648448023778727e-05,1.691857395747549e-05,7.778886540992638e-06,9606.ENSP00000237889,0
9606.ENSP00000341213,4.898814287839636e-05,4.319431638271707e-05,2.4604515252887604e-05,9606.ENSP00000237889,0
9606.ENSP00000308515,1.6108433254569898e-05,8.11562632623459e-06,2.9520185013037383e-06,9606.ENSP00000237889,0
9606.ENSP00000264451,1.9653768787411708e-05,1.4203646172087049e-05,7.114985481140511e-06,9606.ENSP00000237889,0
9606.ENSP00000260953,3.244747085182867e-06,1.2360006010672915e-06,3.3377765420447553e-07,9606.ENSP00000237889,0
9606.ENSP00000418008,5.8897622154401553e-05,2.3433446320503373e-05,6.550281083772072e-06,9606.ENSP00000237889,0
9606.ENSP00000371607,2.3205421034350615e-05,1.3880494666161822e-05,5.48788132436436e-06,9606.ENSP00000237889,0
9606.ENSP00000401980,0.0001200987821133,7.926667444824088e-05,3.811849090486667e-05,9606.ENSP00000237889,0
9606.ENSP00000328570,0.0001082947484009,8.085074010610158e-05,4.259746183720808e-05,9606.ENSP00000237889,0
9606.ENSP00000359675,2.5277273597778824e-05,9.118653654999998e-06,2.3949502866514397e-06,9606.ENSP00000237889,0
9606.ENSP00000308610,0.0001880819589574,0.0001442056762707,7.21002293890109e-05,9606.ENSP00000237889,0
9606.ENSP00000085068,4.742159737527368e-05,2.3451462208716833e-05,8.649167371712587e-06,9606.ENSP00000237889,0
9606.ENSP00000389903,1.3589174985959684e-05,1.0496975635328864e-05,5.837061691186345e-06,9606.ENSP00000237889,0
9606.ENSP00000245816,7.905961323397315e-05,6.236688037458141e-05,3.2435964850732124e-05,9606.ENSP00000237889,0
9606.ENSP00000238379,2.1136698907679664e-05,9.052581396450173e-06,2.9724790895113e-06,9606.ENSP00000237889,0
9606.ENSP00000310873,9.734166244917134e-05,6.760664120450441e-05,3.0573052601880425e-05,9606.ENSP00000237889,0
9606.ENSP00000428263,4.4231599079323256e-06,2.2574149232723145e-06,7.185511770629165e-07,9606.ENSP00000237889,0
9606.ENSP00000288111,3.900805122595747e-05,1.8994037872683737e-05,6.613712516289532e-06,9606.ENSP00000237889,0
9606.ENSP00000216254,0.000566585200719,0.0004131279677689,0.0002024914328259,9606.ENSP00000237889,0
9606.ENSP00000387262,0.0004092633635574,0.0003048193413848,0.0001529084594987,9606.ENSP00000237889,0
9606.ENSP00000368318,3.0422339015704643e-05,1.872384144118647e-05,8.47919328640184e-06,9606.ENSP00000237889,0
9606.ENSP00000273986,0.000350107624756,0.0002859518757206,0.0001500777391556,9606.ENSP00000237889,0
9606.ENSP00000264093,0.002615902845169,0.0030791279975021,0.0025665041078741,9606.ENSP00000237889,0
9606.ENSP00000315118,0.0001139944112888,8.373581512891738e-05,4.093348480995576e-05,9606.ENSP00000237889,0
9606.ENSP00000264193,3.791141734932396e-05,2.0468845879992703e-05,8.213093029066222e-06,9606.ENSP00000237889,0
9606.ENSP00000302037,2.3005429876377168e-05,1.3197962084563904e-05,5.4457221643051035e-06,9606.ENSP00000237889,0
9606.ENSP00000301329,3.0391905889664407e-05,1.3118941680121178e-05,3.902659247397573e-06,9606.ENSP00000237889,0
9606.ENSP00000481127,1.5817444198085346e-06,6.515216728889858e-07,1.961389925109928e-07,9606.ENSP00000237889,0
9606.ENSP00000273968,3.122435089487579e-06,1.1950978487410749e-06,3.1915458758262437e-07,9606.ENSP00000237889,0
9606.ENSP00000267103,3.44211138175813e-05,2.2741931599131443e-05,1.1284420974595384e-05,9606.ENSP00000237889,0
9606.ENSP00000351214,7.430552454680019e-05,4.714913361991436e-05,1.9467001262211237e-05,9606.ENSP00000237889,0
9606.ENSP00000263702,2.258242490048711e-05,1.0172361698965457e-05,3.0410546698035914e-06,9606.ENSP00000237889,0
9606.ENSP00000403987,7.298141827780166e-07,2.669853448424695e-07,7.773710881463507e-08,9606.ENSP00000237889,0
9606.ENSP00000406933,1.746995879437481e-05,9.8172579240292e-06,3.770584308178565e-06,9606.ENSP00000237889,0
9606.ENSP00000317177,8.997983364435757e-06,3.601432760827055e-06,9.698279306807929e-07,9606.ENSP00000237889,0
9606.ENSP00000441065,7.265873806054453e-05,5.6016843416970725e-05,2.9543737019086377e-05,9606.ENSP00000237889,0
9606.ENSP00000360268,5.6459241723743977e-05,2.425040421608803e-05,7.288752075546898e-06,9606.ENSP00000237889,0
9606.ENSP00000288532,8.233702879581763e-05,5.6891901076365474e-05,2.645093645533048e-05,9606.ENSP00000237889,0
9606.ENSP00000429168,3.680140083063666e-05,2.8234181998689005e-05,1.4167157793125635e-05,9606.ENSP00000237889,0
9606.ENSP00000238561,3.313335922149636e-05,2.1666566355847978e-05,9.715204764316029e-06,9606.ENSP00000237889,0
9606.ENSP00000386543,1.681495169327711e-05,1.0605348148634592e-05,4.70062521645582e-06,9606.ENSP00000237889,0
9606.ENSP00000317379,0.0001013500624896,7.890108211103377e-05,4.160321711545889e-05,9606.ENSP00000237889,0
9606.ENSP00000355741,0.0001054455196183,7.2869206716495e-05,3.385963528951335e-05,9606.ENSP00000237889,0
9606.ENSP00000327070,0.0004964991457008,0.0003802032084743,0.0001940037831943,9606.ENSP00000237889,0
9606.ENSP00000469981,3.236999795340568e-05,1.415065046784367e-05,4.2626874085829255e-06,9606.ENSP00000237889,1
9606.ENSP00000337358,3.551231861067413e-05,2.8209487907673794e-05,1.4966033116434855e-05,9606.ENSP00000237889,0
9606.ENSP00000370882,0.000327816449161,0.0002544131015308,0.0001282881848238,9606.ENSP00000237889,0
9606.ENSP00000354415,2.5590391740655604e-05,1.592416585982191e-05,7.539068215497301e-06,9606.ENSP00000237889,0
9606.ENSP00000037869,6.58214432892396e-05,4.613357863778191e-05,2.129002317071837e-05,9606.ENSP00000237889,0
9606.ENSP00000317159,0.0028794344915316,0.0032657223612612,0.0026506769457995,9606.ENSP00000237889,0
9606.ENSP00000326219,0.0001752879345575,0.0001272165417374,6.31036352228376e-05,9606.ENSP00000237889,0
9606.ENSP00000364204,6.90458050200214e-05,3.443073734778019e-05,1.2760349474412152e-05,9606.ENSP00000237889,0
9606.ENSP00000235329,8.51177187228379e-05,5.300224662444912e-05,2.4857592314064535e-05,9606.ENSP00000237889,0
9606.ENSP00000236980,1.6963988618959002e-05,9.469132831928708e-06,3.913665446944296e-06,9606.ENSP00000237889,0
9606.ENSP00000379047,9.7245880710408e-06,4.55470588761811e-06,1.3806465635047e-06,9606.ENSP00000237889,0
9606.ENSP00000354223,0.0003358108566964,0.0002817641459317,0.00015004282321,9606.ENSP00000237889,0
9606.ENSP00000396954,3.101168913550856e-05,2.4208291662532683e-05,1.2926086606272538e-05,9606.ENSP00000237889,0
9606.ENSP00000258955,1.2215037561131792e-06,4.7296085398023946e-07,1.3163665346559338e-07,9606.ENSP00000237889,0
9606.ENSP00000262507,0.0006192903221141,0.0004648745968177,0.0002276618102592,9606.ENSP00000237889,0
9606.ENSP00000436773,4.356888759875194e-06,1.6457806878859784e-06,5.504802797518783e-07,9606.ENSP00000237889,0
9606.ENSP00000305138,5.809668489857461e-06,1.8875716429673512e-06,4.447416951930458e-07,9606.ENSP00000237889,0
9606.ENSP00000265070,7.150424663759579e-05,3.700030073086068e-05,1.5025083801557635e-05,9606.ENSP00000237889,0
9606.ENSP00000285083,2.2975221381735564e-05,1.446410864114486e-05,6.432740240774794e-06,9606.ENSP00000237889,0
9606.ENSP00000312770,1.2971512093311164e-06,4.543714587733888e-07,1.19291928900562e-07,9606.ENSP00000237889,0
9606.ENSP00000361993,9.206159809513666e-05,6.964772941532975e-05,3.534060194741004e-05,9606.ENSP00000237889,0
9606.ENSP00000446252,0.0001282298612757,6.849669985914873e-05,2.703717653319817e-05,9606.ENSP00000237889,0
9606.ENSP00000417190,2.084728030109693e-05,1.2185533678500171e-05,4.983034151394709e-06,9606.ENSP00000237889,0
9606.ENSP00000072869,2.143445407597848e-05,1.5058715515608663e-05,7.55710023445764e-06,9606.ENSP00000237889,0
9606.ENSP00000342254,0.0,0.0,0.0,9606.ENSP00000237889,0
9606.ENSP00000306887,2.261477896193803e-05,1.4810408264629976e-05,6.556655956277198e-06,9606.ENSP00000237889,0
9606.ENSP00000402661,4.618566977606217e-05,3.441827328439471e-05,1.7548117710842967e-05,9606.ENSP00000237889,0
9606.ENSP00000478212,3.750271328408453e-05,1.7473627102824218e-05,6.576022879491474e-06,9606.ENSP00000237889,0
9606.ENSP00000261434,2.2378782068082845e-05,1.568612224684632e-05,7.674658244563604e-06,9606.ENSP00000237889,0
9606.ENSP00000006658,7.132510221723771e-05,5.020609491808168e-05,2.39528080380324e-05,9606.ENSP00000237889,0
9606.ENSP00000369383,0.0001291167813301,0.0001060094462909,5.616747936553712e-05,9606.ENSP00000237889,0
9606.ENSP00000269980,8.802880391279226e-05,5.7014240143978894e-05,2.495831621237079e-05,9606.ENSP00000237889,0
9606.ENSP00000313877,3.670732012213712e-05,2.1542427816950057e-05,8.946836878320947e-06,9606.ENSP00000237889,0
9606.ENSP00000338034,5.1202074693568464e-05,3.867379551874279e-05,1.9435383410129925e-05,9606.ENSP00000237889,0
9606.ENSP00000402038,1.1592138892444031e-05,5.483836765849516e-06,2.069013333066044e-06,9606.ENSP00000237889,0
9606.ENSP00000263035,0.0001008496427443,7.847808327750696e-05,4.062391633752767e-05,9606.ENSP00000237889,0
9606.ENSP00000363899,4.347160038585491e-06,1.909804627762899e-06,5.532001655849576e-07,9606.ENSP00000237889,1
9606.ENSP00000371362,1.370370570925314e-05,6.960646944500995e-06,2.2382512972276054e-06,9606.ENSP00000237889,0
9606.ENSP00000323678,1.6009650901739204e-05,7.745324776705883e-06,2.4983606213567655e-06,9606.ENSP00000237889,0
9606.ENSP00000445446,1.4184315934868334e-06,7.101843929219174e-07,2.2325494875843298e-07,9606.ENSP00000237889,0
9606.ENSP00000215882,7.611690407193922e-05,5.4534487070704695e-05,2.7254172059933586e-05,9606.ENSP00000237889,0
9606.ENSP00000363873,9.140704415913888e-05,7.832144096181391e-05,4.403267723658379e-05,9606.ENSP00000237889,0
9606.ENSP00000224807,7.356088823052823e-05,5.081991649872269e-05,2.437546572279515e-05,9606.ENSP00000237889,0
9606.ENSP00000346954,1.4914644512982958e-05,1.0564277539165148e-05,5.274990215952354e-06,9606.ENSP00000237889,0
9606.ENSP00000379999,0.0001603133755807,0.0001216662907552,6.150463714069493e-05,9606.ENSP00000237889,0
9606.ENSP00000274813,4.081593399128682e-05,2.4791546644544623e-05,1.0977569715807249e-05,9606.ENSP00000237889,0
9606.ENSP00000358840,0.0003546461869141,0.0002724871796662,0.0001367879139118,9606.ENSP00000237889,0
9606.ENSP00000273158,3.910136096030369e-06,2.0174298450987375e-06,6.471719720312247e-07,9606.ENSP00000237889,0
9606.ENSP00000358510,1.8099806133628503e-05,9.92152596442641e-06,3.271737256217247e-06,9606.ENSP00000237889,1
9606.ENSP00000430025,1.0453634162878756e-05,7.207502866878276e-06,3.412639560727776e-06,9606.ENSP00000237889,0
9606.ENSP00000229379,0.0009228904247929,0.0007597180041123,0.0003979947512471,9606.ENSP00000237889,0
9606.ENSP00000377617,1.6065564660830398e-05,1.0113860225978487e-05,4.862389338422728e-06,9606.ENSP00000237889,0
9606.ENSP00000267436,1.8481361529973643e-05,1.52983290803719e-05,8.616207072580903e-06,9606.ENSP00000237889,0
9606.ENSP00000372191,0.0001178239401757,8.250686185961587e-05,4.007627399327628e-05,9606.ENSP00000281031,0
9606.ENSP00000325562,0.0001308310176982,0.0001070444891021,5.744540360681656e-05,9606.ENSP00000281031,0
9606.ENSP00000363419,3.6031166245127976e-06,2.3788744850342196e-06,1.15773813845184e-06,9606.ENSP00000281031,0
9606.ENSP00000310547,3.951261417952013e-05,2.821282648637083e-05,1.3684869205914425e-05,9606.ENSP00000281031,0
9606.ENSP00000292147,3.621010563517658e-05,2.4057084533142344e-05,1.126626070583275e-05,9606.ENSP00000281031,0
