protein,heat_positive_0.3_0.1,heat_positive_0.3_0.2,heat_positive_0.3_0.3,heat_positive_0.3_0.4,heat_positive_0.3_0.5,heat_positive_0.3_0.6,heat_positive_0.3_0.7,heat_positive_0.3_0.8,heat_positive_0.3_0.9,heat_positive_0.3_1.0,Target,label
9606.ENSP00000372191,0.0001576954819029,0.0003154287041979,0.0002362264567636,0.0003958560191676,0.0005545724779949,0.0005545724779949,0.000712261236913,0.000712261236913,0.000712261236913,0.0008704598003532,9606.ENSP00000264932,0
9606.ENSP00000325562,0.0001587125880178,0.0003182162981829,0.0002381934828008,0.000394399081415,0.0005579287753789,0.0005579287753789,0.0007156735955504,0.0007156735955504,0.0007156735955504,0.0008755724047659,9606.ENSP00000264932,0
9606.ENSP00000363419,0.0001291375447181,0.0002360919133934,0.000182313593541,0.0002868935298465,0.0004001003144367,0.0004001003144367,0.0005172467754164,0.0005172467754164,0.0005172467754164,0.0006448619351431,9606.ENSP00000264932,0
9606.ENSP00000310547,0.0001615407745703,0.0003248526554671,0.0002415153503534,0.0004239973422954,0.0005983828450553,0.0005983828450553,0.000758274065447,0.000758274065447,0.000758274065447,0.0009221553555107,9606.ENSP00000264932,0
9606.ENSP00000292147,0.0001587066362844,0.000317519858072,0.0002369073263253,0.0004049012059113,0.0005637996873701,0.0005637996873701,0.0007220340412459,0.0007220340412459,0.0007220340412459,0.0008821121446089,9606.ENSP00000264932,0
9606.ENSP00000379563,0.000156719921506,0.0003140176777378,0.0002360737707931,0.0003910334271495,0.0005490378753165,0.0005490378753165,0.0007054167435853,0.0007054167435853,0.0007054167435853,0.000862097404024,9606.ENSP00000264932,0
9606.ENSP00000407560,0.0001109020340663,0.0002062999301415,0.0001578769297339,0.0002753433036559,0.0003736339822353,0.0003736339822353,0.0004789872618857,0.0004789872618857,0.0004789872618857,0.0005832237402501,9606.ENSP00000264932,0
9606.ENSP00000360541,0.000157827635121,0.0003194592864019,0.0002388877765042,0.000405432532716,0.0005672606130247,0.0005672606130247,0.000724402591004,0.000724402591004,0.000724402591004,0.0008842895549605,9606.ENSP00000264932,0
9606.ENSP00000263774,0.0001587827937328,0.0003191438227077,0.0002388630819041,0.0004084612082806,0.0005788123889942,0.0005788123889942,0.0007363924232777,0.0007363924232777,0.0007363924232777,0.0008963012078311,9606.ENSP00000264932,0
9606.ENSP00000357535,0.0001575760616105,0.0003154503719997,0.0002362587038078,0.0003985157163697,0.0005578858981607,0.0005578858981607,0.0007150227102101,0.0007150227102101,0.0007150227102101,0.0008730407353141,9606.ENSP00000264932,0
9606.ENSP00000346173,0.0001578411101945,0.0003274908667663,0.0002372187009314,0.0004024183872388,0.0005636697824229,0.0005636697824229,0.0007212448545033,0.0007212448545033,0.0007212448545033,0.00089062286861,9606.ENSP00000264932,0
9606.ENSP00000346255,0.0001571612810948,0.0003139691398246,0.0002354634052608,0.0003961569018429,0.0005542505168705,0.0005542505168705,0.0007112326129572,0.0007112326129572,0.0007112326129572,0.0008684112617629,9606.ENSP00000264932,0
9606.ENSP00000371586,0.0001562896504765,0.0003286379214841,0.0002353826348553,0.0003986858646385,0.0005582999147009,0.0005582999147009,0.000712821529305,0.000712821529305,0.000712821529305,0.0008847555145621,9606.ENSP00000264932,0
9606.ENSP00000322316,0.0001617610396351,0.0003279425291111,0.0002444639758323,0.0004206453231745,0.0005890589309274,0.0005890589309274,0.0007475391685147,0.0007475391685147,0.0007475391685147,0.0009110264654736,9606.ENSP00000264932,0
9606.ENSP00000258080,0.0001554584378027,0.0003552274720277,0.0002328532136743,0.0003856559997075,0.000541724031791,0.000541724031791,0.0006971515467739,0.0006971515467739,0.0006971515467739,0.0008974032971309,9606.ENSP00000264932,0
9606.ENSP00000320043,0.000157241411216,0.0003255402480135,0.0002343765663681,0.000386947816878,0.0005559095079661,0.0005559095079661,0.0007114235122571,0.0007114235122571,0.0007114235122571,0.0008814775283099,9606.ENSP00000264932,0
9606.ENSP00000384867,0.0001606599325896,0.0003221082442905,0.0002396179916104,0.0004611029144143,0.0006269844743655,0.0006269844743655,0.0007864297222113,0.0007864297222113,0.0007864297222113,0.0009499183797743,9606.ENSP00000264932,0
9606.ENSP00000366939,0.000164273478731,0.0003130545374006,0.0002369304129388,0.000386883803003,0.0005719513210351,0.0005719513210351,0.0007336065100389,0.0007336065100389,0.0007336065100389,0.000889925933734,9606.ENSP00000264932,0
9606.ENSP00000355467,0.0001562959732837,0.000323520231177,0.000243562644755,0.0003949876409024,0.0005516009987331,0.0005516009987331,0.0007068835911923,0.0007068835911923,0.0007068835911923,0.0008652555115986,9606.ENSP00000264932,0
9606.ENSP00000341213,0.0001599078896106,0.0003292427572887,0.0002546087052905,0.0004036543832626,0.0005736413513659,0.0005736413513659,0.0007267619803315,0.0007267619803315,0.0007267619803315,0.0008876860738382,9606.ENSP00000264932,0
9606.ENSP00000308515,0.00015504759358,0.000312385665893,0.0002364257452427,0.0003856358380289,0.0005402200331445,0.0005402200331445,0.0006946556313778,0.0006946556313778,0.0006946556313778,0.0008492161214235,9606.ENSP00000264932,0
9606.ENSP00000264451,0.0001591828258824,0.0003178728074999,0.0002408958825981,0.000397056028305,0.000553953286726,0.000553953286726,0.0007124763578758,0.0007124763578758,0.0007124763578758,0.000870277195645,9606.ENSP00000264932,0
9606.ENSP00000260953,0.0001605475772521,0.000300409286865,0.0002301200729561,0.0004377364821266,0.000583615314099,0.000583615314099,0.0007315358961932,0.0007315358961932,0.0007315358961932,0.0008793018714641,9606.ENSP00000264932,0
9606.ENSP00000418008,0.0001580940370331,0.0002388861612416,0.0003185304958606,0.0003185304958606,0.0004264942908775,0.000505584583152,0.000583956403716,0.000583956403716,0.0006625156092923,0.0007489460258511,9606.ENSP00000264932,0
9606.ENSP00000371607,0.0001553335314383,0.0002314679877599,0.0003111332116532,0.0003111332116532,0.0003864674436044,0.0004644582877517,0.0005394513791543,0.0005394513791543,0.0006136544907349,0.0006854597231722,9606.ENSP00000264932,0
9606.ENSP00000401980,0.0001572152395965,0.0002356596814934,0.000313931304845,0.000313931304845,0.0003930788661818,0.0004719739008578,0.0005500251136254,0.0005500251136254,0.0006287850992521,0.0007033395522739,9606.ENSP00000264932,0
9606.ENSP00000328570,0.0001580982425366,0.000238027110754,0.0003181635329383,0.0003181635329383,0.0003978629756602,0.0004769908337038,0.0005550408168346,0.0005550408168346,0.0006341614353004,0.0007131596939871,9606.ENSP00000264932,0
9606.ENSP00000359675,0.0001569349333294,0.0002349004644202,0.0003128209864371,0.0003128209864371,0.0003909963852493,0.0004698045231634,0.0005495082295965,0.0005495082295965,0.0006291706013143,0.0007046405298751,9606.ENSP00000264932,0
9606.ENSP00000308610,0.0001583482226124,0.00023769785912,0.0003168327384628,0.0003168327384628,0.000398980686441,0.0004787049110746,0.0005567548287217,0.0005567548287217,0.0006371004856191,0.0007144598785089,9606.ENSP00000264932,0
9606.ENSP00000085068,0.0001577540242578,0.0002374732503085,0.0003169870687997,0.0003169870687997,0.0003960402245866,0.0004753075481858,0.0005533054281841,0.0005533054281841,0.0006318152154562,0.0007139628141885,9606.ENSP00000264932,0
9606.ENSP00000389903,0.0001534689145046,0.0002270507247885,0.0002999566640937,0.0002999566640937,0.0003821228310698,0.0004599352687364,0.0005351376676117,0.0005351376676117,0.0006077448342693,0.0006746343278791,9606.ENSP00000264932,0
9606.ENSP00000245816,0.0001589323583175,0.0002396137060713,0.0003211763250874,0.0003211763250874,0.0004033551595057,0.0004828800665563,0.0005612238819594,0.0005612238819594,0.0006401127611752,0.0007225094668683,9606.ENSP00000264932,1
9606.ENSP00000238379,0.0001579709860379,0.0002465772777213,0.0003264899714849,0.0003264899714849,0.0004055137760587,0.0004849277829634,0.0005630551240756,0.0005630551240756,0.0006415900061256,0.0007204468493,9606.ENSP00000264932,0
9606.ENSP00000310873,0.000159736671776,0.0002451437685522,0.0003285001803305,0.0003285001803305,0.0004116594936931,0.0004914916571578,0.00056969589059,0.00056969589059,0.0006502380492747,0.0007769223957438,9606.ENSP00000264932,0
9606.ENSP00000428263,0.000156622751092,0.0002278065949212,0.0002906500158132,0.0002906500158132,0.0003585638551157,0.0004261044741724,0.000487117893499,0.000487117893499,0.0005466532747959,0.0006250342048588,9606.ENSP00000264932,0
9606.ENSP00000288111,0.0001580619791639,0.0002400074590696,0.0003199730999767,0.0003199730999767,0.0003990902550867,0.0004785506316693,0.0005566522668232,0.0005566522668232,0.0006354773213388,0.0007565723717561,9606.ENSP00000264932,0
9606.ENSP00000216254,0.0001579331728862,0.0002386084088357,0.0003183838562108,0.0003183838562108,0.0003981870904681,0.0004772884349222,0.0005553548180614,0.0005553548180614,0.0006345874717226,0.0007191548211267,9606.ENSP00000264932,0
9606.ENSP00000387262,0.0001589470193721,0.0002376975608058,0.0003167111281072,0.0003167111281072,0.0003968300079577,0.0004756123016704,0.0005532356153707,0.0005532356153707,0.0006322614644886,0.0007096773624652,9606.ENSP00000264932,0
9606.ENSP00000368318,0.0001582754193805,0.0002377279452048,0.0003167242612107,0.0003167242612107,0.0003959510140703,0.0004759455914609,0.0005542286962736,0.0005542286962736,0.0006333114724839,0.0007180940956459,9606.ENSP00000264932,0
9606.ENSP00000273986,0.0001584865167387,0.00023871340818,0.0003186249814461,0.0003186249814461,0.0004003049907623,0.0004798513618879,0.0005578510244959,0.0005578510244959,0.0006474300389527,0.0007299875142052,9606.ENSP00000264932,0
