protein,heat_positive_0.1_0.1,heat_positive_0.1_0.2,heat_positive_0.1_0.3,heat_positive_0.1_0.4,heat_positive_0.1_0.5,heat_positive_0.1_0.6,heat_positive_0.1_0.7,heat_positive_0.1_0.8,heat_positive_0.1_0.9,heat_positive_0.1_1.0,Target,label
9606.ENSP00000372191,0.0001799670717446,0.0003265777704655,0.0002418372168904,0.0004054966047988,0.0005713845894206,0.0005713845894206,0.0007829688183846,0.0007829688183846,0.0007829688183846,0.0009680733492132,9606.ENSP00000264932,0
9606.ENSP00000325562,0.0002047146554104,0.0003418812993913,0.000270781594736,0.0004131346249778,0.0006691370035696,0.0006691370035696,0.0008389218091906,0.0008389218091906,0.0008389218091906,0.0010534944485698,9606.ENSP00000264932,0
9606.ENSP00000363419,7.507359987357631e-05,0.0001055756583809,9.011319161800202e-05,0.0001232928561876,0.0001614831444385,0.0001614831444385,0.0002077369599646,0.0002077369599646,0.0002077369599646,0.0002788793544823,9606.ENSP00000264932,0
9606.ENSP00000310547,0.0002087298926198,0.0003449991345405,0.0002710425833356,0.0005176951890462,0.0009354197754873,0.0009354197754873,0.001217885484948,0.001217885484948,0.001217885484948,0.0014204625149432,9606.ENSP00000264932,0
9606.ENSP00000292147,0.000212375758565,0.0003698827094922,0.0002622213614813,0.0006677601013507,0.0008064861576713,0.0008064861576713,0.0009615958442736,0.0009615958442736,0.0009615958442736,0.001172538006358,9606.ENSP00000264932,0
9606.ENSP00000379563,0.0001764781191013,0.000326605826558,0.000258697051322,0.0004165280406596,0.0005842935715918,0.0005842935715918,0.0007479602572857,0.0007479602572857,0.0007479602572857,0.000922591490962,9606.ENSP00000264932,0
9606.ENSP00000407560,5.128289558342658e-05,7.823635405657114e-05,6.366380330291577e-05,0.000111993169412,0.0001417932062395,0.0001417932062395,0.0001820469724407,0.0001820469724407,0.0001820469724407,0.0002224101299361,9606.ENSP00000264932,0
9606.ENSP00000360541,0.0001953591417986,0.0003780017723329,0.0002978907505166,0.0005040363976149,0.0007375143759418,0.0007375143759418,0.0009215472746291,0.0009215472746291,0.0009215472746291,0.0011203078393009,9606.ENSP00000264932,0
9606.ENSP00000263774,0.0002404904662398,0.0004230820049997,0.0003241316662752,0.0005526689856196,0.0008643437176942,0.0008643437176942,0.0011811511358246,0.0011811511358246,0.0011811511358246,0.0014305493314168,9606.ENSP00000264932,0
9606.ENSP00000357535,0.0001834781796787,0.0003308140076114,0.0002488823010935,0.0004353298354544,0.0006275855921558,0.0006275855921558,0.0007982820752658,0.0007982820752658,0.0007982820752658,0.0009724595802254,9606.ENSP00000264932,0
9606.ENSP00000346173,0.0001836500086938,0.000458321730548,0.0002562008230597,0.000456949310319,0.0006495682828244,0.0006495682828244,0.0008474068745272,0.0008474068745272,0.0008474068745272,0.0011479292224976,9606.ENSP00000264932,0
9606.ENSP00000346255,0.0001733283570501,0.0003031927990377,0.0002357140328967,0.0004115625852136,0.0005769471972598,0.0005769471972598,0.0007397756926366,0.0007397756926366,0.0007397756926366,0.0008936990925576,9606.ENSP00000264932,0
9606.ENSP00000371586,0.0001351635291939,0.000308667506033,0.0001897301553981,0.0003111034930043,0.00041740274537,0.00041740274537,0.0005272936432447,0.0005272936432447,0.0005272936432447,0.0007172082441684,9606.ENSP00000264932,0
9606.ENSP00000322316,0.000249543620157,0.0004464856247068,0.0003608733532018,0.0006125242289272,0.0009428619014215,0.0009428619014215,0.0011714237552951,0.0011714237552951,0.0011714237552951,0.0013981564698042,9606.ENSP00000264932,0
9606.ENSP00000258080,0.0001717143532005,0.0017624506726861,0.0002339232014492,0.0003723728586919,0.0005202295142225,0.0005202295142225,0.0006896155537106,0.0006896155537106,0.0006896155537106,0.0023105215732357,9606.ENSP00000264932,0
9606.ENSP00000320043,0.000147548977111,0.0003161823588015,0.0001915083012136,0.0003054134249396,0.0006229393875401,0.0006229393875401,0.0007655145382159,0.0007655145382159,0.0007655145382159,0.0009692325111245,9606.ENSP00000264932,0
9606.ENSP00000384867,0.0002598475039121,0.0003953154700866,0.0003105740361206,0.0007540568512922,0.0009972893494705,0.0009972893494705,0.0011750337544071,0.0011750337544071,0.0011750337544071,0.0014366674986376,9606.ENSP00000264932,0
9606.ENSP00000366939,0.0002189603765145,0.0002911546962423,0.0002487673827999,0.0003398522840143,0.0005869821197848,0.0005869821197848,0.0008166149000317,0.0008166149000317,0.0008166149000317,0.0009487730367254,9606.ENSP00000264932,0
9606.ENSP00000355467,0.000166460093169,0.0004587317016557,0.0003653144012787,0.0004848924618272,0.0006383530162565,0.0006383530162565,0.0007736603365628,0.0007736603365628,0.0007736603365628,0.0009584654544596,9606.ENSP00000264932,0
9606.ENSP00000341213,0.0001650598969717,0.0003374561601958,0.0002995265640493,0.0003876771588693,0.0005836890159116,0.0005836890159116,0.0006937968173588,0.0006937968173588,0.0006937968173588,0.0008810975305095,9606.ENSP00000264932,0
9606.ENSP00000308515,0.0001543512698845,0.000311487201543,0.0002594403194962,0.0003699226290336,0.0004954620781063,0.0004954620781063,0.0006246269185794,0.0006246269185794,0.0006246269185794,0.0007620672913617,9606.ENSP00000264932,0
9606.ENSP00000264451,0.0001587171354913,0.0002650242240633,0.0002227493678219,0.0003309915591671,0.000435219877545,0.000435219877545,0.0005860274541191,0.0005860274541191,0.0005860274541191,0.0007294964598258,9606.ENSP00000264932,0
9606.ENSP00000260953,0.0001555757553433,0.0002118330594385,0.0001828098156693,0.0003873926780215,0.0004594955007632,0.0004594955007632,0.0005394205090851,0.0005394205090851,0.0005394205090851,0.0006251636368688,9606.ENSP00000264932,0
9606.ENSP00000418008,0.0002033170458162,0.0003389704506844,0.0004285597460693,0.0004285597460693,0.0015947559368214,0.0016870830149855,0.0017638993085711,0.0017638993085711,0.0018249055719934,0.0019358096687938,9606.ENSP00000264932,0
9606.ENSP00000371607,0.0001646243326831,0.0002201319075538,0.0003200389328412,0.0003200389328412,0.0003668291137728,0.0004458739022084,0.000489918875246,0.000489918875246,0.0005277510790619,0.0005684672614734,9606.ENSP00000264932,0
9606.ENSP00000401980,0.0001717338163871,0.000243079077336,0.0003107397205894,0.0003107397205894,0.0003837930635199,0.0004729515494545,0.0005487641028594,0.0005487641028594,0.0006180502896313,0.0006638493578066,9606.ENSP00000264932,0
9606.ENSP00000328570,0.0001887862672447,0.0002817361237248,0.000362122322258,0.000362122322258,0.0004541030866676,0.0005489989052875,0.0006221399889909,0.0006221399889909,0.0006943370972294,0.0007617392693646,9606.ENSP00000264932,0
9606.ENSP00000359675,0.000157979382493,0.0002219015368609,0.0002788936326396,0.0002788936326396,0.0003395949206606,0.0004184634053672,0.0005837420794705,0.0005837420794705,0.0006631478136114,0.000710907690518,9606.ENSP00000264932,0
9606.ENSP00000308610,0.0002010846801567,0.0002818475622916,0.000355723001121,0.000355723001121,0.0004871489290962,0.0008864942574291,0.000960471923463,0.000960471923463,0.0010473415386513,0.0011038206976081,9606.ENSP00000264932,0
9606.ENSP00000085068,0.0001793054034351,0.0002711744527914,0.0003471015734248,0.0003471015734248,0.0004179478928563,0.0005173367680981,0.0005859917582711,0.0005859917582711,0.0006454732538259,0.0007266166321642,9606.ENSP00000264932,0
9606.ENSP00000389903,0.0001295798647333,0.0001715750731818,0.00020893997862,0.00020893997862,0.0003236338889109,0.0003993181380792,0.0004649312613764,0.0004649312613764,0.0004987619358871,0.0005253944964351,9606.ENSP00000264932,0
9606.ENSP00000245816,0.000222783171921,0.0003208697671652,0.0003991196062997,0.0003991196062997,0.0005390274673118,0.000638049263216,0.0007108370773494,0.0007108370773494,0.0007692123726883,0.000840633187181,9606.ENSP00000264932,1
9606.ENSP00000238379,0.0001777924844645,0.0004746981503558,0.0005592911329586,0.0005592911329586,0.0006247616620385,0.0007236946767079,0.0007893817382864,0.0007893817382864,0.0008454778690065,0.0009060431584657,9606.ENSP00000264932,0
9606.ENSP00000310873,0.0002342504885746,0.0004514235042734,0.0005502131025423,0.0005502131025423,0.0006984083520364,0.0007904106823843,0.0008568822740926,0.0008568822740926,0.0009314706694567,0.0012516737770056,9606.ENSP00000264932,0
9606.ENSP00000428263,0.0001388077726005,0.0001780832426447,0.0002007621224038,0.0002007621224038,0.0002336974794161,0.0002676659714779,0.0002891812928282,0.0002891812928282,0.0003080441838392,0.0003482784322841,9606.ENSP00000264932,0
