protein,RWR_positive_0.2_0.1,RWR_positive_0.2_0.2,RWR_positive_0.2_0.3,RWR_positive_0.2_0.4,RWR_positive_0.2_0.5,RWR_positive_0.2_0.6,RWR_positive_0.2_0.7,RWR_positive_0.2_0.8,RWR_positive_0.2_0.9,RWR_positive_0.2_1.0,Target,label
9606.ENSP00000372191,0.0009567379564642,0.0010036704081546,0.0011467149299241,0.0012750978586434,0.0012750978586434,0.0013232954384222,0.0013232954384222,0.0016547585869653,0.0016547585869653,0.0016547585869653,9606.ENSP00000264932,0
9606.ENSP00000325562,8.561472118669315e-05,0.0002020681992089,0.0002581494202699,0.0003184288412744,0.0003184288412744,0.0003354179721691,0.0003354179721691,0.0005096092927863,0.0005096092927863,0.0005096092927863,9606.ENSP00000264932,0
9606.ENSP00000363419,5.055273365025249e-06,7.955977042526285e-06,1.1911543037569176e-05,1.859922391705173e-05,1.859922391705173e-05,2.0007958339152115e-05,2.0007958339152115e-05,2.875117857513212e-05,2.875117857513212e-05,2.875117857513212e-05,9606.ENSP00000264932,0
9606.ENSP00000310547,0.0001220657008391,0.0002227911930261,0.0002592195995801,0.0002901545793709,0.0002901545793709,0.0002986230495668,0.0002986230495668,0.0005101946372111,0.0005101946372111,0.0005101946372111,9606.ENSP00000264932,0
9606.ENSP00000292147,6.299059629630792e-05,7.905798298032623e-05,0.0001526979627852,0.0004165273548318,0.0004165273548318,0.0004300243395701,0.0004300243395701,0.0005478176315395,0.0005478176315395,0.0005478176315395,9606.ENSP00000264932,0
9606.ENSP00000379563,8.219443541349217e-05,0.0001440087040739,0.0002278839486142,0.0003230077296441,0.0003230077296441,0.0003461978577941,0.0003461978577941,0.0004738146293148,0.0004738146293148,0.0004738146293148,9606.ENSP00000264932,0
9606.ENSP00000407560,3.2814420303851643e-06,4.4327211154917335e-06,7.014589948189251e-06,9.353641052379449e-06,9.353641052379449e-06,1.0523575973547544e-05,1.0523575973547544e-05,1.8746647806169523e-05,1.8746647806169523e-05,1.8746647806169523e-05,9606.ENSP00000264932,0
9606.ENSP00000360541,0.0001452088056568,0.0002215668221474,0.0003776392822758,0.0004933487370152,0.0004933487370152,0.000518181820125,0.000518181820125,0.0008465011617694,0.0008465011617694,0.0008465011617694,9606.ENSP00000264932,0
9606.ENSP00000263774,0.0060308189268085,0.0069596944481661,0.0074571492507853,0.0109753107138964,0.0109753107138964,0.0112039451513329,0.0112039451513329,0.0146364153132788,0.0146364153132788,0.0146364153132788,9606.ENSP00000264932,0
9606.ENSP00000357535,0.0003646570596857,0.0005492847323083,0.0008454464136227,0.0012909891804041,0.0012909891804041,0.0013761932877648,0.0013761932877648,0.002255759869596,0.002255759869596,0.002255759869596,9606.ENSP00000264932,0
9606.ENSP00000346173,0.0004242976078898,0.0005484264160134,0.0013117748391459,0.0015862058550912,0.0015862058550912,0.0016554492150691,0.0016554492150691,0.0022219408504105,0.0022219408504105,0.0022219408504105,9606.ENSP00000264932,0
9606.ENSP00000346255,0.0002230798086845,0.0003367692860409,0.0004902469782297,0.0006864399455967,0.0006864399455967,0.0007889371255232,0.0007889371255232,0.0013745883699579,0.0013745883699579,0.0013745883699579,9606.ENSP00000264932,0
9606.ENSP00000371586,1.8910400686909345e-05,3.5986256045647674e-05,9.967076331068392e-05,0.0001413995203526,0.0001413995203526,0.000149790603149,0.000149790603149,0.0001813367310306,0.0001813367310306,0.0001813367310306,9606.ENSP00000264932,0
9606.ENSP00000322316,0.0001639782765487,0.0002844032853007,0.0003881486495239,0.0004683264638822,0.0004683264638822,0.0004812398226396,0.0004812398226396,0.0007635692413384,0.0007635692413384,0.0007635692413384,9606.ENSP00000264932,0
9606.ENSP00000258080,0.0001784883116673,0.0002347885635387,0.0087053474442102,0.0088049291864443,0.0088049291864443,0.0088536628107885,0.0088536628107885,0.0090244848360696,0.0090244848360696,0.0090244848360696,9606.ENSP00000264932,0
9606.ENSP00000320043,5.201684763493704e-05,0.0002171677673239,0.0002905609512243,0.0003208447959101,0.0003208447959101,0.0003374389593108,0.0003374389593108,0.0003882521488319,0.0003882521488319,0.0003882521488319,9606.ENSP00000264932,0
9606.ENSP00000384867,7.03825182194175e-05,8.986218037534102e-05,0.0001217254256882,0.0001588427692211,0.0001588427692211,0.0001672017939736,0.0001672017939736,0.0005228630576328,0.0005228630576328,0.0005228630576328,9606.ENSP00000264932,0
9606.ENSP00000366939,6.95878075172277e-05,8.648068844623517e-05,9.975853352062632e-05,0.0001401941509497,0.0001401941509497,0.0001447203880233,0.0001447203880233,0.0002224819220423,0.0002224819220423,0.0002224819220423,9606.ENSP00000264932,0
9606.ENSP00000355467,3.853851885422891e-05,8.055462417088882e-05,0.000267428529005,0.0002986591198925,0.0002986591198925,0.0003098018891026,0.0003098018891026,0.0003598436405262,0.0003598436405262,0.0003598436405262,9606.ENSP00000264932,0
9606.ENSP00000341213,2.559798840350712e-05,6.31565288623001e-05,0.0001096284732044,0.0001217368386896,0.0001217368386896,0.0001262331195245,0.0001262331195245,0.000167303604483,0.000167303604483,0.000167303604483,9606.ENSP00000264932,0
9606.ENSP00000308515,3.367323459233234e-05,4.6397626890973055e-05,0.000112709162307,0.0001410400121695,0.0001410400121695,0.0001498312594148,0.0001498312594148,0.0002023037256756,0.0002023037256756,0.0002023037256756,9606.ENSP00000264932,0
