protein,heat_target_0.1,heat_target_0.2,heat_target_0.3,Target,label
9606.ENSP00000370882,0.0001099483997677,8.307248936034739e-05,7.901537173893303e-05,9606.ENSP00000264932,0
9606.ENSP00000354415,8.502013224642724e-05,8.044628339121118e-05,7.828510570107028e-05,9606.ENSP00000264932,0
9606.ENSP00000037869,0.000118755022413,8.610139775555581e-05,7.998366345418617e-05,9606.ENSP00000264932,0
9606.ENSP00000317159,0.0001218636680277,8.434426126768813e-05,7.940891373436898e-05,9606.ENSP00000264932,0
9606.ENSP00000326219,9.748778393259272e-05,8.221672032959759e-05,7.895135058788583e-05,9606.ENSP00000264932,0
9606.ENSP00000364204,8.647717186249793e-05,8.053405326791108e-05,7.835304131731391e-05,9606.ENSP00000264932,0
9606.ENSP00000235329,8.628675277577713e-05,8.063985296757892e-05,7.851520786061883e-05,9606.ENSP00000264932,0
9606.ENSP00000236980,0.0001089302531909,8.283690840471536e-05,7.853442366467789e-05,9606.ENSP00000264932,0
9606.ENSP00000379047,7.47772864997387e-05,8.025172428460792e-05,7.899262709543109e-05,9606.ENSP00000264932,0
9606.ENSP00000354223,0.0001870074047474,8.939580584410578e-05,8.043587149586529e-05,9606.ENSP00000264932,0
9606.ENSP00000396954,7.859966717660427e-05,7.939935312606394e-05,7.795703277224675e-05,9606.ENSP00000264932,1
9606.ENSP00000258955,2.4433631551801227e-05,4.01223442167975e-05,5.109064295538701e-05,9606.ENSP00000264932,0
9606.ENSP00000262507,0.0001096061678254,8.364038512809202e-05,7.920500502223149e-05,9606.ENSP00000264932,0
9606.ENSP00000436773,6.87326755723916e-05,7.93678336776793e-05,7.905371603555977e-05,9606.ENSP00000264932,0
9606.ENSP00000305138,7.846397784305736e-05,8.133052324410528e-05,7.913984882179648e-05,9606.ENSP00000264932,0
9606.ENSP00000265070,8.464059646939859e-05,7.967977580847219e-05,7.799884770065546e-05,9606.ENSP00000264932,0
9606.ENSP00000285083,0.0001047691475832,8.47151895868592e-05,7.974242907948792e-05,9606.ENSP00000264932,0
9606.ENSP00000312770,3.0543265893356875e-05,5.038642484578304e-05,6.151419802336022e-05,9606.ENSP00000264932,0
9606.ENSP00000361993,0.00010383415065,8.323980000568554e-05,7.923995144665241e-05,9606.ENSP00000264932,0
9606.ENSP00000446252,9.120374306803568e-05,8.150270150508732e-05,7.875468872953206e-05,9606.ENSP00000264932,0
9606.ENSP00000417190,9.0262146841269e-05,8.257039735326543e-05,7.91899292380549e-05,9606.ENSP00000264932,0
9606.ENSP00000072869,0.0001000501142698,8.676678407937288e-05,8.051760232774541e-05,9606.ENSP00000264932,0
9606.ENSP00000342254,0.0,0.0,0.0,9606.ENSP00000264932,0
9606.ENSP00000306887,9.5071540272329e-05,8.473946945741773e-05,8.013087790459394e-05,9606.ENSP00000264932,1
9606.ENSP00000402661,0.0001037345791701,8.518712274963036e-05,7.976033521117643e-05,9606.ENSP00000264932,0
9606.ENSP00000478212,8.404351683566347e-05,8.022410474950448e-05,7.835332507966086e-05,9606.ENSP00000264932,0
9606.ENSP00000261434,0.0001036864050547,8.845849515637383e-05,8.127746696118265e-05,9606.ENSP00000264932,0
9606.ENSP00000006658,0.0001012100256048,8.261189213953912e-05,7.901900971774012e-05,9606.ENSP00000264932,0
9606.ENSP00000369383,0.0001214923613588,8.518347021890804e-05,7.95839077909477e-05,9606.ENSP00000264932,0
9606.ENSP00000269980,0.0001037492256728,8.25659662950784e-05,7.90510093793273e-05,9606.ENSP00000264932,0
9606.ENSP00000313877,9.840035636443643e-05,8.325880480697379e-05,7.93352592154406e-05,9606.ENSP00000264932,1
9606.ENSP00000338034,0.0001401553599862,9.01379607967101e-05,8.054214413277805e-05,9606.ENSP00000264932,0
9606.ENSP00000402038,8.93155811354518e-05,8.214112312998623e-05,7.919145718915388e-05,9606.ENSP00000264932,0
9606.ENSP00000263035,0.0001857628521975,8.586897456552833e-05,7.990087760845199e-05,9606.ENSP00000264932,0
9606.ENSP00000363899,6.175466842250898e-05,7.617538358317688e-05,7.841764454497024e-05,9606.ENSP00000264932,0
9606.ENSP00000371362,8.90834053279832e-05,8.328429976245388e-05,7.948113488964736e-05,9606.ENSP00000264932,1
9606.ENSP00000323678,9.71248300629668e-05,8.399040234507993e-05,7.94962325016968e-05,9606.ENSP00000264932,0
9606.ENSP00000445446,1.658318615227472e-05,2.812403727148194e-05,3.709553857333958e-05,9606.ENSP00000264932,0
9606.ENSP00000215882,9.49083114392124e-05,8.182146120816469e-05,7.883456419222057e-05,9606.ENSP00000264932,0
9606.ENSP00000363873,0.000121254233818,8.434500341536477e-05,7.772451499477029e-05,9606.ENSP00000264932,0
9606.ENSP00000224807,9.36114593059756e-05,8.139287092490122e-05,7.852947601350024e-05,9606.ENSP00000264932,0
9606.ENSP00000346954,7.333845132961869e-05,8.019598317332566e-05,7.93124272604473e-05,9606.ENSP00000264932,1
9606.ENSP00000379999,0.0001194381184177,8.40145003166981e-05,7.928543345769867e-05,9606.ENSP00000264932,0
9606.ENSP00000274813,9.076413698494434e-05,8.075246296357363e-05,7.817958976374939e-05,9606.ENSP00000264932,0
9606.ENSP00000358840,0.0001149557137978,8.335178426932544e-05,7.902089419076219e-05,9606.ENSP00000264932,0
9606.ENSP00000273158,6.703910185024142e-05,7.358696166193113e-05,7.58587775635533e-05,9606.ENSP00000264932,0
9606.ENSP00000358510,8.627136412542313e-05,8.349087875103578e-05,7.931552681839094e-05,9606.ENSP00000264932,0
9606.ENSP00000430025,6.988709355937317e-05,7.909088162705302e-05,7.963011012179777e-05,9606.ENSP00000264932,1
9606.ENSP00000229379,0.000133219291456,8.546034223400056e-05,7.960943185025826e-05,9606.ENSP00000264932,0
9606.ENSP00000377617,8.663185872137547e-05,8.210363012040034e-05,7.919160270830616e-05,9606.ENSP00000264932,0
9606.ENSP00000267436,8.472298213746399e-05,8.37068582768552e-05,8.056552178459242e-05,9606.ENSP00000264932,0
9606.ENSP00000372191,0.0001029796185321,8.237003203248605e-05,7.901780918473378e-05,9606.ENSP00000237889,0
9606.ENSP00000325562,0.0001560187229188,8.836269262246788e-05,8.009144949028268e-05,9606.ENSP00000237889,0
9606.ENSP00000363419,4.375295611680485e-05,6.008154377923347e-05,6.790089537389576e-05,9606.ENSP00000237889,0
9606.ENSP00000310547,0.0001519436773378,9.311651228927076e-05,8.106143650365993e-05,9606.ENSP00000237889,0
9606.ENSP00000292147,0.0001127927826019,8.48746785777621e-05,7.963394455146044e-05,9606.ENSP00000237889,0
9606.ENSP00000379563,0.000111396642751,8.268647798104212e-05,7.883058424340561e-05,9606.ENSP00000237889,0
9606.ENSP00000407560,2.3223841708386317e-05,4.25000544055365e-05,5.4565254686167464e-05,9606.ENSP00000237889,0
9606.ENSP00000360541,0.0001305669429711,8.492857159581035e-05,7.945177640067413e-05,9606.ENSP00000237889,0
9606.ENSP00000263774,0.000180431001354,8.72596210683696e-05,7.980728696566075e-05,9606.ENSP00000237889,0
9606.ENSP00000357535,9.50334797380492e-05,8.208368672057986e-05,7.891354471212253e-05,9606.ENSP00000237889,0
9606.ENSP00000346173,0.0001042386138578,8.334801532328129e-05,7.924275269033387e-05,9606.ENSP00000237889,0
9606.ENSP00000346255,8.638925646664575e-05,8.120673737721518e-05,7.871154957683757e-05,9606.ENSP00000237889,0
9606.ENSP00000371586,6.980028410907835e-05,7.985292904777452e-05,7.882568024797365e-05,9606.ENSP00000237889,0
9606.ENSP00000322316,0.0001598122616996,8.961837738752365e-05,8.033218182390556e-05,9606.ENSP00000237889,0
9606.ENSP00000258080,9.635328024160116e-05,8.083503053057939e-05,7.798359001753852e-05,9606.ENSP00000237889,0
9606.ENSP00000320043,7.732928497716784e-05,8.055954094743356e-05,7.893976726336405e-05,9606.ENSP00000237889,0
9606.ENSP00000384867,0.0001662442809902,9.35266143642366e-05,8.108175825327635e-05,9606.ENSP00000237889,0
9606.ENSP00000366939,0.0001256808172911,9.374379442306235e-05,8.279183384729549e-05,9606.ENSP00000237889,1
9606.ENSP00000355467,9.737520304042846e-05,8.186128980014473e-05,7.856089359847829e-05,9606.ENSP00000237889,0
9606.ENSP00000341213,0.0002349851711187,0.0001308973151026,9.403634612681344e-05,9606.ENSP00000237889,0
9606.ENSP00000308515,8.609444921603426e-05,8.171528315870091e-05,7.883767102612182e-05,9606.ENSP00000237889,0
9606.ENSP00000264451,0.0001098069478757,8.928311581257731e-05,8.124272426357493e-05,9606.ENSP00000237889,0
9606.ENSP00000260953,5.089011392556131e-05,7.066878606565297e-05,7.614509377162904e-05,9606.ENSP00000237889,0
9606.ENSP00000418008,9.54301722231321e-05,8.23662630864419e-05,7.902095967438072e-05,9606.ENSP00000237889,0
9606.ENSP00000371607,8.85949848452583e-05,8.296393207274377e-05,7.99364352133125e-05,9606.ENSP00000237889,0
9606.ENSP00000401980,9.384059376316144e-05,8.197462739190087e-05,7.888893742347136e-05,9606.ENSP00000237889,0
9606.ENSP00000328570,0.0001029582635965,8.304513903567567e-05,7.91757702245377e-05,9606.ENSP00000237889,0
9606.ENSP00000359675,7.987124263308942e-05,8.069557952694595e-05,7.876701420173049e-05,9606.ENSP00000237889,0
9606.ENSP00000308610,0.0001495466713095,8.515465742675588e-05,7.953287422424182e-05,9606.ENSP00000237889,0
9606.ENSP00000085068,9.46120999287814e-05,8.236050052801147e-05,7.909226405899972e-05,9606.ENSP00000237889,0
9606.ENSP00000389903,8.084167347988114e-05,8.000845991773531e-05,7.786028436385095e-05,9606.ENSP00000237889,0
9606.ENSP00000245816,0.0001638314715819,8.798758062766865e-05,7.983930117916316e-05,9606.ENSP00000237889,0
9606.ENSP00000238379,9.284377301810308e-05,8.281799091491848e-05,7.91799247963354e-05,9606.ENSP00000237889,0
9606.ENSP00000310873,0.0001912180741783,9.186428360408172e-05,8.051884651649743e-05,9606.ENSP00000237889,0
9606.ENSP00000428263,5.913135100854561e-05,7.350266969297081e-05,7.666501915082335e-05,9606.ENSP00000237889,0
9606.ENSP00000288111,0.0001028961269184,8.364503446500748e-05,7.937453483464196e-05,9606.ENSP00000237889,0
9606.ENSP00000216254,0.0001133798577939,8.352204167749733e-05,7.920322968857363e-05,9606.ENSP00000237889,0
9606.ENSP00000387262,0.0001123383917729,8.314127626363188e-05,7.894473674241453e-05,9606.ENSP00000237889,0
9606.ENSP00000368318,9.95032605715096e-05,8.345182141056284e-05,7.93718354543671e-05,9606.ENSP00000237889,0
9606.ENSP00000273986,0.0001934678584802,8.792895096121356e-05,7.99328408902511e-05,9606.ENSP00000237889,0
9606.ENSP00000264093,0.0002294483274454,9.059947478817776e-05,8.063403220148757e-05,9606.ENSP00000237889,0
9606.ENSP00000315118,0.0001611097395652,8.772479486651719e-05,7.981556700542569e-05,9606.ENSP00000237889,0
9606.ENSP00000264193,9.4263676146511e-05,8.22592992335558e-05,7.902857032604516e-05,9606.ENSP00000237889,0
9606.ENSP00000302037,0.0001014735462376,8.406655979342759e-05,7.909785927040502e-05,9606.ENSP00000237889,0
9606.ENSP00000301329,9.263472020393236e-05,8.25029201223515e-05,7.919098425190896e-05,9606.ENSP00000237889,0
9606.ENSP00000481127,2.969916386064142e-05,5.063298885943368e-05,6.193592707859352e-05,9606.ENSP00000237889,0
9606.ENSP00000273968,2.930788105004467e-05,4.808857556781731e-05,5.9114980103913695e-05,9606.ENSP00000237889,0
9606.ENSP00000267103,9.447742922930048e-05,8.221996540669352e-05,7.913751323940232e-05,9606.ENSP00000237889,0
9606.ENSP00000351214,0.0001629297330509,8.938687824411318e-05,8.021164103411138e-05,9606.ENSP00000237889,0
9606.ENSP00000263702,9.90959524642676e-05,8.363723463844508e-05,7.943006494315341e-05,9606.ENSP00000237889,0
9606.ENSP00000403987,1.697098014119547e-05,3.409263808862306e-05,4.587422154145315e-05,9606.ENSP00000237889,0
9606.ENSP00000406933,0.0001086742267943,8.899031672626734e-05,8.098393300315365e-05,9606.ENSP00000237889,0
9606.ENSP00000317177,7.369727245531976e-05,7.99401241238229e-05,7.819254096830264e-05,9606.ENSP00000237889,0
9606.ENSP00000441065,0.0001232494105352,8.514765795553103e-05,7.961930532474071e-05,9606.ENSP00000237889,0
9606.ENSP00000360268,9.011853398988023e-05,8.155247633112594e-05,7.877427560742944e-05,9606.ENSP00000237889,0
9606.ENSP00000288532,0.0001486183755332,8.963799336925149e-05,8.036438521230593e-05,9606.ENSP00000237889,0
9606.ENSP00000429168,0.0002104885643348,0.0001262789737666,9.350723848911002e-05,9606.ENSP00000237889,0
9606.ENSP00000238561,0.0001463767985114,9.629684063838796e-05,8.222291216952726e-05,9606.ENSP00000237889,0
9606.ENSP00000386543,0.0001074827159754,8.816488116281107e-05,8.065546717261896e-05,9606.ENSP00000237889,0
9606.ENSP00000317379,0.0001282011216972,8.47177070681937e-05,7.94643274275586e-05,9606.ENSP00000237889,0
9606.ENSP00000355741,0.0001353419647784,8.513517241226509e-05,7.87719473009929e-05,9606.ENSP00000237889,0
9606.ENSP00000327070,0.000114212729386,8.319052722072229e-05,7.910055137472227e-05,9606.ENSP00000237889,0
9606.ENSP00000469981,7.947754784254357e-05,7.79730107751675e-05,7.730630022706464e-05,9606.ENSP00000237889,1
9606.ENSP00000337358,0.0001566543942317,9.555166616337374e-05,8.169611101038754e-05,9606.ENSP00000237889,0
9606.ENSP00000370882,0.0001657497923588,8.723075734451413e-05,7.985114643815905e-05,9606.ENSP00000237889,0
9606.ENSP00000354415,9.279933146899566e-05,8.259414607891813e-05,7.893846486695111e-05,9606.ENSP00000237889,0
9606.ENSP00000037869,0.0001720929576549,9.189559204969556e-05,8.077068923739716e-05,9606.ENSP00000237889,0
9606.ENSP00000317159,0.0002066983870463,8.938584505813196e-05,8.013875049073249e-05,9606.ENSP00000237889,0
9606.ENSP00000326219,0.0001154666388174,8.38736814330332e-05,7.932529115350917e-05,9606.ENSP00000237889,0
9606.ENSP00000364204,8.967542817117646e-05,8.141576836351305e-05,7.876042946008965e-05,9606.ENSP00000237889,0
9606.ENSP00000235329,9.05019769561477e-05,8.185976912500337e-05,7.889849075581878e-05,9606.ENSP00000237889,0
9606.ENSP00000236980,9.39617384574376e-05,8.278500899905339e-05,7.870855188230053e-05,9606.ENSP00000237889,0
9606.ENSP00000379047,7.716340769547969e-05,8.086349407676607e-05,7.93020153651014e-05,9606.ENSP00000237889,0
9606.ENSP00000354223,0.0004048114933539,0.0001017551476252,8.141093712765723e-05,9606.ENSP00000237889,0
9606.ENSP00000396954,0.000109851360321,8.248713857028633e-05,7.843754428904504e-05,9606.ENSP00000237889,0
9606.ENSP00000258955,2.0878556824754924e-05,3.776430821744725e-05,4.950750371790491e-05,9606.ENSP00000237889,0
9606.ENSP00000262507,0.0001468118280172,8.741272904444486e-05,8.008182339835912e-05,9606.ENSP00000237889,0
9606.ENSP00000436773,6.144268991192803e-05,7.816243305569515e-05,7.896628085291013e-05,9606.ENSP00000237889,0
9606.ENSP00000305138,7.301200821530074e-05,8.127238106681034e-05,7.933062443044037e-05,9606.ENSP00000237889,0
9606.ENSP00000265070,8.538442489225417e-05,8.013071055756882e-05,7.818403537385166e-05,9606.ENSP00000237889,0
9606.ENSP00000285083,0.0001107697898987,8.701870683580637e-05,8.032795449253172e-05,9606.ENSP00000237889,0
9606.ENSP00000312770,2.713192588998936e-05,4.847092350246385e-05,6.045400368748233e-05,9606.ENSP00000237889,0
9606.ENSP00000361993,0.000144827296026,8.646164496894926e-05,7.978374196682125e-05,9606.ENSP00000237889,0
9606.ENSP00000446252,9.6183292043861e-05,8.229137893067673e-05,7.897899195086211e-05,9606.ENSP00000237889,0
9606.ENSP00000417190,0.0001024719531415,8.488995081279427e-05,7.964453106978908e-05,9606.ENSP00000237889,0
9606.ENSP00000072869,0.0001165022622444,9.20316088013351e-05,8.173449896275997e-05,9606.ENSP00000237889,0
9606.ENSP00000342254,0.0,0.0,0.0,9606.ENSP00000237889,0
9606.ENSP00000306887,0.0001281287404708,9.272888564737514e-05,8.184611215256155e-05,9606.ENSP00000237889,0
9606.ENSP00000402661,0.0001491190487286,9.259794023819268e-05,8.113397052511573e-05,9606.ENSP00000237889,0
9606.ENSP00000478212,8.463623817078769e-05,8.068587339948863e-05,7.855481817387044e-05,9606.ENSP00000237889,0
9606.ENSP00000261434,0.0001165814828709,9.102762123802675e-05,8.16584361018613e-05,9606.ENSP00000237889,0
9606.ENSP00000006658,0.0001276657712878,8.538817201042548e-05,7.954359898576513e-05,9606.ENSP00000237889,0
9606.ENSP00000369383,0.0002234488056274,9.26920838537626e-05,8.046276343520731e-05,9606.ENSP00000237889,0
9606.ENSP00000269980,0.0001221433485625,8.486465230816975e-05,7.955069304443896e-05,9606.ENSP00000237889,0
9606.ENSP00000313877,0.0001028288825182,8.341138891410083e-05,7.93478757259436e-05,9606.ENSP00000237889,0
9606.ENSP00000338034,0.0001859440817497,9.817637328524144e-05,8.178177813533694e-05,9606.ENSP00000237889,0
9606.ENSP00000402038,8.119134872686118e-05,8.23411755845882e-05,7.944928802317008e-05,9606.ENSP00000237889,0
9606.ENSP00000263035,0.0001636300003156,8.633191464468837e-05,7.917666516732424e-05,9606.ENSP00000237889,0
9606.ENSP00000363899,5.8091580285690725e-05,7.420867041219026e-05,7.752685633022338e-05,9606.ENSP00000237889,1
9606.ENSP00000371362,9.602650243323296e-05,8.764568337937817e-05,8.072911441558972e-05,9606.ENSP00000237889,0
9606.ENSP00000323678,0.0001050263599609,8.650141535326838e-05,8.006317511899397e-05,9606.ENSP00000237889,0
9606.ENSP00000445446,2.1609686882584356e-05,3.294656562502496e-05,4.120391167816706e-05,9606.ENSP00000237889,0
9606.ENSP00000215882,0.0001137939252657,8.376261394005269e-05,7.926336547825485e-05,9606.ENSP00000237889,0
9606.ENSP00000363873,0.0001775931305019,8.940247062128037e-05,7.876910967752337e-05,9606.ENSP00000237889,0
9606.ENSP00000224807,0.000109883119876,8.280313340947032e-05,7.881481724325567e-05,9606.ENSP00000237889,0
9606.ENSP00000346954,9.736383071867748e-05,8.731577690923586e-05,8.132251969072968e-05,9606.ENSP00000237889,0
9606.ENSP00000379999,0.0001587786973686,8.715727744856849e-05,7.9742370871827e-05,9606.ENSP00000237889,0
9606.ENSP00000274813,9.800880070542917e-05,8.170808723662049e-05,7.844800711609423e-05,9606.ENSP00000237889,0
9606.ENSP00000358840,0.000172135347384,8.704912761459127e-05,7.953349268063903e-05,9606.ENSP00000237889,0
9606.ENSP00000273158,5.236832657828927e-05,6.58278149785474e-05,7.132889004424214e-05,9606.ENSP00000237889,0
9606.ENSP00000358510,0.0001272609224542,9.944300836650656e-05,8.422324754064903e-05,9606.ENSP00000237889,1
9606.ENSP00000430025,9.460397996008396e-05,9.133012645179406e-05,8.49412172101438e-05,9606.ENSP00000237889,0
9606.ENSP00000229379,0.0002530242491047,9.30783135117963e-05,8.062144479481503e-05,9606.ENSP00000237889,0
9606.ENSP00000377617,9.044291800819336e-05,8.357075421372429e-05,7.96250969870016e-05,9606.ENSP00000237889,0
9606.ENSP00000267436,0.0001107182906707,9.324135317001492e-05,8.380388317164034e-05,9606.ENSP00000237889,0
9606.ENSP00000372191,0.0001006735328701,8.22178044472821e-05,7.896952593000606e-05,9606.ENSP00000281031,0
9606.ENSP00000325562,0.0001623666030354,8.880444511305541e-05,8.013587648747489e-05,9606.ENSP00000281031,0
9606.ENSP00000363419,4.100059959455393e-05,5.8153626014245674e-05,6.663145177299157e-05,9606.ENSP00000281031,0
9606.ENSP00000310547,0.0001474684977438,9.238492202712224e-05,8.096935198409483e-05,9606.ENSP00000281031,0
9606.ENSP00000292147,0.0001091839731088,8.450350287603214e-05,7.956144690979272e-05,9606.ENSP00000281031,0
9606.ENSP00000379563,0.000108871354314,8.253297710325569e-05,7.878768519731238e-05,9606.ENSP00000281031,0
9606.ENSP00000407560,2.3576249077450484e-05,4.2721621866803616e-05,5.469649113365449e-05,9606.ENSP00000281031,0
9606.ENSP00000360541,0.0001265167375095,8.467594307148829e-05,7.940304203657433e-05,9606.ENSP00000281031,0
9606.ENSP00000263774,0.000167811915162,8.676468860358e-05,7.974330947035924e-05,9606.ENSP00000281031,0
9606.ENSP00000357535,9.426258475286886e-05,8.19480192149058e-05,7.885978266131133e-05,9606.ENSP00000281031,0
