Enesembl ID	Gene	RNA line ab	RNA type ab	protein type ab
ENSG00000006059	KRT33A	0.0	0.0	Not detected
ENSG00000006062	MAP3K14	2.4	5.3	Low
ENSG00000006071	ABCC8	0.0	0.1	Not detected
ENSG00000006116	CACNG3	0.0	0.0	Not detected
ENSG00000006118	TMEM132A	33.4	0.0	Low
ENSG00000006125	AP2B1	64.7	71.5	High
ENSG00000006128	TAC1	0.0	0.0	Not detected
ENSG00000006194	ZNF263	37.4	4.8	Medium
ENSG00000006210	CX3CL1	97.9	10.0	Medium
ENSG00000006282	SPATA20	45.8	19.4	Low
ENSG00000006283	CACNA1G	0.2	0.0	
ENSG00000006327	TNFRSF12A	79.9	21.1	Not detected
ENSG00000006377	DLX6	7.2	0.0	
ENSG00000006432	MAP3K9	4.7	3.3	Medium
ENSG00000006451	RALA	31.9	31.3	Low
ENSG00000006453	BAIAP2L1	22.8	15.7	Medium
ENSG00000006459	KDM7A	6.4	16.0	High
ENSG00000006468	ETV1	0.0	11.5	
ENSG00000006530	AGK	21.6	3.8	Medium
ENSG00000006534	ALDH3B1	11.8	2.0	Medium
ENSG00000006555	TTC22	0.1	1.4	Medium
ENSG00000006576	PHTF2	7.3	4.2	Medium
ENSG00000006606	CCL26	0.6	0.0	
ENSG00000006607	FARP2	21.7	10.4	High
ENSG00000006611	USH1C	0.0	0.0	Not detected
ENSG00000006625	GGCT	76.8	59.8	Medium
ENSG00000006634	DBF4	0.5	9.1	
ENSG00000006638	TBXA2R	0.2	1.1	
ENSG00000006652	IFRD1	31.6	14.8	Medium
ENSG00000006659	LGALS14	0.1	0.0	
ENSG00000006695	COX10	18.3	8.4	Medium
ENSG00000006704	GTF2IRD1	22.1	3.9	High
ENSG00000006712	PAF1	58.1	23.5	Not detected
ENSG00000006715	VPS41	17.6	23.3	Medium
ENSG00000006740	ARHGAP44	1.6	2.1	Not detected
ENSG00000006744	ELAC2	54.6	27.1	Medium
ENSG00000006747	SCIN	0.2	0.1	Not detected
ENSG00000006756	ARSD	4.6	95.7	High
ENSG00000006757	PNPLA4	35.3	67.0	Not detected
ENSG00000006788	MYH13	0.0	0.0	
ENSG00000006831	ADIPOR2	30.5	95.8	Not detected
ENSG00000006837	CDKL3	1.6	1.9	
ENSG00000007001	UPP2	0.1	8.6	
ENSG00000007038	PRSS21	0.0	0.0	Not detected
ENSG00000007047	MARK4	18.9	9.6	Low
ENSG00000007062	PROM1	5.6	0.1	Not detected
ENSG00000007080	CCDC124	136.9	67.0	Medium
ENSG00000007129	CEACAM21	0.0	0.1	Medium
ENSG00000007168	PAFAH1B1	25.8	31.6	Not detected
ENSG00000007171	NOS2	0.0	0.0	Low
ENSG00000007174	DNAH9	0.0	0.0	Not detected
ENSG00000007202	KIAA0100	44.5	24.2	Not detected
ENSG00000007216	SLC13A2	0.0	0.2	Not detected
ENSG00000007237	GAS7	0.6	0.7	Not detected
ENSG00000007255	TRAPPC6A	17.6	120.3	Medium
ENSG00000007264	MATK	1.6	1.8	Not detected
ENSG00000007306	CEACAM7	0.0	0.0	Not detected
ENSG00000007312	CD79B	0.5	1.7	Not detected
ENSG00000007314	SCN4A	0.0	0.0	
ENSG00000007341	ST7L	2.6	7.5	Low
ENSG00000007350	TKTL1	0.0	0.0	Not detected
ENSG00000007372	PAX6	4.4	0.0	Not detected
ENSG00000007376	RPUSD1	28.8	5.0	Medium
ENSG00000007384	RHBDF1	6.2	2.0	
ENSG00000007392	LUC7L	53.0	9.2	Medium
ENSG00000007402	CACNA2D2	0.0	0.0	Not detected
ENSG00000007516	BAIAP3	1.8	3.3	Low
ENSG00000007520	TSR3	54.1	51.4	Medium
ENSG00000007541	PIGQ	14.1	11.8	Low
ENSG00000007545	CRAMP1	8.3	2.6	Low
ENSG00000007866	TEAD3	41.4	9.7	
ENSG00000007908	SELE	0.0	7.1	Not detected
ENSG00000007923	DNAJC11	57.4	8.6	
ENSG00000007933	FMO3	0.0	411.6	High
ENSG00000007944	MYLIP	3.3	1.0	
ENSG00000007952	NOX1	0.5	0.0	
ENSG00000007968	E2F2	2.8	0.4	Not detected
ENSG00000008018	PSMB1	709.5	423.2	Medium
ENSG00000008056	SYN1	0.0	1.2	Not detected
ENSG00000008083	JARID2	13.5	15.1	Medium
ENSG00000008086	CDKL5	2.5	3.5	Low
ENSG00000008118	CAMK1G	0.0	0.0	
ENSG00000008128	CDK11A	19.7	14.2	Not detected
ENSG00000008130	NADK	74.0	86.4	Medium
ENSG00000008196	TFAP2B	0.0	0.0	Not detected
ENSG00000008197	TFAP2D	0.0	0.0	
ENSG00000008226	DLEC1	0.0	0.2	Not detected
ENSG00000008256	CYTH3	4.1	0.9	Not detected
ENSG00000008277	ADAM22	2.4	0.1	
ENSG00000008282	SYPL1	57.5	89.4	Low
ENSG00000008283	CYB561	3.6	9.9	Not detected
ENSG00000008294	SPAG9	39.7	45.6	Not detected
ENSG00000008300	CELSR3	3.9	0.2	Not detected
ENSG00000008311	AASS	11.3	223.2	High
