protein,RNA line ab,RNA type ab,binary_RNA line ab,binary_RNA type ab,one_hot_0,one_hot_1,one_hot_2,one_hot_3
9606.ENSP00000265723,6.9,204.6,1,1,0,0,0,1
9606.ENSP00000312379,21.2,30.4,1,1,1,0,0,0
9606.ENSP00000006777,36.4,35.5,1,1,1,0,0,0
9606.ENSP00000293894,0.1,0,1,0,0.25,0.25,0.25,0.25
9606.ENSP00000305721,14.4,68.3,1,1,0,0,1,0
9606.ENSP00000382511,19,5.9,1,1,0,1,0,0
9606.ENSP00000444596,16.7,43.2,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000347834,14.9,26.7,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000349252,0.6,4.2,1,1,1,0,0,0
9606.ENSP00000420927,19.2,58.3,1,1,0,1,0,0
9606.ENSP00000007722,1.2,0.1,1,1,0,0,1,0
9606.ENSP00000368475,10.9,23,1,1,0,1,0,0
9606.ENSP00000408411,69.2,182,1,1,0,0,1,0
9606.ENSP00000262407,0.8,0,1,0,1,0,0,0
9606.ENSP00000321388,4.8,1.9,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000261386,44.8,23.3,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000351422,12.1,231.5,1,1,0,0,1,0
9606.ENSP00000376188,413.3,0.1,1,1,1,0,0,0
9606.ENSP00000007414,3.8,0.7,1,1,1,0,0,0
9606.ENSP00000463245,186.2,12.5,1,1,0,0,1,0
9606.ENSP00000007699,0,1.3,0,1,1,0,0,0
9606.ENSP00000007735,0,0,0,0,1,0,0,0
9606.ENSP00000482657,2.4,5.3,1,1,0,1,0,0
9606.ENSP00000303960,0,0.1,0,1,1,0,0,0
9606.ENSP00000005284,0,0,0,0,1,0,0,0
9606.ENSP00000005286,33.4,0,1,0,0,1,0,0
9606.ENSP00000482835,64.7,71.5,1,1,0,0,0,1
9606.ENSP00000321106,0,0,0,0,1,0,0,0
9606.ENSP00000219069,37.4,4.8,1,1,0,0,1,0
9606.ENSP00000006053,97.9,10,1,1,0,0,1,0
9606.ENSP00000006658,45.8,19.4,1,1,0,1,0,0
9606.ENSP00000352011,0.2,0,1,0,0.25,0.25,0.25,0.25
9606.ENSP00000326737,79.9,21.1,1,1,1,0,0,0
9606.ENSP00000428480,7.2,0,1,0,0.25,0.25,0.25,0.25
9606.ENSP00000451263,4.7,3.3,1,1,0,0,1,0
9606.ENSP00000005257,31.9,31.3,1,1,0,1,0,0
9606.ENSP00000005260,22.8,15.7,1,1,0,0,1,0
9606.ENSP00000380692,6.4,16,1,1,0,0,0,1
9606.ENSP00000405327,0,11.5,0,1,0.25,0.25,0.25,0.25
9606.ENSP00000347581,21.6,3.8,1,1,0,0,1,0
9606.ENSP00000473990,11.8,2,1,1,0,0,1,0
9606.ENSP00000360323,0.1,1.4,1,1,0,0,1,0
9606.ENSP00000403042,7.3,4.2,1,1,0,0,1,0
9606.ENSP00000378365,0.6,0,1,0,0.25,0.25,0.25,0.25
9606.ENSP00000264042,21.7,10.4,1,1,0,0,0,1
9606.ENSP00000005226,0,0,0,0,1,0,0,0
9606.ENSP00000275428,76.8,59.8,1,1,0,0,1,0
9606.ENSP00000265728,0.5,9.1,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000393333,0.2,1.1,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000384477,31.6,14.8,1,1,0,0,1,0
9606.ENSP00000353893,0.1,0,1,0,0.25,0.25,0.25,0.25
9606.ENSP00000261643,18.3,8.4,1,1,0,0,1,0
9606.ENSP00000397566,22.1,3.9,1,1,0,0,0,1
9606.ENSP00000221265,58.1,23.5,1,1,1,0,0,0
9606.ENSP00000309457,17.6,23.3,1,1,0,0,1,0
9606.ENSP00000368994,1.6,2.1,1,1,1,0,0,0
9606.ENSP00000337445,54.6,27.1,1,1,0,0,1,0
9606.ENSP00000297029,0.2,0.1,1,1,1,0,0,0
9606.ENSP00000370546,4.6,95.7,1,1,0,0,0,1
9606.ENSP00000370430,35.3,67,1,1,1,0,0,0
9606.ENSP00000404570,0,0,0,0,0.25,0.25,0.25,0.25
9606.ENSP00000349616,30.5,95.8,1,1,1,0,0,0
9606.ENSP00000265334,1.6,1.9,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000474090,0.1,8.6,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000005995,0,0,0,0,1,0,0,0
9606.ENSP00000262891,18.9,9.6,1,1,0,1,0,0
9606.ENSP00000426809,5.6,0.1,1,1,1,0,0,0
9606.ENSP00000471455,136.9,67,1,1,0,0,1,0
9606.ENSP00000385739,0,0.1,0,1,0,0,1,0
9606.ENSP00000380378,25.8,31.6,1,1,1,0,0,0
9606.ENSP00000327251,0,0,0,0,0,1,0,0
9606.ENSP00000262442,0,0,0,0,1,0,0,0
9606.ENSP00000436773,44.5,24.2,1,1,1,0,0,0
9606.ENSP00000392411,0,0.2,0,1,1,0,0,0
9606.ENSP00000407552,0.6,0.7,1,1,1,0,0,0
9606.ENSP00000006275,17.6,120.3,1,1,0,0,1,0
9606.ENSP00000378485,1.6,1.8,1,1,1,0,0,0
9606.ENSP00000006724,0,0,0,0,1,0,0,0
9606.ENSP00000376544,0.5,1.7,1,1,1,0,0,0
9606.ENSP00000396320,0,0,0,0,0.25,0.25,0.25,0.25
9606.ENSP00000350734,2.6,7.5,1,1,0,1,0,0
9606.ENSP00000358931,0,0,0,0,1,0,0,0
9606.ENSP00000404100,4.4,0,1,0,1,0,0,0
9606.ENSP00000455026,28.8,5,1,1,0,0,1,0
9606.ENSP00000262316,6.2,2,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000293872,53,9.2,1,1,0,0,1,0
9606.ENSP00000418081,0,0,0,0,1,0,0,0
9606.ENSP00000324510,1.8,3.3,1,1,0,1,0,0
9606.ENSP00000007390,54.1,51.4,1,1,0,0,1,0
9606.ENSP00000026218,14.1,11.8,1,1,0,1,0,0
9606.ENSP00000380559,8.3,2.6,1,1,0,1,0,0
9606.ENSP00000345772,41.4,9.7,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000331736,0,7.1,0,1,1,0,0,0
9606.ENSP00000366800,57.4,8.6,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000356729,0,411.6,0,1,0,0,0,1
9606.ENSP00000349298,3.3,1,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000362057,0.5,0,1,0,0.25,0.25,0.25,0.25
9606.ENSP00000355249,2.8,0.4,1,1,1,0,0,0
9606.ENSP00000262193,709.5,423.2,1,1,0,0,1,0
9606.ENSP00000295987,0,1.2,0,1,1,0,0,0
9606.ENSP00000341280,13.5,15.1,1,1,0,0,1,0
9606.ENSP00000369325,2.5,3.5,1,1,0,1,0,0
9606.ENSP00000009105,0,0,0,0,0.25,0.25,0.25,0.25
9606.ENSP00000384442,19.7,14.2,1,1,1,0,0,0
9606.ENSP00000367890,74,86.4,1,1,0,0,1,0
9606.ENSP00000377265,0,0,0,0,1,0,0,0
9606.ENSP00000008391,0,0,0,0,0.25,0.25,0.25,0.25
9606.ENSP00000308597,0,0.2,0,1,1,0,0,0
9606.ENSP00000297044,4.1,0.9,1,1,1,0,0,0
9606.ENSP00000265727,2.4,0.1,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000011473,57.5,89.4,1,1,0,1,0,0
9606.ENSP00000376702,3.6,9.9,1,1,1,0,0,0
9606.ENSP00000262013,39.7,45.6,1,1,1,0,0,0
9606.ENSP00000164024,3.9,0.2,1,1,1,0,0,0
9606.ENSP00000377040,11.3,223.2,1,1,0,0,0,1
9606.ENSP00000380185,14.3,2,1,1,1,0,0,0
9606.ENSP00000401115,37,70.2,1,1,0,0,1,0
9606.ENSP00000471735,28.9,21.9,1,1,0,1,0,0
9606.ENSP00000379512,551.4,4707.3,1,1,0,0,0,1
9606.ENSP00000008527,13.9,15.7,1,1,0,1,0,0
9606.ENSP00000008938,0.2,0,1,0,1,0,0,0
9606.ENSP00000380781,20.9,29,1,1,0,0,1,0
9606.ENSP00000428540,36,139.7,1,1,0,0,0,1
9606.ENSP00000337816,0,0.2,0,1,0,1,0,0
9606.ENSP00000432218,488,135.7,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000262304,4.7,17,1,1,0,0,1,0
9606.ENSP00000330572,1.5,0.1,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000377686,82.6,12.8,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000427926,8.4,2,1,1,0,0,1,0
9606.ENSP00000233099,11.8,6.6,1,1,0,0,1,0
9606.ENSP00000337688,108.2,1107.7,1,1,0,1,0,0
9606.ENSP00000429374,3364.1,2771.6,1,1,0,1,0,0
9606.ENSP00000481762,352.7,176.3,1,1,0,1,0,0
9606.ENSP00000309198,33.6,39.9,1,1,0,0,1,0
9606.ENSP00000351697,13.8,12.1,1,1,0,0,1,0
9606.ENSP00000403954,0,14.8,0,1,0.25,0.25,0.25,0.25
9606.ENSP00000364524,0,0,0,0,0.25,0.25,0.25,0.25
9606.ENSP00000383690,16.7,641.9,1,1,1,0,0,0
9606.ENSP00000229447,0.1,24.6,1,1,1,0,0,0
9606.ENSP00000010299,10.4,18.2,1,1,1,0,0,0
9606.ENSP00000355991,0,4,0,1,1,0,0,0
9606.ENSP00000261534,6,3.6,1,1,1,0,0,0
9606.ENSP00000356602,87.9,23.8,1,1,0,0,1,0
9606.ENSP00000320886,89.7,201.1,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000342434,54.6,58.5,1,1,1,0,0,0
9606.ENSP00000011619,42.8,15.5,1,1,0,0,1,0
9606.ENSP00000341843,0,0.2,0,1,0.25,0.25,0.25,0.25
9606.ENSP00000295050,8.4,8.4,1,1,1,0,0,0
9606.ENSP00000354920,22.4,9.3,1,1,0,0,1,0
9606.ENSP00000441755,3.7,12.3,1,1,1,0,0,0
9606.ENSP00000378165,184.1,53.5,1,1,0,0,0,1
9606.ENSP00000203407,342.8,167.1,1,1,0,0,0,1
9606.ENSP00000009041,42.9,12,1,1,0,1,0,0
9606.ENSP00000371958,26.8,38.6,1,1,1,0,0,0
9606.ENSP00000405423,0,0,0,0,1,0,0,0
9606.ENSP00000325017,74.4,2.9,1,1,0,1,0,0
9606.ENSP00000482285,8.7,5.8,1,1,1,0,0,0
9606.ENSP00000467494,0.4,0,1,0,0,0,1,0
9606.ENSP00000333024,3,3.4,1,1,1,0,0,0
9606.ENSP00000231721,15.9,0,1,0,0.25,0.25,0.25,0.25
9606.ENSP00000339958,24.6,11.7,1,1,0,1,0,0
9606.ENSP00000312946,0.1,13,1,1,0,1,0,0
9606.ENSP00000313309,0.1,8,1,1,0,0,1,0
9606.ENSP00000339260,0,18.9,0,1,0.25,0.25,0.25,0.25
9606.ENSP00000339801,5.8,4.4,1,1,0,0,0,1
9606.ENSP00000354280,0,6.5,0,1,1,0,0,0
9606.ENSP00000395723,9.4,5.1,1,1,0,1,0,0
9606.ENSP00000011653,1,25.2,1,1,1,0,0,0
9606.ENSP00000390932,3.7,1.4,1,1,1,0,0,0
9606.ENSP00000483570,0,0.4,0,1,1,0,0,0
9606.ENSP00000417404,3.7,10.3,1,1,0,1,0,0
9606.ENSP00000318094,37.6,5.9,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000346671,28.6,68.2,1,1,0,0,1,0
9606.ENSP00000356575,3.7,3.6,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000481732,0,0.2,0,1,1,0,0,0
9606.ENSP00000395574,38,49.6,1,1,0,0,1,0
9606.ENSP00000363638,131.2,28.6,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000234488,15.3,6.9,1,1,1,0,0,0
9606.ENSP00000307513,0,0,0,0,1,0,0,0
9606.ENSP00000376886,26.8,0,1,0,0,1,0,0
9606.ENSP00000230671,0,0,0,0,0.25,0.25,0.25,0.25
9606.ENSP00000011898,27.8,30.7,1,1,1,0,0,0
9606.ENSP00000335615,3.1,18.2,1,1,0,0,1,0
9606.ENSP00000315136,6.4,9.8,1,1,0,0,1,0
9606.ENSP00000376827,15.2,5.7,1,1,0,1,0,0
9606.ENSP00000390849,5.4,26.3,1,1,1,0,0,0
9606.ENSP00000262648,0,0,0,0,0.25,0.25,0.25,0.25
9606.ENSP00000380557,33.2,13.7,1,1,0,0,1,0
9606.ENSP00000468304,13.6,10.1,1,1,0,0,0,1
9606.ENSP00000225298,96.6,18.4,1,1,0,0,1,0
9606.ENSP00000374552,22.2,12.7,1,1,0,0,1,0
9606.ENSP00000261647,6.5,34.9,1,1,0,0,1,0
9606.ENSP00000349428,420.2,73.8,1,1,0,1,0,0
9606.ENSP00000347716,1.8,0,1,0,1,0,0,0
9606.ENSP00000444201,3.6,60.8,1,1,1,0,0,0
9606.ENSP00000408576,17.5,7.7,1,1,0,0,1,0
9606.ENSP00000265970,21.6,25.7,1,1,0,0,1,0
9606.ENSP00000339328,4.3,0.9,1,1,1,0,0,0
9606.ENSP00000265748,50.1,0.4,1,1,1,0,0,0
9606.ENSP00000263381,11.4,14.6,1,1,0,0,0,1
9606.ENSP00000362751,23.7,13.9,1,1,1,0,0,0
9606.ENSP00000052754,0.7,2.2,1,1,1,0,0,0
9606.ENSP00000012049,23.9,1.4,1,1,1,0,0,0
9606.ENSP00000012443,55.9,20.3,1,1,0,1,0,0
9606.ENSP00000367229,7.6,8,1,1,0,0,1,0
9606.ENSP00000263881,39,17.5,1,1,1,0,0,0
9606.ENSP00000376035,0,0,0,0,1,0,0,0
9606.ENSP00000262629,0,24.3,0,1,1,0,0,0
9606.ENSP00000233047,7.6,0.4,1,1,0,0,1,0
9606.ENSP00000359337,0,0,0,0,1,0,0,0
9606.ENSP00000418960,29.7,19.2,1,1,0,1,0,0
9606.ENSP00000013807,36.7,32.9,1,1,0,1,0,0
9606.ENSP00000085219,2.5,0.2,1,1,1,0,0,0
9606.ENSP00000484146,146.3,0.8,1,1,0,0,1,0
9606.ENSP00000368798,13.7,16.9,1,1,0,0,1,0
9606.ENSP00000470248,4.6,2.7,1,1,1,0,0,0
9606.ENSP00000231751,0,0,0,0,1,0,0,0
9606.ENSP00000220562,13.8,9.4,1,1,0,0,1,0
9606.ENSP00000447149,36.4,110.4,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000359956,98.3,88.9,1,1,0,1,0,0
9606.ENSP00000363512,0,2.1,0,1,1,0,0,0
9606.ENSP00000449960,5.5,15.1,1,1,0,0,1,0
9606.ENSP00000013070,22.6,9.5,1,1,0,1,0,0
9606.ENSP00000013125,21.5,7.9,1,1,1,0,0,0
9606.ENSP00000327116,0.2,5.1,1,1,1,0,0,0
9606.ENSP00000157812,81.2,62.9,1,1,0,0,1,0
9606.ENSP00000285599,11,36.1,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000231706,0,0.4,0,1,1,0,0,0
9606.ENSP00000064724,5.9,0.6,1,1,1,0,0,0
9606.ENSP00000366299,248.8,74,1,1,1,0,0,0
9606.ENSP00000378760,57.3,23.2,1,1,1,0,0,0
9606.ENSP00000454264,30,43,1,1,0,0,1,0
9606.ENSP00000425809,97.6,30.4,1,1,0,1,0,0
9606.ENSP00000358739,6.4,6.9,1,1,0,0,1,0
9606.ENSP00000394734,27.5,33.1,1,1,0,0,1,0
9606.ENSP00000228347,12,11.1,1,1,0,0,1,0
9606.ENSP00000251089,13.9,9.3,1,1,1,0,0,0
9606.ENSP00000378028,22.5,29.8,1,1,0,0,1,0
9606.ENSP00000358824,7.5,7.3,1,1,0,1,0,0
9606.ENSP00000440402,20.5,5.5,1,1,1,0,0,0
9606.ENSP00000014930,60.1,134.6,1,1,1,0,0,0
9606.ENSP00000014914,1.9,0.2,1,1,1,0,0,0
9606.ENSP00000414517,0.2,3.9,1,1,0,1,0,0
9606.ENSP00000323280,0,1.3,0,1,1,0,0,0
9606.ENSP00000326550,66.6,5.3,1,1,1,0,0,0
9606.ENSP00000358283,19.8,56.2,1,1,0,0,1,0
9606.ENSP00000265465,10.6,2.4,1,1,0,1,0,0
9606.ENSP00000262577,14.4,9.1,1,1,0,0,1,0
9606.ENSP00000431984,85.3,33.1,1,1,0,1,0,0
9606.ENSP00000323036,0.2,0,1,0,1,0,0,0
9606.ENSP00000438144,326.3,196.7,1,1,0,0,1,0
9606.ENSP00000264451,9.7,21.8,1,1,0,0,1,0
9606.ENSP00000391668,0.6,1.6,1,1,1,0,0,0
9606.ENSP00000016171,30.8,27.9,1,1,0,0,1,0
9606.ENSP00000374507,8.5,0.8,1,1,1,0,0,0
9606.ENSP00000328004,6.5,112.2,1,1,0,1,0,0
9606.ENSP00000381053,42.7,31.9,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000365891,0,3.5,0,1,1,0,0,0
9606.ENSP00000376807,32.4,0,1,0,1,0,0,0
9606.ENSP00000318822,66.4,52.3,1,1,0,1,0,0
9606.ENSP00000354346,111.5,0.2,1,1,0,0,0,1
9606.ENSP00000289547,17.8,33.9,1,1,0,0,1,0
9606.ENSP00000017003,17.8,6.1,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000016946,7.1,0.5,1,1,0,1,0,0
9606.ENSP00000342538,0,0,0,0,0.25,0.25,0.25,0.25
9606.ENSP00000347626,2.6,30.4,1,1,0,1,0,0
9606.ENSP00000230658,0,0,0,0,0,0,1,0
9606.ENSP00000319851,76.3,42.1,1,1,0,1,0,0
9606.ENSP00000314976,0,0,0,0,1,0,0,0
9606.ENSP00000234701,0,0,0,0,1,0,0,0
9606.ENSP00000359594,0.1,0,1,0,1,0,0,0
9606.ENSP00000266014,84.7,39.3,1,1,0,0,0,1
9606.ENSP00000421326,34.9,25.2,1,1,0,1,0,0
9606.ENSP00000302665,0,240.9,0,1,1,0,0,0
9606.ENSP00000471683,94.3,0.3,1,1,1,0,0,0
9606.ENSP00000019317,30.8,95.6,1,1,0,1,0,0
9606.ENSP00000370394,11.5,26,1,1,0,1,0,0
9606.ENSP00000447006,0,0,0,0,1,0,0,0
9606.ENSP00000233202,0.2,6.6,1,1,1,0,0,0
9606.ENSP00000419465,53.2,22.5,1,1,0,0,1,0
9606.ENSP00000264167,67.6,32.5,1,1,0,1,0,0
9606.ENSP00000441786,15.8,7.7,1,1,0,0,1,0
9606.ENSP00000354490,0.7,0,1,0,0,1,0,0
9606.ENSP00000313953,36.5,3.2,1,1,0,0,0,1
9606.ENSP00000301310,1.1,4.6,1,1,1,0,0,0
9606.ENSP00000318684,6.2,0.2,1,1,0,1,0,0
9606.ENSP00000354498,5.4,0.5,1,1,0,1,0,0
9606.ENSP00000318916,0,3.6,0,1,1,0,0,0
9606.ENSP00000216862,100.8,0,1,0,1,0,0,0
9606.ENSP00000480626,3.6,0.7,1,1,0,0,0,1
9606.ENSP00000020926,0.1,0,1,0,0,0,1,0
9606.ENSP00000380034,0.3,7.9,1,1,0,0,1,0
9606.ENSP00000009530,198.2,48,1,1,1,0,0,0
9606.ENSP00000222390,0.2,0,1,0,0,1,0,0
9606.ENSP00000352676,13.8,41.9,1,1,0,1,0,0
9606.ENSP00000362340,11.2,3.9,1,1,1,0,0,0
9606.ENSP00000406367,0.2,0.8,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000216923,20.2,5.6,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000261245,45.4,29.9,1,1,1,0,0,0
9606.ENSP00000375919,10,61.4,1,1,0,1,0,0
9606.ENSP00000382800,0.3,1.2,1,1,1,0,0,0
9606.ENSP00000325863,20.7,5.6,1,1,0,0,1,0
9606.ENSP00000346127,106.7,0.1,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000370115,34,21.2,1,1,1,0,0,0
9606.ENSP00000222382,2.6,3.8,1,1,0,0,1,0
9606.ENSP00000023064,6.7,12.7,1,1,1,0,0,0
9606.ENSP00000480893,17.6,9.1,1,1,0,0,1,0
9606.ENSP00000451648,0,0.1,0,1,1,0,0,0
9606.ENSP00000263650,0,0.7,0,1,0,0,1,0
9606.ENSP00000156471,5.5,15.5,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000402608,17,1781.9,1,1,0,0,0,1
9606.ENSP00000360281,9.2,250,1,1,0,0,1,0
9606.ENSP00000377710,0.2,6.8,1,1,1,0,0,0
9606.ENSP00000023939,134.5,64,1,1,1,0,0,0
9606.ENSP00000393097,0,0,0,0,1,0,0,0
9606.ENSP00000445135,0.2,0,1,0,0.25,0.25,0.25,0.25
9606.ENSP00000428137,0,0,0,0,0,1,0,0
9606.ENSP00000322242,109.6,52.2,1,1,0,0,1,0
9606.ENSP00000399863,8.9,4.9,1,1,0,0,1,0
9606.ENSP00000358413,38.1,22.2,1,1,1,0,0,0
9606.ENSP00000402457,0.6,0,1,0,0,1,0,0
9606.ENSP00000433999,56.2,71.8,1,1,1,0,0,0
9606.ENSP00000392709,72.5,89.9,1,1,0,1,0,0
9606.ENSP00000025008,19.7,44.3,1,1,1,0,0,0
9606.ENSP00000262455,21.1,65.7,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000378416,49.5,270.9,1,1,0,0,1,0
9606.ENSP00000263464,1.8,2.9,1,1,0,1,0,0
9606.ENSP00000025301,7.6,19.1,1,1,0,0,1,0
9606.ENSP00000356410,34.7,42.6,1,1,0,0,1,0
9606.ENSP00000216294,8.4,5.7,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000416583,53.3,53.4,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000392270,135.4,83.6,1,1,0,0,1,0
