protein,RNA line ab,RNA type ab,binary_RNA line ab,binary_RNA type ab,one_hot_0,one_hot_1,one_hot_2,one_hot_3
9606.ENSP00000334140,17.4,36.8,1,1,1,0,0,0
9606.ENSP00000417142,77.5,216.8,1,1,0,0,1,0
9606.ENSP00000411145,0,0,0,0,1,0,0,0
9606.ENSP00000249389,0,0,0,0,1,0,0,0
9606.ENSP00000384952,55.6,166.8,1,1,0,0,0,1
9606.ENSP00000376132,68.7,375.6,1,1,0,0,1,0
9606.ENSP00000328598,11.5,0,1,0,0.25,0.25,0.25,0.25
9606.ENSP00000386498,0.1,0,1,0,0.25,0.25,0.25,0.25
9606.ENSP00000249442,81.8,36.5,1,1,0,1,0,0
9606.ENSP00000286063,0,11.8,0,1,0,0,1,0
9606.ENSP00000386741,4,0.7,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000350928,0.2,0,1,0,1,0,0,0
9606.ENSP00000264151,6.6,2.2,1,1,0,0,1,0
9606.ENSP00000326869,64.1,37.9,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000264108,111.6,19,1,1,1,0,0,0
9606.ENSP00000249499,0,0,0,0,0.25,0.25,0.25,0.25
9606.ENSP00000249501,0,0,0,0,0.25,0.25,0.25,0.25
9606.ENSP00000249504,0,0,0,0,0.25,0.25,0.25,0.25
9606.ENSP00000376322,0,0,0,0,0.25,0.25,0.25,0.25
9606.ENSP00000261609,4,26.3,1,1,0,0,1,0
9606.ENSP00000382972,137.7,35.8,1,1,1,0,0,0
9606.ENSP00000325919,85.2,57.9,1,1,0,1,0,0
9606.ENSP00000262120,10.1,7,1,1,1,0,0,0
9606.ENSP00000412461,0.1,0.1,1,1,1,0,0,0
9606.ENSP00000320563,0,0.2,0,1,0,0,1,0
9606.ENSP00000263791,31.1,27.8,1,1,1,0,0,0
9606.ENSP00000261839,17.1,4.2,1,1,1,0,0,0
9606.ENSP00000281282,9.4,55.5,1,1,1,0,0,0
9606.ENSP00000249700,0,0.7,0,1,1,0,0,0
9606.ENSP00000267890,2.3,7.6,1,1,1,0,0,0
9606.ENSP00000320346,3.4,0,1,0,1,0,0,0
9606.ENSP00000452773,16.7,8.3,1,1,0,1,0,0
9606.ENSP00000355205,12.6,10.3,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000261520,11.2,14.8,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000249749,0.2,0,1,0,0,0,0,1
9606.ENSP00000249750,0.4,19.6,1,1,0,0,1,0
9606.ENSP00000452885,7,12.4,1,1,0,1,0,0
9606.ENSP00000418397,52.7,132.4,1,1,0,0,0,1
9606.ENSP00000249776,53.5,7.9,1,1,1,0,0,0
9606.ENSP00000370376,103.7,84.4,1,1,0,1,0,0
9606.ENSP00000398105,0.1,0.4,1,1,0,0,1,0
9606.ENSP00000249806,52.5,2.7,1,1,1,0,0,0
9606.ENSP00000455625,105.1,92.1,1,1,1,0,0,0
9606.ENSP00000261517,5.5,16.4,1,1,0,1,0,0
9606.ENSP00000419081,8.4,5.7,1,1,1,0,0,0
9606.ENSP00000249842,0,0.1,0,1,0,1,0,0
9606.ENSP00000249861,1.1,3.2,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000261921,0.3,0,1,0,1,0,0,0
9606.ENSP00000249887,0.1,0.1,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000421842,105.2,69.7,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000249910,20.2,31.2,1,1,0,1,0,0
9606.ENSP00000249923,124.4,49,1,1,0,0,1,0
9606.ENSP00000414359,266.6,152.8,1,1,0,0,1,0
9606.ENSP00000341938,51.8,78.2,1,1,0,1,0,0
9606.ENSP00000425556,6.9,11.1,1,1,0,1,0,0
9606.ENSP00000427463,47.9,109.4,1,1,0,1,0,0
9606.ENSP00000263182,0,33.7,0,1,0,1,0,0
9606.ENSP00000250003,0,0,0,0,0.25,0.25,0.25,0.25
9606.ENSP00000265965,50.9,13.7,1,1,0,0,1,0
9606.ENSP00000265969,0.2,0.4,1,1,1,0,0,0
9606.ENSP00000250018,1,0.2,1,1,0,0,1,0
9606.ENSP00000431813,0,0,0,0,1,0,0,0
9606.ENSP00000481103,7.8,0,1,0,1,0,0,0
9606.ENSP00000349576,128.4,49.1,1,1,0,0,1,0
9606.ENSP00000355354,0.8,0,1,0,1,0,0,0
9606.ENSP00000250056,35.1,0,1,0,0.25,0.25,0.25,0.25
9606.ENSP00000385814,47.9,45.6,1,1,0,0,1,0
9606.ENSP00000460380,0.1,0,1,0,0.25,0.25,0.25,0.25
9606.ENSP00000369816,4.4,10,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000263088,13.7,2.7,1,1,1,0,0,0
9606.ENSP00000370521,0.2,0,1,0,1,0,0,0
9606.ENSP00000250092,70.7,10.1,1,1,1,0,0,0
9606.ENSP00000250101,105.6,472.3,1,1,1,0,0,0
9606.ENSP00000250111,0.1,0.4,1,1,1,0,0,0
9606.ENSP00000250113,17.2,10,1,1,0,0,1,0
9606.ENSP00000320821,80.1,79.5,1,1,1,0,0,0
9606.ENSP00000250124,101.4,41.8,1,1,0,0,1,0
9606.ENSP00000378784,8.4,31.9,1,1,0,1,0,0
9606.ENSP00000484634,0,0.5,0,1,1,0,0,0
9606.ENSP00000261900,12.8,11.3,1,1,0,1,0,0
9606.ENSP00000415899,9.8,19.4,1,1,0,1,0,0
9606.ENSP00000320917,18.5,7.5,1,1,0,0,1,0
9606.ENSP00000404121,237.7,43.2,1,1,0,0,1,0
9606.ENSP00000336888,4.8,1.8,1,1,1,0,0,0
9606.ENSP00000250244,184.5,0,1,0,0.25,0.25,0.25,0.25
9606.ENSP00000377224,8.8,4.5,1,1,1,0,0,0
9606.ENSP00000262102,45.9,66.3,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000375678,0.1,0,1,0,1,0,0,0
9606.ENSP00000413861,0.1,0.4,1,1,0,1,0,0
9606.ENSP00000311746,0.1,0,1,0,0.25,0.25,0.25,0.25
9606.ENSP00000375682,0,0,0,0,1,0,0,0
9606.ENSP00000386134,226.8,19.6,1,1,1,0,0,0
9606.ENSP00000216274,0,0,0,0,0.25,0.25,0.25,0.25
9606.ENSP00000312126,0,0.1,0,1,0,1,0,0
9606.ENSP00000380869,20,19.6,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000250405,52,5.9,1,1,0,0,1,0
9606.ENSP00000262713,146,15.9,1,1,0,0,1,0
9606.ENSP00000312224,25.6,9.7,1,1,0,0,1,0
9606.ENSP00000250416,59.7,8.6,1,1,0,1,0,0
9606.ENSP00000437968,66.4,13.8,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000250448,48.1,33.5,1,1,1,0,0,0
9606.ENSP00000355217,108,32.6,1,1,1,0,0,0
9606.ENSP00000250454,93,144.8,1,1,0,1,0,0
9606.ENSP00000250457,3.6,0.3,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000309790,12.7,8.8,1,1,0,1,0,0
9606.ENSP00000454062,2.4,4,1,1,1,0,0,0
9606.ENSP00000381057,0.5,5.1,1,1,1,0,0,0
9606.ENSP00000250495,679,499.1,1,1,1,0,0,0
9606.ENSP00000250498,858.8,237.7,1,1,0,0,1,0
9606.ENSP00000262715,5.7,3.3,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000261486,2.1,1.8,1,1,1,0,0,0
9606.ENSP00000250535,3.7,161.1,1,1,0,0,1,0
9606.ENSP00000368959,66,191.2,1,1,0,0,1,0
9606.ENSP00000319918,47.5,59.2,1,1,0,0,0,1
9606.ENSP00000262765,3.3,0.4,1,1,1,0,0,0
9606.ENSP00000323880,4.3,0,1,0,1,0,0,0
9606.ENSP00000376268,73.3,8.9,1,1,0,0,1,0
9606.ENSP00000322775,23,3,1,1,0,0,1,0
9606.ENSP00000250615,0,0.1,0,1,0.25,0.25,0.25,0.25
9606.ENSP00000250617,0,1.5,0,1,1,0,0,0
9606.ENSP00000318086,0,31.6,0,1,1,0,0,0
9606.ENSP00000322390,1.1,0.2,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000340896,51.4,10.9,1,1,1,0,0,0
9606.ENSP00000478396,11.1,6.2,1,1,0,0,1,0
9606.ENSP00000250693,0,0,0,0,0.25,0.25,0.25,0.25
9606.ENSP00000250699,0.1,0.7,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000413720,0,3.2,0,1,0,1,0,0
9606.ENSP00000263753,12,1,1,1,1,0,0,0
9606.ENSP00000289746,2.5,0.9,1,1,1,0,0,0
9606.ENSP00000250916,19,12.7,1,1,1,0,0,0
9606.ENSP00000401338,69.8,24.4,1,1,1,0,0,0
9606.ENSP00000398882,31.2,9.7,1,1,0,0,1,0
9606.ENSP00000262815,15.4,6.4,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000264554,5.7,39.4,1,1,0,0,1,0
9606.ENSP00000352962,0,0,0,0,0.25,0.25,0.25,0.25
9606.ENSP00000380440,0,0,0,0,1,0,0,0
9606.ENSP00000250974,30.3,16.1,1,1,0,1,0,0
9606.ENSP00000217407,0,392.6,0,1,1,0,0,0
9606.ENSP00000346265,0.1,0,1,0,1,0,0,0
9606.ENSP00000341838,2,0,1,0,1,0,0,0
9606.ENSP00000268679,0,9.1,0,1,1,0,0,0
9606.ENSP00000403536,195.3,806.1,1,1,0,0,1,0
9606.ENSP00000396452,31.2,9.8,1,1,0,0,1,0
9606.ENSP00000355735,3.3,7.8,1,1,0,1,0,0
9606.ENSP00000341805,125.2,22.8,1,1,0,0,1,0
9606.ENSP00000359378,0.1,0.2,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000252318,0.1,0,1,0,1,0,0,0
9606.ENSP00000252321,0,0,0,0,1,0,0,0
9606.ENSP00000409382,0,0.2,0,1,1,0,0,0
9606.ENSP00000365014,1,0.1,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000363727,0.1,4.8,1,1,0,0,0,1
9606.ENSP00000252338,5.9,0.3,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000414019,0,0,0,0,0.25,0.25,0.25,0.25
9606.ENSP00000368572,484.8,1106.5,1,1,0,1,0,0
9606.ENSP00000338573,14,15,1,1,0,1,0,0
9606.ENSP00000386862,63.1,25.8,1,1,1,0,0,0
9606.ENSP00000369860,5,6.9,1,1,1,0,0,0
9606.ENSP00000294618,11.9,3.8,1,1,0,0,1,0
9606.ENSP00000270517,51.2,52,1,1,0,0,1,0
9606.ENSP00000454071,52.9,122.2,1,1,0,0,1,0
9606.ENSP00000252445,81.6,39.5,1,1,1,0,0,0
9606.ENSP00000319486,0,0,0,0,1,0,0,0
9606.ENSP00000479969,35.7,126.2,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000466134,291.4,77.1,1,1,0,0,1,0
9606.ENSP00000252456,2.1,0.1,1,1,1,0,0,0
9606.ENSP00000353549,31.4,35.6,1,1,0,0,1,0
9606.ENSP00000252463,0.3,0,1,0,0.25,0.25,0.25,0.25
9606.ENSP00000338607,39.3,17.5,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000252483,122.8,58.6,1,1,0,0,1,0
9606.ENSP00000252486,1519.7,8379.2,1,1,0,0,1,0
9606.ENSP00000410339,178.6,28.5,1,1,0,0,1,0
9606.ENSP00000465356,810,34731.7,1,1,1,0,0,0
9606.ENSP00000252506,0,202.9,0,1,1,0,0,0
9606.ENSP00000325091,0,0,0,0,1,0,0,0
9606.ENSP00000367001,0,0,0,0,1,0,0,0
9606.ENSP00000252512,51.3,12.3,1,1,1,0,0,0
9606.ENSP00000389326,0.4,0.5,1,1,1,0,0,0
9606.ENSP00000252530,7.7,13.9,1,1,0,0,1,0
9606.ENSP00000252542,52.7,21.8,1,1,0,0,1,0
9606.ENSP00000464342,1062.3,3030.9,1,1,0,0,0,1
9606.ENSP00000311336,1.1,0.7,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000247005,0,0,0,0,0.25,0.25,0.25,0.25
9606.ENSP00000252575,0,0.6,0,1,1,0,0,0
9606.ENSP00000438388,0.1,0.2,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000351644,28.3,9.4,1,1,0,0,1,0
9606.ENSP00000252590,0,0,0,0,1,0,0,0
9606.ENSP00000252593,131.8,194.9,1,1,0,1,0,0
9606.ENSP00000252595,3.7,7.9,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000309126,33.4,11,1,1,0,0,0,1
9606.ENSP00000252597,1.2,0.1,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000252599,97.3,11.2,1,1,1,0,0,0
9606.ENSP00000352928,9.5,31.9,1,1,0,1,0,0
9606.ENSP00000252602,127.3,335.5,1,1,1,0,0,0
9606.ENSP00000252603,52.3,102.1,1,1,0,0,1,0
9606.ENSP00000252622,344.4,101.8,1,1,0,1,0,0
9606.ENSP00000356064,8.1,14.4,1,1,0,0,1,0
9606.ENSP00000376024,27.1,35.7,1,1,0,0,1,0
9606.ENSP00000358059,11.6,8.1,1,1,0,0,1,0
9606.ENSP00000358042,11.7,13.6,1,1,0,0,1,0
9606.ENSP00000384867,7.5,34.1,1,1,0,1,0,0
9606.ENSP00000252655,2.7,7.7,1,1,0,0,1,0
9606.ENSP00000252660,0,0.4,0,1,1,0,0,0
9606.ENSP00000465589,0,0,0,0,1,0,0,0
9606.ENSP00000252674,29.4,19.1,1,1,0,0,1,0
9606.ENSP00000466880,0,0,0,0,0.25,0.25,0.25,0.25
9606.ENSP00000252677,0,0,0,0,0.25,0.25,0.25,0.25
9606.ENSP00000375960,95.4,76.3,1,1,0,1,0,0
9606.ENSP00000252699,238.7,87.4,1,1,1,0,0,0
9606.ENSP00000416750,5.2,0.2,1,1,1,0,0,0
9606.ENSP00000252711,157,160.5,1,1,0,1,0,0
9606.ENSP00000252723,11.1,18.7,1,1,1,0,0,0
9606.ENSP00000389631,100.3,35.8,1,1,1,0,0,0
9606.ENSP00000252729,0,0,0,0,0.25,0.25,0.25,0.25
9606.ENSP00000252744,1.3,5.8,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000473001,5.2,0,1,0,0,0,1,0
9606.ENSP00000429562,0.1,0.1,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000325313,29.2,5,1,1,1,0,0,0
9606.ENSP00000379034,0.1,0.1,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000252804,0.1,1.6,1,1,1,0,0,0
9606.ENSP00000270061,32.9,10.8,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000252809,504,6.9,1,1,1,0,0,0
9606.ENSP00000269919,29.2,64.9,1,1,0,0,1,0
9606.ENSP00000376213,0.4,2,1,1,1,0,0,0
9606.ENSP00000469468,174.4,88.6,1,1,0,0,0,1
9606.ENSP00000252818,116.3,359.4,1,1,1,0,0,0
9606.ENSP00000252825,9.3,0.2,1,1,1,0,0,0
9606.ENSP00000252826,4.3,91.2,1,1,1,0,0,0
9606.ENSP00000252835,0,0,0,0,0.25,0.25,0.25,0.25
9606.ENSP00000332565,0,0.1,0,1,1,0,0,0
9606.ENSP00000252840,1.4,4.8,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000349204,30.6,34.2,1,1,0,1,0,0
9606.ENSP00000360858,0,0.7,0,1,0.25,0.25,0.25,0.25
9606.ENSP00000374183,10.5,8,1,1,1,0,0,0
9606.ENSP00000360821,31.3,39.5,1,1,0,0,0,1
9606.ENSP00000386444,0,0,0,0,1,0,0,0
9606.ENSP00000378536,4,0,1,0,0.25,0.25,0.25,0.25
9606.ENSP00000417401,5.3,5.6,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000358902,11.3,0.6,1,1,0,0,1,0
9606.ENSP00000371194,0.6,3,1,1,1,0,0,0
9606.ENSP00000278317,0,0,0,0,1,0,0,0
9606.ENSP00000371331,2.6,0.2,1,1,1,0,0,0
9606.ENSP00000360882,0.1,0.8,1,1,1,0,0,0
9606.ENSP00000252934,77.6,58,1,1,0,0,1,0
9606.ENSP00000446093,44.3,23,1,1,0,0,1,0
9606.ENSP00000252939,0,0.2,0,1,1,0,0,0
9606.ENSP00000440689,0.8,6502.1,1,1,0,0,0,1
9606.ENSP00000384610,0.5,6.3,1,1,0,1,0,0
9606.ENSP00000252951,0,0,0,0,1,0,0,0
9606.ENSP00000469413,60.3,10.5,1,1,0,0,1,0
9606.ENSP00000252971,4,0,1,0,0.25,0.25,0.25,0.25
9606.ENSP00000365619,14.8,3.4,1,1,1,0,0,0
9606.ENSP00000252992,18.9,1.6,1,1,1,0,0,0
9606.ENSP00000252996,11.8,8.9,1,1,0,0,1,0
9606.ENSP00000252997,0.1,0,1,0,0.25,0.25,0.25,0.25
9606.ENSP00000252998,0.8,0,1,0,0.25,0.25,0.25,0.25
9606.ENSP00000252999,73.8,9,1,1,1,0,0,0
9606.ENSP00000316649,31,12.3,1,1,0,1,0,0
9606.ENSP00000478877,334.9,112.7,1,1,0,0,1,0
9606.ENSP00000361471,112.7,1043.1,1,1,0,0,0,1
9606.ENSP00000253008,0.3,0,1,0,0.25,0.25,0.25,0.25
9606.ENSP00000361433,44.9,12.1,1,1,0,0,0,1
9606.ENSP00000361302,9.7,7.9,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000361285,20.4,21,1,1,0,0,0,1
9606.ENSP00000361413,0.4,0,1,0,1,0,0,0
9606.ENSP00000469240,105.9,252,1,1,0,0,1,0
9606.ENSP00000253023,103.4,33.7,1,1,0,0,1,0
9606.ENSP00000253024,435.1,27.1,1,1,0,1,0,0
9606.ENSP00000440765,77,106.4,1,1,1,0,0,0
9606.ENSP00000253031,45.2,20.9,1,1,0,1,0,0
9606.ENSP00000311318,9.9,11.4,1,1,0,1,0,0
9606.ENSP00000253039,199.2,88.1,1,1,0,1,0,0
9606.ENSP00000253047,20,98.8,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000253048,11.6,18.1,1,1,0,1,0,0
9606.ENSP00000469142,2.6,0,1,0,0.25,0.25,0.25,0.25
9606.ENSP00000472249,4.6,14.6,1,1,0,1,0,0
9606.ENSP00000253055,2.9,2.1,1,1,0,0,1,0
9606.ENSP00000367629,28.6,3.1,1,1,1,0,0,0
9606.ENSP00000367498,29.4,30.8,1,1,0,0,1,0
9606.ENSP00000253063,7.1,17.4,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000363001,2.2,0,1,0,0.25,0.25,0.25,0.25
9606.ENSP00000335203,155.5,1164.7,1,1,0,0,0,1
9606.ENSP00000362948,7.1,3.8,1,1,0,1,0,0
9606.ENSP00000363031,1.6,0.8,1,1,1,0,0,0
9606.ENSP00000479322,33.6,41.3,1,1,1,0,0,0
9606.ENSP00000253079,0.1,0,1,0,1,0,0,0
9606.ENSP00000253083,16.1,18.6,1,1,1,0,0,0
9606.ENSP00000247956,15.9,9.6,1,1,1,0,0,0
9606.ENSP00000253107,42.2,11.2,1,1,0,0,0,1
9606.ENSP00000253108,258.8,121.1,1,1,1,0,0,0
9606.ENSP00000253109,0.3,10.4,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000253110,11.5,87.7,1,1,1,0,0,0
9606.ENSP00000352516,32.3,17.3,1,1,1,0,0,0
9606.ENSP00000439017,4.7,3.1,1,1,0,1,0,0
9606.ENSP00000253122,113.1,0.6,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000405950,1.6,0,1,0,0,0,1,0
9606.ENSP00000358563,140.4,24.6,1,1,0,0,0,1
9606.ENSP00000358696,4.1,1.1,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000345853,407.2,0.4,1,1,1,0,0,0
9606.ENSP00000358547,18.5,11.5,1,1,1,0,0,0
9606.ENSP00000253144,13,2.1,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000253159,2.3,5.5,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000253188,0.4,0,1,0,0.25,0.25,0.25,0.25
9606.ENSP00000253193,44.4,2.3,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000253233,18.6,40.1,1,1,1,0,0,0
9606.ENSP00000253247,57.3,22.9,1,1,0,0,1,0
9606.ENSP00000343001,30.1,12.5,1,1,1,0,0,0
9606.ENSP00000366221,2.7,3.7,1,1,1,0,0,0
9606.ENSP00000253255,0.1,0,1,0,1,0,0,0
9606.ENSP00000364412,0.2,0.1,1,1,1,0,0,0
9606.ENSP00000253262,0,0,0,0,0.25,0.25,0.25,0.25
9606.ENSP00000364398,37.5,4.7,1,1,0,0,1,0
9606.ENSP00000364486,1.7,0.1,1,1,1,0,0,0
9606.ENSP00000253270,128.3,45.1,1,1,0,0,1,0
9606.ENSP00000444278,5.8,12.7,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000338413,162.9,40.7,1,1,0,0,1,0
9606.ENSP00000380365,47.1,205.2,1,1,0,0,0,1
9606.ENSP00000435506,0,0.7,0,1,0.25,0.25,0.25,0.25
9606.ENSP00000253329,40.9,20.5,1,1,0,1,0,0
9606.ENSP00000356320,0,0.2,0,1,1,0,0,0
9606.ENSP00000384537,31.6,4.9,1,1,1,0,0,0
9606.ENSP00000356224,3.8,18.3,1,1,0,0,1,0
9606.ENSP00000356308,0.6,0.4,1,1,1,0,0,0
9606.ENSP00000437550,10.9,11.6,1,1,0,0,0,1
9606.ENSP00000201647,1.6,0.1,1,1,1,0,0,0
9606.ENSP00000375629,0,2.1,0,1,0.25,0.25,0.25,0.25
9606.ENSP00000363043,43.1,10.7,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000442515,0,0,0,0,0.25,0.25,0.25,0.25
9606.ENSP00000253362,0,0,0,0,1,0,0,0
9606.ENSP00000253363,112.9,203.3,1,1,1,0,0,0
9606.ENSP00000365243,0,0,0,0,0.25,0.25,0.25,0.25
9606.ENSP00000364603,0,0,0,0,1,0,0,0
9606.ENSP00000364346,2.9,0.9,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000338964,25.3,8.5,1,1,0,0,0,1
9606.ENSP00000253381,0,0,0,0,1,0,0,0
9606.ENSP00000253382,50.3,109.2,1,1,0,1,0,0
9606.ENSP00000379365,10.1,0,1,0,0.25,0.25,0.25,0.25
9606.ENSP00000253401,0.6,8,1,1,0,0,1,0
9606.ENSP00000253407,0.1,0,1,0,0.25,0.25,0.25,0.25
9606.ENSP00000468500,1.1,0,1,0,1,0,0,0
9606.ENSP00000353198,0.1,0,1,0,1,0,0,0
9606.ENSP00000253410,0.3,0,1,0,0.25,0.25,0.25,0.25
9606.ENSP00000253413,147.8,52.7,1,1,0,1,0,0
9606.ENSP00000482749,9.7,3.8,1,1,0,1,0,0
9606.ENSP00000300811,41.7,59.3,1,1,0,0,1,0
9606.ENSP00000472308,0.3,0,1,0,1,0,0,0
9606.ENSP00000240499,0.2,4.4,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000375086,0,0,0,0,1,0,0,0
9606.ENSP00000457513,961.3,1440.6,1,1,0,0,1,0
9606.ENSP00000253457,50.5,23,1,1,0,1,0,0
9606.ENSP00000253458,46.4,26.4,1,1,1,0,0,0
9606.ENSP00000253462,46.1,1.9,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000380998,111.5,30.3,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000362308,11.2,22.9,1,1,1,0,0,0
9606.ENSP00000417656,234.9,1476,1,1,1,0,0,0
9606.ENSP00000321424,0,1.2,0,1,1,0,0,0
9606.ENSP00000253496,5.1,379.9,1,1,1,0,0,0
9606.ENSP00000327168,7.3,2.8,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000389377,0,0.2,0,1,1,0,0,0
9606.ENSP00000430950,0,0.7,0,1,1,0,0,0
9606.ENSP00000354020,0.1,0,1,0,0.25,0.25,0.25,0.25
9606.ENSP00000361883,212.2,75.4,1,1,1,0,0,0
9606.ENSP00000394863,179.6,9.5,1,1,0,0,0,1
9606.ENSP00000482620,75.9,2.9,1,1,1,0,0,0
9606.ENSP00000328059,10.3,12.6,1,1,0,1,0,0
9606.ENSP00000362613,0,0,0,0,0.25,0.25,0.25,0.25
9606.ENSP00000253577,18.2,16.7,1,1,0,1,0,0
9606.ENSP00000454207,11.1,4.6,1,1,0,1,0,0
9606.ENSP00000253669,19.2,4.7,1,1,0,0,0,1
9606.ENSP00000253673,0,0,0,0,0.25,0.25,0.25,0.25
9606.ENSP00000253686,36.2,115,1,1,0,1,0,0
9606.ENSP00000373301,2.5,7.7,1,1,1,0,0,0
9606.ENSP00000323811,24.1,26.7,1,1,0,1,0,0
9606.ENSP00000402935,20.3,17.1,1,1,0,1,0,0
9606.ENSP00000253693,18.3,20.1,1,1,1,0,0,0
9606.ENSP00000334153,0.3,5.8,1,1,0,0,1,0
9606.ENSP00000253697,0,0,0,0,0.25,0.25,0.25,0.25
9606.ENSP00000253699,8.3,13.5,1,1,1,0,0,0
9606.ENSP00000344260,0.2,1,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000480890,15.8,0.3,1,1,1,0,0,0
9606.ENSP00000434241,2.5,2.4,1,1,0,1,0,0
9606.ENSP00000253719,0,0.2,0,1,1,0,0,0
9606.ENSP00000253727,25.4,19.5,1,1,1,0,0,0
9606.ENSP00000471502,0,0,0,0,0.25,0.25,0.25,0.25
9606.ENSP00000253754,2,0.2,1,1,0,1,0,0
9606.ENSP00000385808,4.4,3.1,1,1,1,0,0,0
9606.ENSP00000404718,81,89.1,1,1,0,1,0,0
9606.ENSP00000253778,0.1,0,1,0,0,0,1,0
9606.ENSP00000251413,248.8,15.7,1,1,1,0,0,0
9606.ENSP00000293362,155.2,29.9,1,1,0,0,1,0
9606.ENSP00000464813,4623,2244.9,1,1,0,0,1,0
9606.ENSP00000377384,29.4,2.2,1,1,1,0,0,0
9606.ENSP00000312326,28.8,0.1,1,1,1,0,0,0
9606.ENSP00000253792,203.4,43.8,1,1,0,1,0,0
9606.ENSP00000253794,189.9,47.9,1,1,0,1,0,0
9606.ENSP00000253796,7.1,2.7,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000253799,2.4,0.2,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000253801,50,233.9,1,1,0,0,0,1
9606.ENSP00000252102,215.4,591.9,1,1,0,0,1,0
9606.ENSP00000354085,79.3,9.8,1,1,0,0,1,0
9606.ENSP00000381565,86.4,80.5,1,1,0,0,1,0
9606.ENSP00000253814,28.2,164.3,1,1,0,1,0,0
9606.ENSP00000381717,125.8,86.5,1,1,1,0,0,0
9606.ENSP00000253861,20,16,1,1,0,0,0,1
9606.ENSP00000346733,28.2,12.3,1,1,0,1,0,0
9606.ENSP00000400736,7.9,3.3,1,1,0,0,0,1
9606.ENSP00000347454,0.1,120.1,1,1,0,0,1,0
9606.ENSP00000253925,21.5,24,1,1,0,1,0,0
9606.ENSP00000454945,0.1,0.9,1,1,0,0,1,0
9606.ENSP00000304422,2.5,0,1,0,0.25,0.25,0.25,0.25
9606.ENSP00000326531,53.9,8,1,1,0,1,0,0
9606.ENSP00000318944,65.5,29.4,1,1,0,1,0,0
9606.ENSP00000253968,0,0.2,0,1,0.25,0.25,0.25,0.25
9606.ENSP00000364595,174.4,50.8,1,1,0,0,1,0
9606.ENSP00000366654,0.3,0,1,0,1,0,0,0
9606.ENSP00000367398,5.8,2.5,1,1,1,0,0,0
9606.ENSP00000296755,10.9,0.4,1,1,1,0,0,0
9606.ENSP00000360441,0,0,0,0,1,0,0,0
9606.ENSP00000360730,77.2,133.6,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000254029,3.7,16.7,1,1,1,0,0,0
9606.ENSP00000404203,3.1,0.2,1,1,1,0,0,0
9606.ENSP00000254037,51.6,89.2,1,1,0,0,1,0
9606.ENSP00000377570,0,0,0,0,1,0,0,0
9606.ENSP00000251646,0,0,0,0,1,0,0,0
9606.ENSP00000254051,8.4,0,1,0,0.25,0.25,0.25,0.25
