protein,RNA line ab,binary_RNA line ab
9606.ENSP00000177694,0,0
9606.ENSP00000177742,15.7,1
9606.ENSP00000178638,0,0
9606.ENSP00000178640,23.8,1
9606.ENSP00000179259,5.8,1
9606.ENSP00000180166,0.2,1
9606.ENSP00000180173,2.6,1
9606.ENSP00000181383,0,0
9606.ENSP00000181796,16.1,1
9606.ENSP00000181839,23.4,1
9606.ENSP00000182290,0,0
9606.ENSP00000182527,14.9,1
9606.ENSP00000183605,0,0
9606.ENSP00000184183,0,0
9606.ENSP00000184266,191.3,1
9606.ENSP00000184956,5.6,1
9606.ENSP00000185150,29.2,1
9606.ENSP00000185206,0,0
9606.ENSP00000186436,30.5,1
9606.ENSP00000187762,8.1,1
9606.ENSP00000188312,36.5,1
9606.ENSP00000188790,0,0
9606.ENSP00000190165,1,1
9606.ENSP00000192314,0,0
9606.ENSP00000192788,29.2,1
9606.ENSP00000193322,20.2,1
9606.ENSP00000193391,0,0
9606.ENSP00000194130,0,0
9606.ENSP00000194152,0,0
9606.ENSP00000194155,1.2,1
9606.ENSP00000194214,62.2,1
9606.ENSP00000194530,35.8,1
9606.ENSP00000196061,75.6,1
9606.ENSP00000196371,77.5,1
9606.ENSP00000196489,3.8,1
9606.ENSP00000197268,13.9,1
9606.ENSP00000198536,0.2,1
9606.ENSP00000198767,40.5,1
9606.ENSP00000198801,0,0
9606.ENSP00000199280,0,0
9606.ENSP00000199320,38.7,1
9606.ENSP00000199389,93.1,1
9606.ENSP00000199447,0,0
9606.ENSP00000199448,1.8,1
9606.ENSP00000199706,107.8,1
9606.ENSP00000199708,1.5,1
9606.ENSP00000199764,0,0
9606.ENSP00000199814,73,1
9606.ENSP00000199936,0,0
9606.ENSP00000200135,36.7,1
9606.ENSP00000200181,1,1
9606.ENSP00000200453,9.3,1
9606.ENSP00000200457,38,1
9606.ENSP00000200557,3.3,1
9606.ENSP00000200652,0,0
9606.ENSP00000200676,0,0
9606.ENSP00000200691,0,0
9606.ENSP00000201031,27.3,1
9606.ENSP00000201586,0.1,1
9606.ENSP00000201647,0.4,1
9606.ENSP00000201979,0,0
9606.ENSP00000202017,37.8,1
9606.ENSP00000202556,5.8,1
9606.ENSP00000202625,0,0
9606.ENSP00000202677,9.4,1
9606.ENSP00000202816,36,1
9606.ENSP00000202967,1.9,1
9606.ENSP00000203001,36.3,1
9606.ENSP00000203407,171.6,1
9606.ENSP00000203556,3.9,1
9606.ENSP00000203629,0.5,1
9606.ENSP00000203630,220.1,1
9606.ENSP00000203664,3.2,1
9606.ENSP00000204517,23.6,1
9606.ENSP00000204549,63.9,1
9606.ENSP00000204566,182.1,1
9606.ENSP00000204604,1.7,1
9606.ENSP00000204615,0.3,1
9606.ENSP00000204679,9.2,1
9606.ENSP00000204726,16.3,1
9606.ENSP00000204961,40,1
9606.ENSP00000205061,30.1,1
9606.ENSP00000205143,2.3,1
9606.ENSP00000205194,20.8,1
9606.ENSP00000205214,6.3,1
9606.ENSP00000205402,150.2,1
9606.ENSP00000205557,0.7,1
9606.ENSP00000205636,47,1
9606.ENSP00000205890,0,0
9606.ENSP00000205948,0,0
9606.ENSP00000206020,59.3,1
9606.ENSP00000206423,5.3,1
9606.ENSP00000206474,31.2,1
9606.ENSP00000206513,0,0
9606.ENSP00000206542,17.9,1
9606.ENSP00000206595,36.4,1
9606.ENSP00000206765,2.8,1
9606.ENSP00000207157,0,0
9606.ENSP00000207457,0,0
9606.ENSP00000207549,0,0
9606.ENSP00000207870,8.1,1
9606.ENSP00000209540,0.1,1
9606.ENSP00000209668,0,0
9606.ENSP00000209718,0,0
9606.ENSP00000209728,112.2,1
9606.ENSP00000209873,106.4,1
9606.ENSP00000209875,106.1,1
9606.ENSP00000209884,11.2,1
9606.ENSP00000209929,0,0
9606.ENSP00000210060,55.7,1
9606.ENSP00000210187,1.1,1
9606.ENSP00000210313,0,0
9606.ENSP00000210444,61,1
9606.ENSP00000210633,8,1
9606.ENSP00000211076,0,0
9606.ENSP00000211122,0.6,1
9606.ENSP00000211287,0.3,1
9606.ENSP00000211314,61.3,1
9606.ENSP00000211413,0,0
9606.ENSP00000211936,9.7,1
9606.ENSP00000211998,115.7,1
9606.ENSP00000212015,32.8,1
9606.ENSP00000212355,3.6,1
9606.ENSP00000214869,18.8,1
9606.ENSP00000215057,2,1
9606.ENSP00000215061,4.5,1
9606.ENSP00000215071,341.7,1
9606.ENSP00000215095,2.1,1
9606.ENSP00000215368,4.8,1
9606.ENSP00000215375,19.9,1
9606.ENSP00000215530,0,0
9606.ENSP00000215531,0,0
9606.ENSP00000215565,62.6,1
9606.ENSP00000215567,158.1,1
9606.ENSP00000215570,75.2,1
9606.ENSP00000215574,52.1,1
9606.ENSP00000215582,0,0
9606.ENSP00000215631,3.2,1
9606.ENSP00000215637,0,0
9606.ENSP00000215659,24.3,1
9606.ENSP00000215727,0,0
9606.ENSP00000215730,35.8,1
9606.ENSP00000215739,9.3,1
9606.ENSP00000215742,6.1,1
9606.ENSP00000215743,2.2,1
9606.ENSP00000215754,155,1
