protein,nuclear bodies,microtubules,rods & rings,endoplasmic reticulum,centrosome,secretory,cytosol,aggresome,mitochondria,secreted proteins,mitotic chromosome,golgi apparatus,cytoplasmic bodies,plasma membrane,nucleoli,nucleoli rim,actin filaments,focal adhesion sites,cleavage furrow,midbody ring,endosomes,cell junctions,cytokinetic bridge,microtubule ends,lysosomes,nuclear speckles,endomembrane system,midbody,mitotic spindle,vesicles,nucleoli fibrillar center,peroxisomes,lipid droplets,centriolar satellite,nucleoplasm,intermediate filaments,cytoplasm,nuclear membrane,nucleus,kinetochore,miss_subcell,RNA line ab,binary_RNA line ab,go_feature_0,go_feature_1,go_feature_2,go_feature_3,go_feature_4,go_feature_5,go_feature_6,go_feature_7,go_feature_8,go_feature_9,go_feature_10,go_feature_11,go_feature_12,go_feature_13,go_feature_14,go_feature_15,go_feature_16,go_feature_17,go_feature_18,go_feature_19,go_feature_20,go_feature_21,go_feature_22,go_feature_23,go_feature_24,go_feature_25,go_feature_26,go_feature_27,go_feature_28,go_feature_29,go_feature_30,go_feature_31,go_feature_32,go_feature_33,go_feature_34,go_feature_35,go_feature_36,go_feature_37,go_feature_38,go_feature_39,go_feature_40,go_feature_41,go_feature_42,go_feature_43,go_feature_44,go_feature_45,go_feature_46,go_feature_47,go_feature_48,go_feature_49,go_feature_50,go_feature_51,go_feature_52,go_feature_53,go_feature_54,go_feature_55,go_feature_56,go_feature_57,go_feature_58,go_feature_59,go_feature_60,go_feature_61,go_feature_62,go_feature_63,Has_Missing,label
9606.ENSP00000360268,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,117.1,1,0.076053351,0.110342763,-0.431351006,-0.343079031,-0.065381519,0.361701101,-0.44874689,0.26028955,-0.03179748,-0.303837627,-0.308850914,-0.241733775,-0.221067116,-0.179869831,-0.058804508,-0.448380828,-0.074774645,0.545304179,0.221495047,0.096434027,-0.249963135,-0.06748201,0.167505056,-0.221752971,0.146244034,0.189056247,-0.397138804,-0.328864783,-0.461055547,-0.382851601,-0.381051928,-0.147472858,-0.416074514,0.181565702,0.128620669,-0.42541492,0.61818403,0.043299776,0.460837305,0.494944841,0.518826187,-0.169811398,-0.191888615,-0.147606909,-0.300339967,0.26899308,0.05437116,0.409726441,0.076706797,0.26884979,0.258581042,0.050457131,0.351437092,-0.320632249,0.205585271,-0.175081313,0.063008197,-0.328502268,-0.353441507,0.097785071,-0.315731794,-0.046370611,0.251989275,-0.32402128,0,0
9606.ENSP00000360268,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,117.1,1,0.076053351,0.110342763,-0.431351006,-0.343079031,-0.065381519,0.361701101,-0.44874689,0.26028955,-0.03179748,-0.303837627,-0.308850914,-0.241733775,-0.221067116,-0.179869831,-0.058804508,-0.448380828,-0.074774645,0.545304179,0.221495047,0.096434027,-0.249963135,-0.06748201,0.167505056,-0.221752971,0.146244034,0.189056247,-0.397138804,-0.328864783,-0.461055547,-0.382851601,-0.381051928,-0.147472858,-0.416074514,0.181565702,0.128620669,-0.42541492,0.61818403,0.043299776,0.460837305,0.494944841,0.518826187,-0.169811398,-0.191888615,-0.147606909,-0.300339967,0.26899308,0.05437116,0.409726441,0.076706797,0.26884979,0.258581042,0.050457131,0.351437092,-0.320632249,0.205585271,-0.175081313,0.063008197,-0.328502268,-0.353441507,0.097785071,-0.315731794,-0.046370611,0.251989275,-0.32402128,0,0
9606.ENSP00000360268,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,117.1,1,0.076053351,0.110342763,-0.431351006,-0.343079031,-0.065381519,0.361701101,-0.44874689,0.26028955,-0.03179748,-0.303837627,-0.308850914,-0.241733775,-0.221067116,-0.179869831,-0.058804508,-0.448380828,-0.074774645,0.545304179,0.221495047,0.096434027,-0.249963135,-0.06748201,0.167505056,-0.221752971,0.146244034,0.189056247,-0.397138804,-0.328864783,-0.461055547,-0.382851601,-0.381051928,-0.147472858,-0.416074514,0.181565702,0.128620669,-0.42541492,0.61818403,0.043299776,0.460837305,0.494944841,0.518826187,-0.169811398,-0.191888615,-0.147606909,-0.300339967,0.26899308,0.05437116,0.409726441,0.076706797,0.26884979,0.258581042,0.050457131,0.351437092,-0.320632249,0.205585271,-0.175081313,0.063008197,-0.328502268,-0.353441507,0.097785071,-0.315731794,-0.046370611,0.251989275,-0.32402128,0,0
9606.ENSP00000360268,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,117.1,1,0.076053351,0.110342763,-0.431351006,-0.343079031,-0.065381519,0.361701101,-0.44874689,0.26028955,-0.03179748,-0.303837627,-0.308850914,-0.241733775,-0.221067116,-0.179869831,-0.058804508,-0.448380828,-0.074774645,0.545304179,0.221495047,0.096434027,-0.249963135,-0.06748201,0.167505056,-0.221752971,0.146244034,0.189056247,-0.397138804,-0.328864783,-0.461055547,-0.382851601,-0.381051928,-0.147472858,-0.416074514,0.181565702,0.128620669,-0.42541492,0.61818403,0.043299776,0.460837305,0.494944841,0.518826187,-0.169811398,-0.191888615,-0.147606909,-0.300339967,0.26899308,0.05437116,0.409726441,0.076706797,0.26884979,0.258581042,0.050457131,0.351437092,-0.320632249,0.205585271,-0.175081313,0.063008197,-0.328502268,-0.353441507,0.097785071,-0.315731794,-0.046370611,0.251989275,-0.32402128,0,0
9606.ENSP00000360268,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,117.1,1,0.076053351,0.110342763,-0.431351006,-0.343079031,-0.065381519,0.361701101,-0.44874689,0.26028955,-0.03179748,-0.303837627,-0.308850914,-0.241733775,-0.221067116,-0.179869831,-0.058804508,-0.448380828,-0.074774645,0.545304179,0.221495047,0.096434027,-0.249963135,-0.06748201,0.167505056,-0.221752971,0.146244034,0.189056247,-0.397138804,-0.328864783,-0.461055547,-0.382851601,-0.381051928,-0.147472858,-0.416074514,0.181565702,0.128620669,-0.42541492,0.61818403,0.043299776,0.460837305,0.494944841,0.518826187,-0.169811398,-0.191888615,-0.147606909,-0.300339967,0.26899308,0.05437116,0.409726441,0.076706797,0.26884979,0.258581042,0.050457131,0.351437092,-0.320632249,0.205585271,-0.175081313,0.063008197,-0.328502268,-0.353441507,0.097785071,-0.315731794,-0.046370611,0.251989275,-0.32402128,0,0
9606.ENSP00000360268,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,117.1,1,0.076053351,0.110342763,-0.431351006,-0.343079031,-0.065381519,0.361701101,-0.44874689,0.26028955,-0.03179748,-0.303837627,-0.308850914,-0.241733775,-0.221067116,-0.179869831,-0.058804508,-0.448380828,-0.074774645,0.545304179,0.221495047,0.096434027,-0.249963135,-0.06748201,0.167505056,-0.221752971,0.146244034,0.189056247,-0.397138804,-0.328864783,-0.461055547,-0.382851601,-0.381051928,-0.147472858,-0.416074514,0.181565702,0.128620669,-0.42541492,0.61818403,0.043299776,0.460837305,0.494944841,0.518826187,-0.169811398,-0.191888615,-0.147606909,-0.300339967,0.26899308,0.05437116,0.409726441,0.076706797,0.26884979,0.258581042,0.050457131,0.351437092,-0.320632249,0.205585271,-0.175081313,0.063008197,-0.328502268,-0.353441507,0.097785071,-0.315731794,-0.046370611,0.251989275,-0.32402128,0,0
9606.ENSP00000360268,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,117.1,1,0.076053351,0.110342763,-0.431351006,-0.343079031,-0.065381519,0.361701101,-0.44874689,0.26028955,-0.03179748,-0.303837627,-0.308850914,-0.241733775,-0.221067116,-0.179869831,-0.058804508,-0.448380828,-0.074774645,0.545304179,0.221495047,0.096434027,-0.249963135,-0.06748201,0.167505056,-0.221752971,0.146244034,0.189056247,-0.397138804,-0.328864783,-0.461055547,-0.382851601,-0.381051928,-0.147472858,-0.416074514,0.181565702,0.128620669,-0.42541492,0.61818403,0.043299776,0.460837305,0.494944841,0.518826187,-0.169811398,-0.191888615,-0.147606909,-0.300339967,0.26899308,0.05437116,0.409726441,0.076706797,0.26884979,0.258581042,0.050457131,0.351437092,-0.320632249,0.205585271,-0.175081313,0.063008197,-0.328502268,-0.353441507,0.097785071,-0.315731794,-0.046370611,0.251989275,-0.32402128,0,0
9606.ENSP00000360268,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,117.1,1,0.076053351,0.110342763,-0.431351006,-0.343079031,-0.065381519,0.361701101,-0.44874689,0.26028955,-0.03179748,-0.303837627,-0.308850914,-0.241733775,-0.221067116,-0.179869831,-0.058804508,-0.448380828,-0.074774645,0.545304179,0.221495047,0.096434027,-0.249963135,-0.06748201,0.167505056,-0.221752971,0.146244034,0.189056247,-0.397138804,-0.328864783,-0.461055547,-0.382851601,-0.381051928,-0.147472858,-0.416074514,0.181565702,0.128620669,-0.42541492,0.61818403,0.043299776,0.460837305,0.494944841,0.518826187,-0.169811398,-0.191888615,-0.147606909,-0.300339967,0.26899308,0.05437116,0.409726441,0.076706797,0.26884979,0.258581042,0.050457131,0.351437092,-0.320632249,0.205585271,-0.175081313,0.063008197,-0.328502268,-0.353441507,0.097785071,-0.315731794,-0.046370611,0.251989275,-0.32402128,0,0
9606.ENSP00000360268,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,117.1,1,0.076053351,0.110342763,-0.431351006,-0.343079031,-0.065381519,0.361701101,-0.44874689,0.26028955,-0.03179748,-0.303837627,-0.308850914,-0.241733775,-0.221067116,-0.179869831,-0.058804508,-0.448380828,-0.074774645,0.545304179,0.221495047,0.096434027,-0.249963135,-0.06748201,0.167505056,-0.221752971,0.146244034,0.189056247,-0.397138804,-0.328864783,-0.461055547,-0.382851601,-0.381051928,-0.147472858,-0.416074514,0.181565702,0.128620669,-0.42541492,0.61818403,0.043299776,0.460837305,0.494944841,0.518826187,-0.169811398,-0.191888615,-0.147606909,-0.300339967,0.26899308,0.05437116,0.409726441,0.076706797,0.26884979,0.258581042,0.050457131,0.351437092,-0.320632249,0.205585271,-0.175081313,0.063008197,-0.328502268,-0.353441507,0.097785071,-0.315731794,-0.046370611,0.251989275,-0.32402128,0,0
9606.ENSP00000360268,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,117.1,1,0.076053351,0.110342763,-0.431351006,-0.343079031,-0.065381519,0.361701101,-0.44874689,0.26028955,-0.03179748,-0.303837627,-0.308850914,-0.241733775,-0.221067116,-0.179869831,-0.058804508,-0.448380828,-0.074774645,0.545304179,0.221495047,0.096434027,-0.249963135,-0.06748201,0.167505056,-0.221752971,0.146244034,0.189056247,-0.397138804,-0.328864783,-0.461055547,-0.382851601,-0.381051928,-0.147472858,-0.416074514,0.181565702,0.128620669,-0.42541492,0.61818403,0.043299776,0.460837305,0.494944841,0.518826187,-0.169811398,-0.191888615,-0.147606909,-0.300339967,0.26899308,0.05437116,0.409726441,0.076706797,0.26884979,0.258581042,0.050457131,0.351437092,-0.320632249,0.205585271,-0.175081313,0.063008197,-0.328502268,-0.353441507,0.097785071,-0.315731794,-0.046370611,0.251989275,-0.32402128,0,0
